output_prefix,name,motif_id,cluster,total_tfbs,SEA_mean_score,SEA_bound,NOSEA_mean_score,NOSEA_bound,SEA_NOSEA_change,SEA_NOSEA_pvalue,SEA_NOSEA_highlighted,neglog10p,category,label
DUXA_MA0884.2,DUXA,MA0884.2,C_DUXA,3888,0.20896,395,0.18128,387,-0.11094,2.19701e-67,TRUE,66.65816796632258,Negative (Top 10%),NA
KLF10_MA1511.2,KLF10,MA1511.2,C_KLF5,37239,0.26901,5151,0.19628,3938,0.02531,1.0106100000000001e-55,FALSE,54.99541640872659,Other,NA
NR1D2_MA1532.2,NR1D2,MA1532.2,C_NR1D1,8461,0.24133,1021,0.19903,830,-0.06812,1.7794100000000002e-61,FALSE,60.74972397309527,Other,NA
PITX2_MA1547.2,PITX2,MA1547.2,C_RHOXF1,5754,0.054,179,0.04264,143,-0.02664,5.1685e-14,FALSE,13.286635479390446,Other,NA
SOX18_MA1563.2,SOX18,MA1563.2,C_SOX8,6473,0.12499,401,0.09098,292,0.01018,0.00262146,FALSE,2.581456764657033,Other,NA
Thap11_MA1573.2,Thap11,MA1573.2,C_Thap11,11125,0.22081,1075,0.14551,779,0.05086,2.15683e-47,FALSE,46.666184084369625,Other,NA
ZNF75D_MA1601.2,ZNF75D,MA1601.2,C_ZNF75D,11961,0.19743,1216,0.14559,924,0.01581,1.5484e-15,FALSE,14.810116837353082,Other,NA
BACH1_MA1633.2,BACH1,MA1633.2,C_FOSL1,16911,0.051090000000000003,521,0.0376,415,-0.00823,1.20157e-6,FALSE,5.920250923380106,Other,NA
mix-a_MA0621.2,mix-a,MA0621.2,C_VAX2,2453,0.05739,82,0.05313,82,-0.13557,1.1256099999999999e-49,TRUE,48.94861205725284,Negative (Top 10%),mix-a
ARNTHIF1A_MA0259.2,ARNT::HIF1A,MA0259.2,C_Mlxip,27576,0.12154,1676,0.08276,1177,0.03569,7.9355e-46,FALSE,45.10042570401943,Other,NA
Pgr_MA2323.1,Pgr,MA2323.1,C_Pgr,11206,0.08735,619,0.06472,457,0.01783,9.90609e-15,FALSE,14.004097730631191,Other,NA
Ddit3Cebpa_MA0019.2,Ddit3::Cebpa,MA0019.2,C_Ddit3::Cebpa,4862,0.18212,392,0.15295,354,-0.10502,4.13056e-56,TRUE,55.383991064948226,Negative (Top 10%),NA
Foxq1_MA0040.2,Foxq1,MA0040.2,C_Foxq1,11324,0.07419,457,0.05849,354,0.00696,0.0961533,FALSE,1.0170358060984432,Other,NA
HOXB1_MA2093.1,HOXB1,MA2093.1,C_VAX2,3303,0.06274,117,0.0482,89,-0.05742,1.11065e-22,FALSE,21.954422779057847,Other,NA
PAX8_MA2094.1,PAX8,MA2094.1,C_PAX9,2948,0.10578,164,0.07526,119,-0.01498,0.0552977,FALSE,1.2572929319517443,Other,NA
ZNF524_MA2096.1,ZNF524,MA2096.1,C_ZNF524,5026,0.33677,764,0.2443,561,-0.00245,0.928213,FALSE,0.03235235340381444,Other,NA
ZNF75A_MA2097.1,ZNF75A,MA2097.1,C_ZNF75A,12202,0.12595,857,0.09971,624,0.00416,0.201527,FALSE,0.6956667601160631,Other,NA
ZNF766_MA2098.1,ZNF766,MA2098.1,C_ZNF766,15909,0.08588,843,0.06252,637,-0.01458,1.84949e-15,FALSE,14.732948012527316,Other,NA
ZNF770_MA2099.1,ZNF770,MA2099.1,C_ZNF770,18196,0.07179,802,0.0509,554,0.06304,1.52763e-56,FALSE,55.81598182142564,Other,NA
ZSCAN16_MA2100.1,ZSCAN16,MA2100.1,C_ZSCAN16,9510,0.12384,547,0.09449,421,-0.01788,4.5242e-12,FALSE,11.344458204591746,Other,NA
ZNF677_MA2101.1,ZNF677,MA2101.1,C_ZNF677,15333,0.08159,689,0.05936,549,0.01791,1.07529e-19,FALSE,18.968474393036914,Other,NA
ZBTB17_MA2102.1,ZBTB17,MA2102.1,C_ZBTB17,1514,0.06306,51,0.0393,40,0.10193,9.794029999999999e-35,FALSE,34.00903857003247,Positive (Top 10%),NA
FOXP4_MA2117.1,FOXP4,MA2117.1,C_FOXD1,7327,0.17289,570,0.14517,474,-0.08037,1.11537e-60,FALSE,59.95258104086442,Other,NA
FOXS1_MA2118.1,FOXS1,MA2118.1,C_FOXD1,10300,0.19165,798,0.16162,711,-0.0951,2.02106e-80,FALSE,79.69442079322289,Negative (Top 10%),NA
HOXA3_MA2119.1,HOXA3,MA2119.1,C_VAX2,3303,0.06274,117,0.0482,89,-0.05742,1.11065e-22,FALSE,21.954422779057847,Other,NA
ZNF184_MA2120.1,ZNF184,MA2120.1,C_ZNF184,15280,0.1454,1240,0.099,855,0.05447,7.60479e-62,FALSE,61.11891277412912,Other,NA
ZNF213_MA2121.1,ZNF213,MA2121.1,C_ZNF213,25017,0.17146,2114,0.11621,1529,0.11019,4.8730899999999995e-96,TRUE,95.31219556765781,Positive (Top 10%),NA
BCL11A_MA2324.1,BCL11A,MA2324.1,C_BCL11A,7504,0.13274,575,0.10546,444,-0.00903,0.0742175,FALSE,1.129493678853996,Other,NA
EPAS1_MA2325.1,EPAS1,MA2325.1,C_HIF1A,2210,0.23743,234,0.16782,175,0.01218,0.00371855,FALSE,2.4296263745696383,Other,NA
IKZF2_MA2326.1,IKZF2,MA2326.1,C_IKZF2,79470,0.22547,9751,0.15828,6955,0.07403,2.00924e-117,TRUE,116.69696818448105,Other,NA
PGR_MA2327.1,PGR,MA2327.1,C_PGR,6668,0.09025,347,0.0714,295,-0.01159,2.62452e-8,FALSE,7.580950113367724,Other,NA
ZBED4_MA2328.1,ZBED4,MA2328.1,C_ZBED4,23896,0.12072,1715,0.07656,1097,0.1076,1.00149e-91,TRUE,90.99935338283221,Positive (Top 10%),NA
ZBTB11_MA2329.1,ZBTB11,MA2329.1,C_GABPA,16816,0.26432,2566,0.17664,1739,0.10358,3.5942899999999995e-103,TRUE,102.44438688540212,Positive (Top 10%),NA
ZBTB24_MA2330.1,ZBTB24,MA2330.1,C_ZBTB24,19160,0.30018,2605,0.21331,1880,0.05925,4.33515e-76,FALSE,75.36299587095704,Other,NA
ZNF157_MA2331.1,ZNF157,MA2331.1,C_ZNF157,7322,0.3422,1007,0.28843,837,-0.08145,3.13481e-67,FALSE,66.50378877650859,Other,NA
ZNF175_MA2332.1,ZNF175,MA2332.1,C_GABPA,33993,0.15596,3028,0.10454,2064,0.10139,2.11919e-102,TRUE,101.67383010404787,Positive (Top 10%),NA
ZNF35_MA2333.1,ZNF35,MA2333.1,C_ZNF35,5306,0.09968,276,0.08953,247,-0.10542,4.40596e-66,TRUE,65.35595944995832,Negative (Top 10%),NA
ZNF547_MA2334.1,ZNF547,MA2334.1,C_ZNF547,7689,0.07162,335,0.05448,254,-0.00532,0.0502991,FALSE,1.298439785690207,Other,NA
ZNF558_MA2335.1,ZNF558,MA2335.1,C_ZNF558,20370,0.08174,891,0.06174,714,-0.01912,1.92921e-19,FALSE,18.71462049559239,Other,NA
ZSCAN21_MA2336.1,ZSCAN21,MA2336.1,C_ZSCAN21,6854,0.07911,343,0.0491,226,0.12459,3.53361e-73,TRUE,72.45178138470884,Positive (Top 10%),ZSCAN21
FEZF2_MA2341.1,FEZF2,MA2341.1,C_FEZF2,23214,0.26066,2374,0.19218,1855,-0.00276,0.00542713,FALSE,2.2654297753237027,Other,NA
ALX3_MA0634.2,ALX3,MA0634.2,C_VAX2,4821,0.05656,159,0.04428,128,-0.07551,1.53547e-41,FALSE,40.81375866437997,Other,NA
TBX21_MA0690.3,TBX21,MA0690.3,C_TBX2,7220,0.07695,302,0.06661,240,-0.02843,3.50909e-17,FALSE,16.45480549299801,Other,NA
ARGFX_MA1463.2,ARGFX,MA1463.2,C_VAX2,3811,0.04514,109,0.03638,91,-0.05697,2.6686700000000004e-26,FALSE,25.57370512648966,Other,NA
ARNT2_MA1464.2,ARNT2,MA1464.2,C_Mlxip,4344,0.10054,258,0.06113,166,0.06779,3.78569e-48,FALSE,47.42185495212646,Other,NA
ASCL1_MA1100.3,ASCL1,MA1100.3,C_Twist2,7511,0.07083,300,0.04255,185,0.08796,1.18918e-59,FALSE,58.92475240350568,Other,NA
ASCL1_MA1631.2,ASCL1,MA1631.2,C_FIGLA,12491,0.09805,712,0.0659,489,0.03801,6.92389e-41,FALSE,40.15964984038828,Other,NA
ATF2_MA1632.2,ATF2,MA1632.2,C_FOSL1::JUN,10478,0.03266,214,0.02489,157,0.01333,1.37272e-8,FALSE,7.862418038769068,Other,NA
ATF3_MA0605.3,ATF3,MA0605.3,C_FOSL1::JUN,4372,0.03097,85,0.01895,52,0.03303,3.20132e-14,FALSE,13.49467091214511,Other,NA
ATF4_MA0833.3,ATF4,MA0833.3,C_CEBPG,8233,0.0611,299,0.0468,251,-0.0477,1.7657899999999997e-34,FALSE,33.7530609470009,Other,NA
ATF6_MA1466.2,ATF6,MA1466.2,C_CREB3,4383,0.14545,358,0.08903,240,0.09987,5.5459400000000005e-61,FALSE,60.256024833245334,Positive (Top 10%),NA
ATF7_MA0834.2,ATF7,MA0834.2,C_FOSL1::JUN,3903,0.0289,69,0.01575,33,0.08823,8.03977e-41,FALSE,40.094756375276376,Other,NA
MAFK_MA0496.4,MAFK,MA0496.4,C_MAFG::NFE2L1,18357,0.07914,837,0.06061,667,-0.01293,1.30732e-9,FALSE,8.883618094726975,Other,NA
BACH2_MA1101.3,BACH2,MA1101.3,C_FOSL1,12043,0.04741,336,0.03323,255,-0.00659,5.20366e-4,FALSE,3.2836910873886405,Other,NA
BACH2_MA1470.2,BACH2,MA1470.2,C_BACH2,4367,0.02973,83,0.02103,49,0.03621,1.69567e-14,FALSE,13.770658663355155,Other,NA
BARHL1_MA0877.4,BARHL1,MA0877.4,C_BARHL1,3812,0.07512,156,0.0509,118,0.00428,0.604318,FALSE,0.2187344698186436,Other,NA
BARHL2_MA0635.2,BARHL2,MA0635.2,C_BARHL1,3812,0.07512,156,0.0509,118,0.00428,0.604318,FALSE,0.2187344698186436,Other,NA
BARX1_MA0875.2,BARX1,MA0875.2,C_RAX,7969,0.07964,301,0.06333,237,-0.02802,6.81273e-17,FALSE,16.166678822543602,Other,NA
BARX2_MA1471.2,BARX2,MA1471.2,C_BARX2,6427,0.02689,108,0.0201,78,0.03045,9.41955e-11,FALSE,10.02596984425436,Other,NA
BATF_MA1634.2,BATF,MA1634.2,C_FOSL1,15148,0.04382,406,0.03275,319,-0.00477,0.00518677,FALSE,2.2851030097556913,Other,NA
BATFJUN_MA0462.3,BATF::JUN,MA0462.3,C_FOSL1,15148,0.04382,406,0.03275,319,-0.00477,0.00518677,FALSE,2.2851030097556913,Other,NA
JUN_MA0488.2,JUN,MA0488.2,C_FOSL1::JUN,11274,0.03809,280,0.02741,187,0.00974,0.00118356,FALSE,2.926809720828762,Other,NA
BATF3_MA0835.3,BATF3,MA0835.3,C_FOSL1,15148,0.04382,406,0.03275,319,-0.00477,0.00518677,FALSE,2.2851030097556913,Other,NA
BCL6_MA0463.3,BCL6,MA0463.3,C_BCL6,9449,0.06462,323,0.04998,229,-0.00641,0.122391,FALSE,0.9122505167823249,Other,NA
BHLHE22_MA1635.2,BHLHE22,MA1635.2,C_Twist2,26214,0.05638,869,0.0357,560,0.09944,9.588380000000001e-82,FALSE,81.0182547626408,Positive (Top 10%),NA
BHLHE23_MA0817.2,BHLHE23,MA0817.2,C_ATOH7,2612,0.36105,314,0.28841,254,-0.0493,1.73214e-27,FALSE,26.76141700910258,Other,NA
BHLHE40_MA0464.3,BHLHE40,MA0464.3,C_Mlxip,3536,0.05809,118,0.03601,82,0.0974,2.59664e-36,FALSE,35.58558825709035,Positive (Top 10%),NA
BNC2_MA1928.2,BNC2,MA1928.2,C_FOSL1,15148,0.04382,406,0.03275,319,-0.00477,0.00518677,FALSE,2.2851030097556913,Other,NA
BSX_MA0876.2,BSX,MA0876.2,C_RAX,7969,0.07964,301,0.06333,237,-0.02802,6.81273e-17,FALSE,16.166678822543602,Other,NA
CDX2_MA0465.3,CDX2,MA0465.3,C_Hoxd13,8661,0.09146,412,0.07444,356,-0.07528,1.7114799999999999e-59,FALSE,58.76662817157161,Other,NA
CDX4_MA1473.2,CDX4,MA1473.2,C_HOXA10,8714,0.16122,658,0.14,557,-0.11034,5.586400000000001e-76,TRUE,75.25286797096705,Negative (Top 10%),NA
CEBPA_MA0102.5,CEBPA,MA0102.5,C_CEBPA,9644,0.07407,394,0.06282,351,-0.07724,2.92418e-60,FALSE,59.533995897582614,Other,NA
CEBPB_MA0466.4,CEBPB,MA0466.4,C_CEBPA,2384,0.04573,68,0.03891,62,-0.08422,3.2003399999999996e-34,FALSE,33.49480388034261,Negative (Top 10%),NA
CEBPD_MA0836.3,CEBPD,MA0836.3,C_CEBPA,9395,0.05831,318,0.05345,296,-0.08871,1.2231699999999998e-63,FALSE,62.912513179160676,Negative (Top 10%),NA
CEBPE_MA0837.3,CEBPE,MA0837.3,C_CEBPA,2554,0.04458,69,0.0374,65,-0.06295,3.8816399999999996e-27,FALSE,26.410984745419412,Other,NA
CEBPG_MA1636.2,CEBPG,MA1636.2,C_CEBPG,8973,0.06784,343,0.05688,299,-0.07063,2.6607999999999995e-52,FALSE,51.57498776812456,Other,NA
CLOCK_MA0819.3,CLOCK,MA0819.3,C_Mlxip,3000,0.05252,103,0.0302,62,0.13636,1.31848e-53,TRUE,52.87992645362596,Positive (Top 10%),CLOCK
CREB1_MA0018.5,CREB1,MA0018.5,C_FOSL1::JUN,12554,0.03134,248,0.02524,192,-0.02009,3.88733e-11,FALSE,10.41034859003617,Other,NA
CREB3_MA0638.2,CREB3,MA0638.2,C_CREB3,3829,0.09099,202,0.06282,155,0.03132,1.70785e-15,FALSE,14.767550275937998,Other,NA
CREB3L1_MA0839.2,CREB3L1,MA0839.2,C_CREB3L1,4412,0.11677,314,0.07668,209,0.09282,4.4225500000000005e-61,FALSE,60.35432724838967,Other,NA
CREB3L4_MA1474.2,CREB3L4,MA1474.2,C_CREB3L4,4007,0.14373,309,0.09572,219,0.05055,4.11766e-36,FALSE,35.38534951644065,Other,NA
CREB3L4_MA1475.2,CREB3L4,MA1475.2,C_FOSL1::JUN,3983,0.03534,88,0.02401,60,0.07982,7.933329999999999e-32,FALSE,31.100544480139863,Other,NA
CREM_MA0609.3,CREM,MA0609.3,C_FOSL1::JUN,4845,0.03936,125,0.02915,94,0.01006,0.0654881,FALSE,1.1838376095328054,Other,NA
CTCF_MA0139.2,CTCF,MA0139.2,C_CTCF,19035,0.15828,1500,0.10311,1050,0.07011,9.237490000000001e-70,FALSE,69.03444601874025,Other,NA
CTCF_MA1929.2,CTCF,MA1929.2,C_CTCF,17080,0.20346,1673,0.16182,1360,-0.03371,3.0824299999999996e-51,FALSE,50.511106777168216,Other,NA
CTCF_MA1930.2,CTCF,MA1930.2,C_CTCF,15116,0.26808,1697,0.21665,1368,-0.03186,1.16433e-41,FALSE,40.93392391241183,Other,NA
CTCFL_MA1102.3,CTCFL,MA1102.3,C_CTCFL,12308,0.16711,1068,0.12349,757,0.0413,7.86502e-42,FALSE,41.10430016866961,Other,NA
CUX1_MA0754.3,CUX1,MA0754.3,C_CUX1,1409,0.01527,9,0.0151,13,-0.09496,4.6802899999999995e-20,FALSE,19.32972723634943,Negative (Top 10%),NA
HOXB13_MA0901.3,HOXB13,MA0901.3,C_HOXB13,12922,0.04468,286,0.03502,248,-0.06459,4.19445e-49,FALSE,48.377324978250016,Other,NA
CUX2_MA0755.2,CUX2,MA0755.2,C_CUX1,1398,0.01873,12,0.01573,13,-0.03777,1.5642e-6,FALSE,5.805707718448027,Other,NA
DBP_MA0639.2,DBP,MA0639.2,C_DBP,3763,0.0664,147,0.0645,134,-0.11086,5.1253200000000004e-55,TRUE,54.290279014195,Negative (Top 10%),NA
DLX1_MA0879.3,DLX1,MA0879.3,C_RAX,7969,0.07964,301,0.06333,237,-0.02802,6.81273e-17,FALSE,16.166678822543602,Other,NA
DLX6_MA0882.2,DLX6,MA0882.2,C_RAX,7969,0.07964,301,0.06333,237,-0.02802,6.81273e-17,FALSE,16.166678822543602,Other,NA
DMRT3_MA0610.2,DMRT3,MA0610.2,C_DMRT3,2869,0.2985,376,0.26569,321,-0.10466,5.62792e-60,TRUE,59.24965208462135,Negative (Top 10%),NA
DMRTA1_MA1707.2,DMRTA1,MA1707.2,C_DMRTA1,6209,0.17026,512,0.14067,428,-0.04361,1.72757e-34,FALSE,33.76256434627051,Other,NA
DMRTA2_MA1478.2,DMRTA2,MA1478.2,C_DMRTA2,12864,0.32629,1596,0.28518,1391,-0.10264,9.37804e-91,TRUE,90.0278879192041,Negative (Top 10%),NA
DMRTC2_MA1479.2,DMRTC2,MA1479.2,C_DMRTC2,7056,0.05195,209,0.04239,186,-0.02618,2.87725e-9,FALSE,8.541022401264543,Other,NA
DPRX_MA1480.2,DPRX,MA1480.2,C_DPRX,3984,0.28472,444,0.24654,418,-0.14803,1.13702e-81,TRUE,80.94423189607458,Negative (Top 10%),DPRX
DRGX_MA1481.2,DRGX,MA1481.2,C_VAX2,4821,0.05656,159,0.04428,128,-0.07551,1.53547e-41,FALSE,40.81375866437997,Other,NA
E2F2_MA0864.3,E2F2,MA0864.3,C_E2F4,1501,0.0438,50,0.02053,19,0.23354,1.2499499999999999e-51,TRUE,50.903107359118664,Positive (Top 10%),E2F2
E2F3_MA0469.4,E2F3,MA0469.4,C_E2F3,1012,0.02211,17,0.00958,10,0.2524,3.31903e-36,TRUE,35.47898882207902,Positive (Top 10%),E2F3
ONECUT2_MA0756.3,ONECUT2,MA0756.3,C_ONECUT2,1320,0.08117,50,0.06172,47,-0.16824,5.068520000000001e-56,TRUE,55.29511883547257,Negative (Top 10%),ONECUT2
E2F4_MA0470.3,E2F4,MA0470.3,C_E2F4,1581,0.05794,62,0.02771,24,0.24758,3.69968e-58,TRUE,57.431835838161184,Positive (Top 10%),E2F4
E2F6_MA0471.3,E2F6,MA0471.3,C_E2F6,19097,0.40098,2974,0.28789,2308,0.00833,3.7758e-9,FALSE,8.42299101786887,Other,NA
E2F8_MA0865.3,E2F8,MA0865.3,C_E2F8,4906,0.09061,253,0.0639,163,0.07109,1.91756e-40,FALSE,39.717251038194505,Other,NA
EBF1_MA0154.5,EBF1,MA0154.5,C_EBF1,12509,0.90382,3025,0.7574,2698,-0.10213,4.4312399999999997e-91,TRUE,90.35347472754614,Negative (Top 10%),NA
EBF3_MA1637.2,EBF3,MA1637.2,C_EBF3,12109,0.36001,1644,0.27715,1312,-7.7e-4,0.392245,FALSE,0.4064425837161678,Other,NA
EGR1_MA0162.5,EGR1,MA0162.5,C_EGR1,14591,0.21352,1349,0.13958,912,0.09006,5.88751e-77,FALSE,76.2300683422085,Other,NA
EGR3_MA0732.2,EGR3,MA0732.2,C_EGR1,12024,0.23916,1111,0.15798,789,0.03854,8.01087e-43,FALSE,42.09632031591557,Other,NA
EGR4_MA0733.2,EGR4,MA0733.2,C_EGR1,11851,0.23745,1098,0.16508,816,-0.00446,0.00200106,FALSE,2.6987398892357266,Other,NA
EHF_MA0598.4,EHF,MA0598.4,C_GABPA,34797,0.21213,4421,0.14531,3079,0.082,2.22504e-102,TRUE,101.65266217721198,Other,NA
ELF1_MA0473.4,ELF1,MA0473.4,C_GABPA,32421,0.2109,4025,0.14937,2868,0.07005,1.16151e-90,FALSE,89.93497704679692,Other,NA
ELF2_MA1483.3,ELF2,MA1483.3,C_ELF2,14680,0.29363,2040,0.19676,1458,0.08081,2.02515e-80,FALSE,79.69354280367911,Other,NA
ELF3_MA0640.3,ELF3,MA0640.3,C_GABPA,36823,0.20205,4438,0.1394,3125,0.07801,4.60203e-105,TRUE,104.3370505545522,Other,NA
ELK1_MA0028.3,ELK1,MA0028.3,C_ETS1,8854,0.29721,1318,0.17995,870,0.14611,3.39681e-101,TRUE,100.46892874463991,Positive (Top 10%),ELK1
EOMES_MA0800.2,EOMES,MA0800.2,C_TBX2,7195,0.08172,330,0.06981,282,-0.10575,3.58786e-62,TRUE,61.44516451167413,Negative (Top 10%),NA
ETV7_MA1708.2,ETV7,MA1708.2,C_GABPA,20307,0.24411,2921,0.16562,2016,0.08283,6.733480000000001e-88,FALSE,87.17176042549626,Other,NA
HOXA1_MA1495.2,HOXA1,MA1495.2,C_VAX2,4821,0.05656,159,0.04428,128,-0.07551,1.53547e-41,FALSE,40.81375866437997,Other,NA
ELK1HOXB13_MA1932.2,ELK1::HOXB13,MA1932.2,C_ELK1::HOXB13,7184,0.12121,537,0.08859,358,0.09681,1.9716e-68,FALSE,67.70518119051731,Positive (Top 10%),NA
PAX1_MA0779.2,PAX1,MA0779.2,C_PAX9,3548,0.14272,226,0.09739,165,-0.01659,1.71766e-5,FALSE,4.765062797860469,Other,NA
PAX5_MA0014.4,PAX5,MA0014.4,C_PAX5,3289,0.26698,397,0.19357,302,0.00507,0.351759,FALSE,0.4537547820230421,Other,NA
PAX9_MA0781.2,PAX9,MA0781.2,C_PAX9,3831,0.17154,239,0.11845,180,-0.01747,4.10173e-11,FALSE,10.387032930844635,Other,NA
SPDEF_MA0686.2,SPDEF,MA0686.2,C_ELF2,6538,0.31274,964,0.21426,700,0.06079,7.62564e-50,FALSE,49.117723701252736,Other,NA
ELK1SREBF2_MA1933.2,ELK1::SREBF2,MA1933.2,C_ELK1::SREBF2,6660,0.5084,1336,0.36763,985,0.0362,2.57875e-45,FALSE,44.58859075901879,Other,NA
SREBF2_MA0828.3,SREBF2,MA0828.3,C_BHLHE41,3073,0.06182,109,0.03304,72,0.12077,2.4736399999999997e-54,TRUE,53.6066635049453,Positive (Top 10%),NA
TEF_MA0843.2,TEF,MA0843.2,C_DBP,3646,0.07894,166,0.07996,159,-0.13311,3.56315e-66,TRUE,65.44816589451649,Negative (Top 10%),TEF
ELK3_MA0759.3,ELK3,MA0759.3,C_ETS1,7328,0.41429,1401,0.25836,977,0.12889,4.1174e-88,TRUE,87.38537693981469,Positive (Top 10%),ELK3
ELK4_MA0076.3,ELK4,MA0076.3,C_GABPA,14510,0.25647,2088,0.16978,1409,0.10809,1.78613e-92,TRUE,91.74808693501747,Positive (Top 10%),NA
EMX1_MA0612.3,EMX1,MA0612.3,C_VAX2,4821,0.05656,159,0.04428,128,-0.07551,1.53547e-41,FALSE,40.81375866437997,Other,NA
EMX2_MA0886.2,EMX2,MA0886.2,C_VAX2,4821,0.05656,159,0.04428,128,-0.07551,1.53547e-41,FALSE,40.81375866437997,Other,NA
EN1_MA0027.3,EN1,MA0027.3,C_VAX2,4821,0.05656,159,0.04428,128,-0.07551,1.53547e-41,FALSE,40.81375866437997,Other,NA
EN2_MA0642.3,EN2,MA0642.3,C_PRRX2,3987,0.13522,207,0.11105,180,-0.10405,3.68213e-50,FALSE,49.43390088251153,Negative (Top 10%),NA
ERF_MA0760.2,ERF,MA0760.2,C_ETS1,10958,0.25125,1405,0.15543,952,0.12261,4.42218e-94,TRUE,93.35436358391566,Positive (Top 10%),ERF
ERFFIGLA_MA1934.2,ERF::FIGLA,MA1934.2,C_ETV5::FIGLA,10732,0.38646,1889,0.28551,1435,0.02306,1.63757e-33,FALSE,32.78580012647269,Other,NA
FIGLA_MA0820.2,FIGLA,MA0820.2,C_FIGLA,23498,0.06074,750,0.04172,559,-0.00284,0.0141999,FALSE,1.8477147140395571,Other,NA
ERFFOXI1_MA1935.2,ERF::FOXI1,MA1935.2,C_ETV2::FOXI1,25927,0.16815,2364,0.12527,1769,0.03035,7.84503e-50,FALSE,49.10540539129826,Other,NA
ERFFOXO1_MA1936.2,ERF::FOXO1,MA1936.2,C_ETV2::FOXI1,20418,0.1225,1439,0.09526,1142,-0.02049,1.4315299999999999e-28,FALSE,27.84419954621176,Other,NA
ERFHOXB13_MA1937.2,ERF::HOXB13,MA1937.2,C_ERF::HOXB13,7993,0.11797,538,0.08452,390,0.0538,4.3107e-39,FALSE,38.36545220049989,Other,NA
MAX_MA0058.4,MAX,MA0058.4,C_Mlxip,8289,0.07507,372,0.04581,238,0.10053,5.5403000000000006e-67,FALSE,66.25646671815659,Positive (Top 10%),NA
ERFNHLH1_MA1938.2,ERF::NHLH1,MA1938.2,C_ERF::NHLH1,11246,0.24079,1065,0.17862,777,0.02602,1.4276200000000001e-33,FALSE,32.845387376498955,Other,NA
NHLH1_MA0048.3,NHLH1,MA0048.3,C_Twist2,12999,0.05549,476,0.0363,296,0.07193,3.686439999999999e-52,FALSE,51.43339283022174,Other,NA
ERFSREBF2_MA1939.2,ERF::SREBF2,MA1939.2,C_ERF::SREBF2,5098,0.13623,407,0.09969,285,6.6e-4,0.611087,FALSE,0.21389695517449148,Other,NA
ESR1_MA0112.4,ESR1,MA0112.4,C_ESR2,6293,0.03721,127,0.02683,96,0.05987,2.22693e-27,FALSE,26.652293434107193,Other,NA
ESRRA_MA0592.4,ESRRA,MA0592.4,C_Nr1h3,11642,0.00752,47,0.00481,42,0.06709,3.93448e-24,FALSE,23.4051126579818,Other,NA
ESRRB_MA0141.4,ESRRB,MA0141.4,C_Nr1h3,9774,0.0307,183,0.02035,125,0.0984,1.9991e-50,FALSE,49.69916548083839,Positive (Top 10%),NA
ESX1_MA0644.3,ESX1,MA0644.3,C_VAX2,3744,0.06191,138,0.05441,129,-0.13353,8.14882e-62,TRUE,61.08890527525893,Negative (Top 10%),ESX1
ETS1_MA0098.4,ETS1,MA0098.4,C_ETS1,11467,0.24947,1484,0.15639,1005,0.12503,1.6308200000000002e-94,TRUE,93.78759397109995,Positive (Top 10%),ETS1
ETS2_MA1484.2,ETS2,MA1484.2,C_ETS1,10622,0.28083,1476,0.17541,1015,0.11938,7.942450000000001e-88,TRUE,87.1000455105005,Positive (Top 10%),NA
ETV1_MA0761.3,ETV1,MA0761.3,C_GABPA,34087,0.15857,3074,0.10605,2116,0.10386,7.11816e-105,TRUE,104.14763225427315,Positive (Top 10%),NA
ETV2_MA0762.2,ETV2,MA0762.2,C_ETS1,12382,0.20704,1376,0.12697,927,0.12973,5.2482899999999995e-93,TRUE,92.27998217555312,Positive (Top 10%),ETV2
ETV2DRGX_MA1940.2,ETV2::DRGX,MA1940.2,C_ETV5::DRGX,6612,0.15782,581,0.1198,415,0.01264,1.4281e-9,FALSE,8.845241380845824,Other,NA
ETV2FIGLA_MA1941.2,ETV2::FIGLA,MA1941.2,C_ETV5::FIGLA,11559,0.38518,2000,0.28169,1478,0.03918,4.621969999999999e-53,FALSE,52.33517287773981,Other,NA
ETV2FOXI1_MA1942.2,ETV2::FOXI1,MA1942.2,C_ETV2::FOXI1,28203,0.22141,3247,0.16286,2389,0.04978,2.10744e-75,FALSE,74.67624478113494,Other,NA
ETV2HOXB13_MA1943.2,ETV2::HOXB13,MA1943.2,C_ETV2::HOXB13,4909,0.1153,305,0.07812,228,0.04026,1.1430299999999999e-21,FALSE,20.941942370949008,Other,NA
ETV3_MA0763.2,ETV3,MA0763.2,C_ETS1,7981,0.22203,980,0.13415,624,0.14747,1.0437099999999999e-92,TRUE,91.98142015544813,Positive (Top 10%),ETV3
ETV4_MA0764.4,ETV4,MA0764.4,C_ETS1,9160,0.29572,1353,0.17787,895,0.14522,6.836400000000001e-94,TRUE,93.1651725344957,Positive (Top 10%),ETV4
ETV5_MA0765.4,ETV5,MA0765.4,C_ETS1,6058,0.3351,1004,0.20449,674,0.14451,3.51021e-91,TRUE,90.45466690088088,Positive (Top 10%),ETV5
ETV5DRGX_MA1944.2,ETV5::DRGX,MA1944.2,C_ETV5::DRGX,9991,0.18987,1062,0.13998,761,0.03726,2.7590499999999996e-40,FALSE,39.55924042908684,Other,NA
ETV5FIGLA_MA1945.2,ETV5::FIGLA,MA1945.2,C_ETV5::FIGLA,14821,0.25094,1807,0.17814,1340,0.04236,2.3575299999999997e-51,FALSE,50.62754277207884,Other,NA
