output_prefix,name,motif_id,cluster,total_tfbs,SEA_mean_score,SEA_bound,NOSEA_mean_score,NOSEA_bound,SEA_NOSEA_change,SEA_NOSEA_pvalue,SEA_NOSEA_highlighted,neglog10p,category,label
TBXT_MA0009.2,TBXT,MA0009.2,C_TBX19,4035,0.11792,221,0.09435,182,-0.04944,3.93976e-33,FALSE,32.40453023346639,Other,NA
TBX20_MA0689.1,TBX20,MA0689.1,C_TBX20,8341,0.08206,346,0.06851,287,-0.0627,1.81616e-42,FALSE,41.74084589366946,Other,NA
TFAP4_MA0691.1,TFAP4,MA0691.1,C_TFAP4,9119,0.04168,227,0.02699,158,0.07527,1.08338e-38,FALSE,37.96521918607373,Other,NA
ZIC1_MA0696.1,ZIC1,MA0696.1,C_ZIC1,9359,0.25731,1123,0.2113,885,-0.02297,2.2926200000000002e-30,FALSE,29.639667923281106,Other,NA
PHOX2A_MA0713.1,PHOX2A,MA0713.1,C_PHOX2A,5914,0.07804,219,0.06116,190,-0.04036,2.11687e-23,FALSE,22.674305811804018,Other,NA
PROP1_MA0715.1,PROP1,MA0715.1,C_PHOX2A,6926,0.066,222,0.05649,212,-0.05856,3.0875299999999995e-39,FALSE,38.51038881388737,Other,NA
VENTX_MA0724.1,VENTX,MA0724.1,C_VENTX,3252,0.07134,113,0.04962,83,0.02604,2.10576e-7,FALSE,6.676591128219468,Other,NA
Nr2F6_MA0728.1,Nr2F6,MA0728.1,C_Rarb,10734,0.37742,1657,0.29888,1389,-0.06685,3.07932e-69,FALSE,68.51154517728293,Other,NA
RARA_MA0729.1,RARA,MA0729.1,C_RARA,9885,0.13386,673,0.10536,544,-0.027,6.728949999999999e-28,FALSE,27.172052698745187,Other,NA
RARA_MA0730.1,RARA,MA0730.1,C_Rarb,9664,0.1094,574,0.08773,484,-0.02872,1.66332e-26,FALSE,25.779024190428718,Other,NA
BCL6B_MA0731.1,BCL6B,MA0731.1,C_BCL6B,11296,0.25559,978,0.20595,840,-0.08794,1.5016700000000002e-76,FALSE,75.82342549537795,Negative (Top 10%),NA
EGR2_MA0472.2,EGR2,MA0472.2,C_EGR1,8292,0.18995,597,0.12397,430,0.01296,1.001e-8,FALSE,7.999565922520682,Other,NA
GLIS2_MA0736.1,GLIS2,MA0736.1,C_GLIS2,5700,0.2422,650,0.18089,494,-0.01014,1.42935e-4,FALSE,3.844861413996354,Other,NA
GLIS3_MA0737.1,GLIS3,MA0737.1,C_GLIS3,5082,0.25341,529,0.18981,420,-0.03503,4.86512e-22,FALSE,21.312906443228087,Other,NA
KLF16_MA0741.1,KLF16,MA0741.1,C_KLF16,33671,0.25467,4439,0.18413,3327,0.03738,5.00126e-69,FALSE,68.30092056724195,Other,NA
ZNF143_MA0088.2,ZNF143,MA0088.2,C_ZNF76,9521,0.31576,1068,0.21017,877,0.01433,3.75924e-17,FALSE,16.424899946872408,Other,NA
E2F7_MA0758.1,E2F7,MA0758.1,C_E2F7,4885,0.02987,79,0.02118,60,0.0325,6.35936e-9,FALSE,8.19658658913998,Other,NA
HSF2_MA0770.1,HSF2,MA0770.1,C_HSF2,8776,0.12063,600,0.08448,422,0.03751,1.63334e-36,FALSE,35.786923402064225,Other,NA
HSF4_MA0771.1,HSF4,MA0771.1,C_HSF2,7713,0.12031,533,0.08063,368,0.05203,7.20473e-41,FALSE,40.142382289896105,Other,NA
MEF2D_MA0773.1,MEF2D,MA0773.1,C_MEF2D,11112,0.04768,299,0.04038,242,-0.02881,2.24059e-21,FALSE,20.649637606663525,Other,NA
MEIS2_MA0774.1,MEIS2,MA0774.1,C_MEIS1,9665,0.14978,695,0.11743,568,-0.0477,1.5631299999999998e-40,FALSE,39.80600490174098,Other,NA
MYBL1_MA0776.1,MYBL1,MA0776.1,C_MYBL1,1598,0.24228,169,0.21667,161,-0.18072,4.47589e-71,TRUE,70.34912059528489,Negative (Top 10%),MYBL1
MYBL2_MA0777.1,MYBL2,MA0777.1,C_MYBL2,1454,0.1152,65,0.08954,61,-0.05342,3.62833e-21,FALSE,20.4402932203271,Other,NA
NFKB1_MA0105.4,NFKB1,MA0105.4,C_NFKB2,4078,0.25501,562,0.1841,408,0.04433,4.50005e-33,FALSE,32.34678266075722,Other,NA
PAX3_MA0780.1,PAX3,MA0780.1,C_Pax7,2474,0.03498,39,0.02338,35,0.02649,4.09908e-8,FALSE,7.3873136056601965,Other,NA
PKNOX2_MA0783.1,PKNOX2,MA0783.1,C_TGIF2LX,8789,0.10076,469,0.0739,398,-0.02373,5.55806e-25,FALSE,24.255076769266406,Other,NA
POU3F2_MA0787.1,POU3F2,MA0787.1,C_POU3F3,9606,0.0942,497,0.07934,415,-0.03821,1.83409e-37,FALSE,36.73657935702786,Other,NA
POU3F3_MA0788.1,POU3F3,MA0788.1,C_POU3F3,10667,0.03006,190,0.0209,149,0.03732,2.4110899999999998e-21,FALSE,20.617786578185857,Other,NA
POU3F4_MA0789.1,POU3F4,MA0789.1,C_POU3F3,8235,0.0433,202,0.03145,164,0.03171,4.12626e-11,FALSE,10.384443410146744,Other,NA
POU5F1B_MA0792.1,POU5F1B,MA0792.1,C_POU3F3,8602,0.04752,247,0.03608,203,-0.01613,5.85208e-8,FALSE,7.232689745547227,Other,NA
PROX1_MA0794.1,PROX1,MA0794.1,C_PROX1,3737,0.05769,128,0.04055,99,0.05603,5.73377e-29,FALSE,28.241559731991945,Other,NA
SMAD3_MA0795.1,SMAD3,MA0795.1,C_SMAD3,3880,1.07606,911,0.87169,807,-0.0889,3.7850699999999997e-63,FALSE,62.42192608437193,Negative (Top 10%),NA
TGIF1_MA0796.1,TGIF1,MA0796.1,C_TGIF2LX,8009,0.08458,379,0.05837,307,0.00326,0.477383,FALSE,0.3211330506364453,Other,NA
TGIF2_MA0797.1,TGIF2,MA0797.1,C_TGIF2LX,7698,0.09994,411,0.07021,327,0.00238,0.947165,FALSE,0.023574358538920318,Other,NA
RUNX2_MA0511.2,RUNX2,MA0511.2,C_Bcl11B,7863,0.12806,541,0.0859,363,0.06788,1.4845399999999998e-53,FALSE,52.82840809611763,Other,NA
MGA_MA0801.1,MGA,MA0801.1,C_TBX4,7732,0.11848,429,0.09402,329,0.00815,2.03053e-6,FALSE,5.692390589656727,Other,NA
TBX15_MA0803.1,TBX15,MA0803.1,C_TBX4,7095,0.11466,397,0.09337,305,-0.00751,0.0127822,FALSE,1.8933943914333051,Other,NA
TBX1_MA0805.1,TBX1,MA0805.1,C_TBX4,8437,0.11287,485,0.09171,374,-0.02956,1.66158e-20,FALSE,19.779478743929573,Other,NA
TBX4_MA0806.1,TBX4,MA0806.1,C_TBX4,7588,0.11255,416,0.09073,319,4e-5,0.337243,FALSE,0.4720570560160987,Other,NA
TBX5_MA0807.1,TBX5,MA0807.1,C_TBX4,8906,0.11371,481,0.0896,373,-0.00533,0.0425846,FALSE,1.3707474277564593,Other,NA
TEAD3_MA0808.1,TEAD3,MA0808.1,C_TEAD4,6470,0.10313,364,0.08042,301,-0.00887,0.00192269,FALSE,2.7160907324761703,Other,NA
TFAP2B_MA0813.1,TFAP2B,MA0813.1,C_TFAP2C,7883,0.56731,1582,0.38663,1171,0.08484,4.73299e-77,FALSE,76.32486441312115,Other,NA
TFAP2C_MA0815.1,TFAP2C,MA0815.1,C_TFAP2C,6866,0.54672,1361,0.36136,997,0.09519,7.15176e-75,FALSE,74.145587068097,Positive (Top 10%),NA
Ascl2_MA0816.1,Ascl2,MA0816.1,C_Twist2,13518,0.07862,616,0.05018,414,0.06388,8.88981e-56,FALSE,55.05110752101329,Other,NA
HES7_MA0822.1,HES7,MA0822.1,C_HES7,3091,0.23205,348,0.15804,257,0.01311,6.69684e-5,FALSE,4.1741300770451835,Other,NA
HEY1_MA0823.1,HEY1,MA0823.1,C_HES1,4091,0.09846,268,0.06262,175,0.05897,2.79129e-30,FALSE,29.554195040309292,Other,NA
OLIG1_MA0826.1,OLIG1,MA0826.1,C_ATOH7,2792,0.33237,331,0.25861,258,-0.02161,9.10324e-12,FALSE,11.040804007274119,Other,NA
OLIG3_MA0827.1,OLIG3,MA0827.1,C_ATOH7,3311,0.30243,354,0.24564,302,-0.08379,1.55185e-57,FALSE,56.80915025944417,Negative (Top 10%),NA
CEBPG_MA0838.1,CEBPG,MA0838.1,C_CEBPA,3650,0.06395,134,0.04976,113,-0.05338,2.36663e-27,FALSE,26.625869634558768,Other,NA
FOXB1_MA0845.1,FOXB1,MA0845.1,C_FOXC2,12350,0.16714,898,0.14121,773,-0.06497,2.56865e-68,FALSE,67.5902950679501,Other,NA
FOXC1_MA0032.2,FOXC1,MA0032.2,C_FOXC2,14644,0.13058,836,0.10673,679,-0.02354,4.9748300000000004e-30,FALSE,29.303221755385266,Other,NA
FOXO4_MA0848.1,FOXO4,MA0848.1,C_FOXD1,9768,0.14355,674,0.11672,574,-0.07202,8.75413e-66,FALSE,65.05778700834394,Other,NA
FOXO6_MA0849.1,FOXO6,MA0849.1,C_FOXD1,9768,0.14355,674,0.11672,574,-0.07202,8.75413e-66,FALSE,65.05778700834394,Other,NA
FOXP3_MA0850.1,FOXP3,MA0850.1,C_FOXD1,16220,0.13885,1128,0.1127,954,-0.08759,2.3093299999999997e-86,FALSE,85.6365140025793,Negative (Top 10%),NA
RXRB_MA0855.1,RXRB,MA0855.1,C_Nr2f6,10950,0.3448,1430,0.28245,1271,-0.10481,1.4914799999999997e-84,TRUE,83.82638256593442,Negative (Top 10%),NA
RXRG_MA0856.1,RXRG,MA0856.1,C_Nr2f6,10618,0.33823,1359,0.28099,1219,-0.11068,1.3820499999999997e-84,TRUE,83.85947624471052,Negative (Top 10%),NA
Rarb_MA0857.1,Rarb,MA0857.1,C_Rarb,11330,0.25903,1341,0.21639,1166,-0.09846,3.87735e-89,FALSE,88.41146499439955,Negative (Top 10%),NA
Rarb_MA0858.1,Rarb,MA0858.1,C_Rarb,9697,0.10527,546,0.0856,480,-0.04885,5.21028e-47,FALSE,46.28313893712515,Other,NA
Rarg_MA0860.1,Rarg,MA0860.1,C_Rarg,10317,0.07137,407,0.04808,291,0.02428,1.70736e-15,FALSE,14.767674897438633,Other,NA
TP63_MA0525.2,TP63,MA0525.2,C_TP63,4145,0.31677,581,0.25682,475,-0.0619,9.417409999999999e-51,FALSE,50.026068521556354,Other,NA
TP53_MA0106.3,TP53,MA0106.3,C_TP53,4505,0.49006,706,0.40074,606,-0.07306,1.92164e-57,FALSE,56.71632796976711,Other,NA
GMEB2_MA0862.1,GMEB2,MA0862.1,C_GMEB2,947,0.05537,29,0.04133,22,-0.03966,1.13129e-4,FALSE,3.9464260517892527,Other,NA
MTF1_MA0863.1,MTF1,MA0863.1,C_MTF1,5787,0.14882,464,0.123,348,-0.02425,1.41619e-14,FALSE,13.848878476578433,Other,NA
E2F1_MA0024.3,E2F1,MA0024.3,C_E2F4,1379,0.06842,57,0.03568,31,0.23938,7.16803e-60,TRUE,59.144600185711,Positive (Top 10%),E2F1
SOX21_MA0866.1,SOX21,MA0866.1,C_SOX21,8121,0.01534,64,0.00983,51,0.03088,1.33046e-9,FALSE,8.875998177888551,Other,NA
Sox1_MA0870.1,Sox1,MA0870.1,C_SOX21,6763,0.01491,58,0.00956,48,0.07864,2.9423999999999998e-28,FALSE,27.531298288105997,Other,NA
TFAP2A_MA0872.1,TFAP2A,MA0872.1,C_TFAP2C,6917,0.49343,1257,0.32826,937,0.08054,3.38991e-70,FALSE,69.46981183189197,Other,NA
ZNF24_MA1124.1,ZNF24,MA1124.1,C_ZNF24,10526,0.1146,641,0.08592,491,0.01583,1.89159e-11,FALSE,10.723172990573454,Other,NA
ZSCAN4_MA1155.1,ZSCAN4,MA1155.1,C_ZSCAN4,19430,0.03429,368,0.0247,302,0.01243,2.7696e-5,FALSE,4.5575829494686815,Other,NA
FOSBJUN_MA1127.1,FOSB::JUN,MA1127.1,C_FOSL1::JUN,5977,0.03039,109,0.02308,88,-0.00536,0.754397,FALSE,0.12240004732008687,Other,NA
FOSL1JUN_MA1129.1,FOSL1::JUN,MA1129.1,C_FOSL1::JUN,4078,0.02995,73,0.0187,45,0.0527,1.99187e-23,FALSE,22.70073900934856,Other,NA
FOSBJUNB_MA1136.1,FOSB::JUNB,MA1136.1,C_FOSL1::JUN,4826,0.03233,92,0.02149,66,0.03489,8.17695e-12,FALSE,11.087408657841692,Other,NA
IRF5_MA1420.1,IRF5,MA1420.1,C_IRF5,7036,0.07809,296,0.04914,209,0.06903,9.672699999999999e-45,FALSE,44.014452281715435,Other,NA
TCF7L1_MA1421.1,TCF7L1,MA1421.1,C_TCF7L1,13560,0.06782,541,0.05253,428,-0.00511,0.115224,FALSE,0.9384570523192283,Other,NA
ATOH7_MA1468.1,ATOH7,MA1468.1,C_ATOH7,6294,0.23168,614,0.1843,492,-0.03812,2.53678e-36,FALSE,35.5957171949497,Other,NA
FERD3L_MA1485.1,FERD3L,MA1485.1,C_FERD3L,8247,0.09651,457,0.0692,321,0.04806,9.189689999999999e-32,FALSE,31.036699138620435,Other,NA
FOXN3_MA1489.1,FOXN3,MA1489.1,C_FOXN3,8146,0.11293,475,0.08612,339,0.02721,4.0012299999999996e-20,FALSE,19.397806483647273,Other,NA
