output_prefix,motif_id,motif_name,SEA_NOSEA_change,SEA_NOSEA_pvalue,SEA_NOSEA_highlighted,IF_UF_change,IF_UF_pvalue,IF_UF_highlighted,highlighted,quadrant,plot_group
NFIL3_MA0025.3,MA0025.3,NFIL3,-0.04583,2.1206899999999998e-35,FALSE,-0.02173,3.63603e-6,FALSE,FALSE,Low in Both,Not highlighted
NFIX_MA0671.2,MA0671.2,NFIX,0.01289,2.53212e-13,FALSE,-0.00722,1.56658e-10,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
NFIX_MA1528.2,MA1528.2,NFIX,-0.02775,6.65292e-23,FALSE,0.02483,1.49132e-15,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
NFKB2_MA0778.2,MA0778.2,NFKB2,0.05199,1.34185e-41,FALSE,-0.06657,5.49237e-46,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
NFYA_MA0060.4,MA0060.4,NFYA,0.08243,3.19882e-73,FALSE,-0.01448,1.5976e-11,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
NFYB_MA0502.3,MA0502.3,NFYB,-0.02503,4.06938e-28,FALSE,0.02631,9.5119e-27,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
NFYC_MA1644.2,MA1644.2,NFYC,0.07467,3.65378e-57,FALSE,-0.01991,1.07325e-7,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
NHLH2_MA1529.2,MA1529.2,NHLH2,0.10675,6.59347e-61,FALSE,-0.07373,5.6253199999999994e-39,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
NKX2-2_MA1645.2,MA1645.2,NKX2-2,-0.0257,9.71046e-26,FALSE,-0.00815,6.30963e-4,FALSE,FALSE,Low in Both,Not highlighted
NKX2-3_MA0672.2,MA0672.2,NKX2-3,0.00508,0.129654,FALSE,0.00551,0.517115,FALSE,FALSE,High in Both,Not highlighted
NKX2-4_MA2003.2,MA2003.2,NKX2-4,-0.02262,1.69856e-16,FALSE,0.0217,1.90294e-10,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
NKX2-5_MA0063.3,MA0063.3,NKX2-5,0.01072,3.83014e-4,FALSE,0.04335,1.45884e-25,FALSE,FALSE,High in Both,Not highlighted
