output_prefix,motif_id,motif_name,SEA_NOSEA_change,SEA_NOSEA_pvalue,SEA_NOSEA_highlighted,IF_UF_change,IF_UF_pvalue,IF_UF_highlighted,highlighted,quadrant,plot_group
SP5_MA1965.2,MA1965.2,SP5,0.02878,4.15711e-74,FALSE,-0.00445,4.05713e-10,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
SP8_MA0747.2,MA0747.2,SP8,0.03339,1.08763e-60,FALSE,-0.03091,7.512059999999999e-39,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
SP9_MA1564.2,MA1564.2,SP9,0.10439,5.126379999999999e-101,TRUE,-0.07997,9.398570000000001e-72,TRUE,TRUE,"Up in SEA, Down in IF","Up in SEA, Down in IF"
SPIB_MA0081.3,MA0081.3,SPIB,0.10269,1.48476e-101,TRUE,0.06325,1.87165e-68,TRUE,TRUE,High in Both,High in Both
SPIC_MA0687.2,MA0687.2,SPIC,0.10853,6.371879999999999e-112,TRUE,0.0584,1.81209e-62,TRUE,TRUE,High in Both,High in Both
SREBF1_MA0829.3,MA0829.3,SREBF1,0.08838,1.0642599999999999e-45,FALSE,-0.08366,9.132149999999999e-31,TRUE,TRUE,"Up in SEA, Down in IF","Up in SEA, Down in IF"
SRY_MA0084.2,MA0084.2,SRY,0.00229,0.0723785,FALSE,0.04587,1.15727e-17,FALSE,FALSE,High in Both,Not highlighted
STAT1_MA0137.4,MA0137.4,STAT1,-0.04811,9.48571e-48,FALSE,-0.07692,1.04769e-48,FALSE,FALSE,Low in Both,Not highlighted
STAT1STAT2_MA0517.2,MA0517.2,STAT1::STAT2,0.06309,8.3577e-68,FALSE,-0.00284,0.0584599,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
STAT3_MA0144.3,MA0144.3,STAT3,0.02786,1.44917e-23,FALSE,-0.00294,0.451932,FALSE,FALSE,"Up in SEA, Down in IF",Not highlighted
TAL1TCF3_MA0091.2,MA0091.2,TAL1::TCF3,-0.0111,2.40506e-8,FALSE,-0.00376,0.0588211,FALSE,FALSE,Low in Both,Not highlighted
TBR1_MA0802.2,MA0802.2,TBR1,-0.06871,1.1551799999999998e-52,FALSE,3e-5,0.693612,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
TBX18_MA1565.2,MA1565.2,TBX18,-0.08455,4.6923e-62,FALSE,-0.01483,1.51215e-11,FALSE,FALSE,Low in Both,Not highlighted
TBX19_MA0804.2,MA0804.2,TBX19,-0.08289,6.079999999999999e-51,FALSE,0.01041,0.01177,FALSE,FALSE,"Up in IF, Down in SEA",Not highlighted
