output_prefix	name	motif_id	cluster	total_tfbs	SEA_mean_score	SEA_bound	NOSEA_mean_score	NOSEA_bound	SEA_NOSEA_change	SEA_NOSEA_pvalue	SEA_NOSEA_highlighted
NRL_MA0842.3	NRL	MA0842.3	C_Mafb	8909	0.06839	356	0.04924	262	-0.00346	1.24991E-02	False
ONECUT1_MA0679.3	ONECUT1	MA0679.3	C_ONECUT3	6237	0.03089	109	0.02941	109	-0.09292	2.87988E-49	False
ONECUT3_MA0757.2	ONECUT3	MA0757.2	C_ONECUT3	7399	0.02965	117	0.02217	98	0.03519	4.77556E-16	False
OSR1_MA1542.2	OSR1	MA1542.2	C_OSR2	8139	0.18544	686	0.13922	560	-0.00782	1.59361E-04	False
OSR2_MA1646.2	OSR2	MA1646.2	C_OSR2	16161	0.2253	1742	0.16651	1307	0.03127	3.06097E-43	False
OTX1_MA0711.2	OTX1	MA0711.2	C_RHOXF1	9948	0.0617	349	0.04707	270	0.00583	6.33281E-04	False
OTX2_MA0712.3	OTX2	MA0712.3	C_RHOXF1	3964	0.03114	77	0.02218	62	0.03604	2.33909E-16	False
OVOL1_MA1544.2	OVOL1	MA1544.2	C_OVOL1	1295	0.14409	82	0.10407	66	-0.01715	2.93142E-04	False
OVOL2_MA1545.2	OVOL2	MA1545.2	C_OVOL1	723	0.11124	43	0.07256	35	0.01814	2.34640E-04	False
PATZ1_MA1961.2	PATZ1	MA1961.2	C_PATZ1	46640	0.27652	6471	0.19678	4849	0.03337	1.00168E-71	False
PAX2_MA0067.3	PAX2	MA0067.3	C_PAX9	2738	0.15383	196	0.11224	124	0.03571	2.64187E-13	False
PAX3_MA1546.2	PAX3	MA1546.2	C_PAX3	2964	0.05827	111	0.03529	72	0.09126	4.92054E-39	False
PBX1_MA0070.2	PBX1	MA0070.2	C_PBX1	5510	0.17251	437	0.11834	328	0.03559	6.11617E-32	False
PBX2_MA1113.3	PBX2	MA1113.3	C_PBX2	9258	0.03469	193	0.02523	141	0.04367	3.23856E-31	False
PBX3_MA1114.2	PBX3	MA1114.2	C_PBX3	15940	0.3621	2506	0.31405	2177	-0.11302	2.51423E-101	True
PDX1_MA0132.3	PDX1	MA0132.3	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
PHOX2B_MA0681.3	PHOX2B	MA0681.3	C_PHOX2A	9887	0.04619	260	0.03664	216	-0.02647	1.01542E-16	False
PITX3_MA0714.2	PITX3	MA0714.2	C_RHOXF1	9948	0.0617	349	0.04707	270	0.00583	6.33281E-04	False
PKNOX1_MA0782.3	PKNOX1	MA0782.3	C_PBX3	13624	0.21282	1313	0.18105	1116	-0.09069	7.33670E-81	False
PLAGL2_MA1548.2	PLAGL2	MA1548.2	C_PLAGL2	4940	0.11849	356	0.10391	300	-0.04529	6.45891E-33	False
POU1F1_MA0784.3	POU1F1	MA0784.3	C_POU3F3	9336	0.09492	514	0.08104	430	-0.05295	4.16859E-42	False
POU2F1_MA0785.2	POU2F1	MA0785.2	C_POU3F3	8525	0.04757	240	0.03621	194	-0.01533	4.16560E-10	False
POU2F2_MA0507.3	POU2F2	MA0507.3	C_POU3F3	9049	0.17263	850	0.14339	688	-0.05981	2.95045E-55	False
POU2F3_MA0627.3	POU2F3	MA0627.3	C_POU2F3	9866	0.04105	245	0.0338	206	-0.03653	3.60161E-23	False
POU3F1_MA0786.2	POU3F1	MA0786.2	C_POU3F3	9049	0.05201	246	0.03931	192	-0.01161	2.73147E-04	False
POU4F1_MA0790.2	POU4F1	MA0790.2	C_POU4F2	9707	0.04762	251	0.03934	232	-0.08258	4.50050E-51	False
POU4F2_MA0683.2	POU4F2	MA0683.2	C_POU4F2	9175	0.05643	334	0.04251	239	-0.02659	2.04734E-19	False
POU4F3_MA0791.2	POU4F3	MA0791.2	C_POU4F2	9703	0.05177	253	0.04238	228	-0.0828	7.12169E-57	False
POU5F1_MA1115.2	POU5F1	MA1115.2	C_POU2F3	9569	0.07162	351	0.06341	326	-0.1317	1.34710E-81	True
POU6F1_MA0628.2	POU6F1	MA0628.2	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
POU6F1_MA1549.2	POU6F1	MA1549.2	C_HOXD4	6041	0.13469	459	0.11124	388	-0.04426	2.68309E-35	False
POU6F2_MA0793.2	POU6F2	MA0793.2	C_POU6F2	5825	0.05892	202	0.04809	164	-0.01306	2.04938E-04	False
PPARARXRA_MA1148.2	PPARA::RXRA	MA1148.2	C_PPARA::RXRA	11580	0.13179	834	0.10475	665	-0.00898	1.07291E-04	False
PPARD_MA1550.2	PPARD	MA1550.2	C_Nr2f6	11371	0.35719	1569	0.29897	1391	-0.10786	1.10962E-84	True
PPARG_MA0066.2	PPARG	MA0066.2	C_PPARG	8533	0.17335	738	0.13876	593	-0.03051	4.86005E-31	False
PRDM1_MA0508.4	PRDM1	MA0508.4	C_PRDM1	13707	0.15355	1126	0.1108	899	0.00953	9.27461E-06	False
PRDM9_MA1723.2	PRDM9	MA1723.2	C_PRDM9	44891	0.19377	4496	0.14325	3390	0.03295	3.02148E-69	False
PRRX1_MA0716.2	PRRX1	MA0716.2	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
PRRX2_MA0075.4	PRRX2	MA0075.4	C_PRRX2	3987	0.13522	207	0.11105	180	-0.10405	3.68213E-50	False
RARARXRG_MA1149.2	RARA::RXRG	MA1149.2	C_Rarb	8680	0.12364	572	0.09396	475	0.00531	1.56041E-05	False
RARB_MA1552.2	RARB	MA1552.2	C_RXRG	4723	0.36601	760	0.30595	648	-0.08259	3.16257E-62	False
RARG_MA1553.2	RARG	MA1553.2	C_RXRG	4843	0.39806	723	0.3283	617	-0.12092	5.69948E-82	True
RAX_MA0718.2	RAX	MA0718.2	C_RAX	7969	0.07964	301	0.06333	237	-0.02802	6.81273E-17	False
RAX2_MA0717.2	RAX2	MA0717.2	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
RBPJ_MA1116.2	RBPJ	MA1116.2	C_RBPJ	37830	0.19283	3529	0.14399	2721	0.0033	3.49199E-04	False
RELB_MA1117.2	RELB	MA1117.2	C_RELB	4222	0.04952	132	0.03812	100	0.03019	5.18293E-10	False
REST_MA0138.3	REST	MA0138.3	C_REST	13479	0.57631	2395	0.45048	1981	-0.04274	1.05287E-57	False
RFX2_MA0600.3	RFX2	MA0600.3	C_RFX1	5147	0.30006	605	0.24752	495	-0.05646	2.63399E-43	False
RFX4_MA0799.3	RFX4	MA0799.3	C_RFX4	3730	0.08395	154	0.06635	133	-0.01734	3.75733E-04	False
RFX5_MA0510.3	RFX5	MA0510.3	C_RFX1	5543	0.28856	645	0.2343	540	-0.06502	8.48911E-48	False
RFX7_MA1554.2	RFX7	MA1554.2	C_RFX7	3890	0.1651	341	0.12987	274	-0.03127	5.15023E-14	False
RHOXF1_MA0719.2	RHOXF1	MA0719.2	C_RHOXF1	9948	0.0617	349	0.04707	270	0.00583	6.33281E-04	False
RORA_MA0072.2	RORA	MA0072.2	C_RORA	7778	0.37072	1091	0.2984	911	-0.07208	2.21838E-68	False
RORB_MA1150.2	RORB	MA1150.2	C_RORB	7268	0.09519	313	0.07562	270	-0.03973	2.81401E-25	False
RORC_MA1151.2	RORC	MA1151.2	C_RORB	7149	0.16885	452	0.13092	391	-0.04842	5.71223E-34	False
RREB1_MA0073.2	RREB1	MA0073.2	C_RREB1	30347	0.29484	3855	0.22342	2983	0.00079	3.55333E-02	False
RUNX3_MA0684.3	RUNX3	MA0684.3	C_RUNX3	10076	0.14661	729	0.11155	550	0.03185	7.53382E-28	False
SATB1_MA1963.2	SATB1	MA1963.2	C_SATB1	6163	0.14183	459	0.12481	380	-0.04336	2.43525E-32	False
SCRT1_MA0743.3	SCRT1	MA0743.3	C_SCRT2	6889	0.11778	421	0.08893	318	-0.02464	7.22160E-18	False
SCRT2_MA0744.3	SCRT2	MA0744.3	C_SCRT2	7215	0.14172	543	0.10225	382	-0.00298	3.65156E-01	False
SHOX_MA0630.2	SHOX	MA0630.2	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
SIX1_MA1118.2	SIX1	MA1118.2	C_SIX2	7880	0.02227	101	0.01574	89	0.02604	4.55025E-10	False
SIX2_MA1119.2	SIX2	MA1119.2	C_SIX2	10528	0.03112	201	0.02345	160	0.01148	1.67646E-03	False
SMAD2_MA1964.2	SMAD2	MA1964.2	C_SMAD2	27392	0.42406	3927	0.33221	3202	-0.02699	6.08248E-50	False
SNAI1_MA1558.2	SNAI1	MA1558.2	C_FIGLA	8203	0.07951	366	0.05558	259	0.00783	6.05094E-04	False
SNAI2_MA0745.3	SNAI2	MA0745.3	C_MYOD1	7866	0.05135	231	0.03589	175	-0.02463	5.26171E-21	False
SNAI3_MA1559.2	SNAI3	MA1559.2	C_MYOD1	8676	0.02813	135	0.01912	97	-0.01692	8.84997E-09	False
SOHLH2_MA1560.2	SOHLH2	MA1560.2	C_Mlxip	3294	0.08152	172	0.05624	114	0.05349	4.18896E-27	False
SOX10_MA0442.3	SOX10	MA0442.3	C_Sox11	28229	0.20689	2848	0.16439	2258	-0.04235	2.82781E-69	False
SOX12_MA1561.2	SOX12	MA1561.2	C_SOX12	4541	0.1369	331	0.09594	229	0.02217	4.04029E-10	False
SOX13_MA1120.2	SOX13	MA1120.2	C_Sox7	4134	0.15427	316	0.11118	230	0.025	3.15193E-13	False
SOX14_MA1562.2	SOX14	MA1562.2	C_SOX14	4505	0.05265	128	0.03642	99	0.02105	9.24758E-04	False
SOX15_MA1152.2	SOX15	MA1152.2	C_SOX15	2564	0.09977	138	0.07568	101	-0.03342	2.02535E-09	False
SOX4_MA0867.3	SOX4	MA0867.3	C_Sox6	12119	0.23512	1372	0.17924	1060	-0.01503	2.59418E-15	False
SOX8_MA0868.3	SOX8	MA0868.3	C_SOX8	10016	0.16962	884	0.13302	691	-0.05098	1.59974E-57	False
SOX9_MA0077.2	SOX9	MA0077.2	C_Sox7	5587	0.14692	429	0.10668	328	-0.01801	1.30311E-07	False
SP3_MA0746.3	SP3	MA0746.3	C_KLF16	27758	0.24858	3638	0.16884	2621	0.08826	4.98962E-102	True
SP5_MA1965.2	SP5	MA1965.2	C_SP5	68289	0.2463	8198	0.18011	6070	0.02878	4.15711E-74	False
SP8_MA0747.2	SP8	MA0747.2	C_KLF16	27758	0.11153	1837	0.07732	1272	0.03339	1.08763E-60	False
SP9_MA1564.2	SP9	MA1564.2	C_KLF16	27137	0.14733	2308	0.09631	1587	0.10439	5.12638E-101	True
SPIB_MA0081.3	SPIB	MA0081.3	C_Spi1	47304	0.0959	2819	0.06244	1861	0.10269	1.48476E-101	True
SPIC_MA0687.2	SPIC	MA0687.2	C_SPIC	26414	0.15064	2368	0.09671	1573	0.10853	6.37188E-112	True
SREBF1_MA0829.3	SREBF1	MA0829.3	C_SREBF1	5278	0.05605	166	0.03514	94	0.08838	1.06426E-45	False
SRY_MA0084.2	SRY	MA0084.2	C_SOX8	6664	0.04734	193	0.03377	150	0.00229	7.23785E-02	False
STAT1_MA0137.4	STAT1	MA0137.4	C_Stat4	13905	0.10404	555	0.08419	443	-0.04811	9.48571E-48	False
STAT1STAT2_MA0517.2	STAT1::STAT2	MA0517.2	C_STAT1::STAT2	32970	0.05763	1182	0.04089	838	0.06309	8.35770E-68	False
STAT3_MA0144.3	STAT3	MA0144.3	C_Stat4	16296	0.03758	342	0.0281	255	0.02786	1.44917E-23	False
TAL1TCF3_MA0091.2	TAL1::TCF3	MA0091.2	C_TAL1::TCF3	8774	0.08577	416	0.06648	332	-0.0111	2.40506E-08	False
TBR1_MA0802.2	TBR1	MA0802.2	C_TBX2	6751	0.062	256	0.05308	204	-0.06871	1.15518E-52	False
TBX18_MA1565.2	TBX18	MA1565.2	C_TBX2	9048	0.11059	473	0.09001	371	-0.08455	4.69230E-62	False
TBX19_MA0804.2	TBX19	MA0804.2	C_TBX19	4370	0.09791	206	0.08392	203	-0.08289	6.08000E-51	False
TBX2_MA0688.2	TBX2	MA0688.2	C_TBX2	6709	0.04719	192	0.03918	151	-0.04743	4.64010E-32	False
TCF12_MA1648.2	TCF12	MA1648.2	C_FIGLA	8203	0.07951	366	0.05558	259	0.00783	6.05094E-04	False
TCF21_MA1568.2	TCF21	MA1568.2	C_ATOH7	3902	0.28709	448	0.22897	359	-0.0514	1.04035E-33	False
TCF4_MA0830.3	TCF4	MA0830.3	C_FIGLA	8853	0.06851	323	0.04644	258	0.00448	4.55994E-01	False
TCF7_MA0769.3	TCF7	MA0769.3	C_Hnf1A	3968	0.15291	289	0.13639	297	-0.14506	3.49251E-74	True
TCF7L2_MA0523.2	TCF7L2	MA0523.2	C_Hnf1A	11295	0.09848	598	0.07794	520	-0.05385	7.56035E-51	False
TCFL5_MA0632.3	TCFL5	MA0632.3	C_TCFL5	4231	0.0832	203	0.04921	128	0.11653	1.80717E-63	True
TEAD1_MA0090.4	TEAD1	MA0090.4	C_TEAD4	9318	0.13526	699	0.0994	522	0.02152	4.64178E-22	False
TEAD2_MA1121.2	TEAD2	MA1121.2	C_TEAD4	4325	0.05164	137	0.03674	110	0.04029	7.62369E-18	False
TEAD4_MA0809.3	TEAD4	MA0809.3	C_TEAD4	8979	0.06871	330	0.05094	266	0.00957	3.39797E-06	False
TFAP2A_MA0810.2	TFAP2A	MA0810.2	C_TFAP2A	12983	0.87531	3312	0.6529	2687	-0.00414	5.62099E-04	False
TFAP2A_MA0003.5	TFAP2A	MA0003.5	C_TFAP2E	13088	1.08242	3566	0.81013	2991	-0.00807	1.44053E-14	False
TFAP2B_MA0811.2	TFAP2B	MA0811.2	C_TFAP2A	10428	1.19607	3148	0.92465	2636	-0.02427	5.41073E-39	False
TFAP2B_MA0812.2	TFAP2B	MA0812.2	C_TFAP2E	8084	1.84708	3079	1.40113	2626	-0.01301	2.56182E-16	False
TFAP2C_MA0524.3	TFAP2C	MA0524.3	C_TFAP2A	10422	1.19828	3114	0.92166	2632	-0.03431	9.39941E-50	False
TFAP2C_MA0814.3	TFAP2C	MA0814.3	C_TFAP2E	15346	1.10845	4351	0.82463	3600	-0.00745	3.69203E-12	False
TFAP2E_MA1569.2	TFAP2E	MA1569.2	C_TFAP2E	11242	1.56112	4033	1.16985	3413	-0.01166	1.05228E-19	False
TFAP4ETV1_MA1966.2	TFAP4::ETV1	MA1966.2	C_ETV5::FIGLA	13160	0.32995	2033	0.23416	1455	0.05978	8.65625E-71	False
TFAP4FLI1_MA1967.2	TFAP4::FLI1	MA1967.2	C_TFAP4::FLI1	13170	0.33891	1740	0.25961	1409	-0.01424	1.76494E-17	False
TFCP2_MA1968.2	TFCP2	MA1968.2	C_TFCP2	3137	0.13384	240	0.08236	150	0.11591	2.46503E-63	True
TFDP1_MA1122.2	TFDP1	MA1122.2	C_E2F6	11631	0.48064	2112	0.34853	1645	0.0255	6.00048E-38	False
TFEB_MA0692.2	TFEB	MA0692.2	C_BHLHE41	8413	0.15056	686	0.10452	497	0.01586	6.39906E-12	False
TFEC_MA0871.3	TFEC	MA0871.3	C_BHLHE41	6020	0.12503	420	0.08594	298	-0.00089	7.66070E-01	False
THAP1_MA0597.3	THAP1	MA0597.3	C_THAP1	15184	0.14795	1224	0.09989	843	0.07736	9.16744E-73	False
THRA_MA1969.2	THRA	MA1969.2	C_THRA	13059	0.16605	1074	0.13332	842	-0.0177	9.74579E-21	False
THRB_MA1574.2	THRB	MA1574.2	C_Nr2f6	10364	0.4119	1548	0.31227	1244	-0.00183	2.39482E-03	False
THRB_MA1575.2	THRB	MA1575.2	C_THRB	4826	0.09792	287	0.05874	159	0.11504	1.96950E-60	True
THRB_MA1576.2	THRB	MA1576.2	C_THRB	11372	0.10225	607	0.07614	495	0.03013	6.80018E-26	False
TLX2_MA1577.2	TLX2	MA1577.2	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
TP73_MA0861.2	TP73	MA0861.2	C_TP73	4414	0.47875	711	0.39588	617	-0.06354	2.17823E-54	False
TRPS1_MA1970.2	TRPS1	MA1970.2	C_GATA6	7112	0.16964	608	0.13516	481	-0.05366	1.19632E-48	False
TWIST1_MA1123.3	TWIST1	MA1123.3	C_Ptf1A	10294	0.09859	547	0.07651	431	-0.00362	2.15595E-02	False
UNCX_MA0721.2	UNCX	MA0721.2	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
USF1_MA0093.4	USF1	MA0093.4	C_BHLHE41	9740	0.14196	702	0.09999	507	-0.00665	4.05216E-04	False
USF2_MA0526.5	USF2	MA0526.5	C_BHLHE41	3907	0.07731	163	0.04112	103	0.12747	2.41203E-58	True
VAX1_MA0722.2	VAX1	MA0722.2	C_VAX2	6901	0.13057	452	0.10965	435	-0.10168	6.10603E-66	False
VAX2_MA0723.3	VAX2	MA0723.3	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
VEZF1_MA1578.2	VEZF1	MA1578.2	C_VEZF1	20892	0.12004	1356	0.09996	1150	-0.07009	1.90140E-73	False
VSX1_MA0725.2	VSX1	MA0725.2	C_VAX2	3744	0.06191	138	0.05441	129	-0.13353	8.14882E-62	True
VSX2_MA0726.2	VSX2	MA0726.2	C_VAX2	3744	0.06191	138	0.05441	129	-0.13353	8.14882E-62	True
XBP1_MA0844.2	XBP1	MA0844.2	C_CREB3	3319	0.12885	264	0.08185	165	0.11015	5.28961E-56	True
YY2_MA0748.3	YY2	MA0748.3	C_YY2	3821	0.24149	518	0.13244	305	0.19919	3.93247E-86	True
ZBED1_MA0749.2	ZBED1	MA0749.2	C_ZBED1	987	0.27087	91	0.20442	63	-0.04111	1.57613E-10	False
ZBED2_MA1971.2	ZBED2	MA1971.2	C_IRF6	2811	0.087	157	0.05727	98	0.08735	2.79703E-37	False
ZBTB12_MA1649.2	ZBTB12	MA1649.2	C_ZBTB12	9330	0.13246	646	0.09501	461	0.03881	1.09161E-39	False
ZBTB14_MA1650.2	ZBTB14	MA1650.2	C_ZBTB14	5838	0.22445	611	0.14146	388	0.1205	1.85132E-74	True
ZBTB18_MA0698.2	ZBTB18	MA0698.2	C_ZBTB18	12918	0.07268	474	0.05703	384	-0.04271	4.08299E-44	False
ZBTB26_MA1579.2	ZBTB26	MA1579.2	C_ZBTB26	14638	0.41782	1995	0.35538	1764	-0.10357	1.49795E-91	True
ZBTB33_MA0527.2	ZBTB33	MA0527.2	C_ZBTB33	2268	0.15962	208	0.11093	161	0.03549	1.24342E-14	False
ZBTB6_MA1581.2	ZBTB6	MA1581.2	C_ZBTB6	13769	0.48938	2381	0.37134	1852	0.0095	8.75069E-14	False
ZBTB7A_MA0750.3	ZBTB7A	MA0750.3	C_GABPA	15303	0.30411	2479	0.20205	1694	0.10699	3.49026E-97	True
ZBTB7B_MA0694.2	ZBTB7B	MA0694.2	C_ZBTB7B	5241	0.10429	272	0.07501	192	-0.02479	9.78390E-15	False
ZBTB7C_MA0695.2	ZBTB7C	MA0695.2	C_ZBTB7B	4737	0.10216	234	0.07398	175	0.0214	4.06273E-12	False
ZEB1_MA0103.4	ZEB1	MA0103.4	C_FIGLA	23498	0.06074	750	0.04172	559	-0.00284	1.41999E-02	False
ZFP42_MA1651.2	ZFP42	MA1651.2	C_ZFP42	11492	0.25318	1366	0.15692	950	0.10442	9.35438E-79	False
ZFP57_MA1583.2	ZFP57	MA1583.2	C_ZFP57	2123	0.42629	347	0.31247	285	-0.06788	5.34362E-44	False
ZIC4_MA0751.2	ZIC4	MA0751.2	C_ZIC1	8573	0.25604	1028	0.20113	789	-0.00474	5.54125E-02	False
ZIC5_MA1584.2	ZIC5	MA1584.2	C_ZIC1	8844	0.36621	1444	0.27721	1053	0.01273	3.42515E-13	False
ZIM3_MA1709.2	ZIM3	MA1709.2	C_ZIM3	21955	0.07617	951	0.05349	665	0.05293	4.97109E-54	False
ZKSCAN1_MA1585.2	ZKSCAN1	MA1585.2	C_ZKSCAN1	5597	0.37677	691	0.30402	585	-0.05404	3.74665E-43	False
ZKSCAN3_MA1973.2	ZKSCAN3	MA1973.2	C_ZKSCAN3	13171	0.28072	1372	0.19843	1022	0.03101	1.75033E-38	False
ZKSCAN5_MA1652.2	ZKSCAN5	MA1652.2	C_ZKSCAN5	25418	0.21029	2925	0.15037	2090	0.03143	3.95093E-54	False
ZNF140_MA1589.2	ZNF140	MA1589.2	C_ZNF140	9800	0.13957	698	0.10251	536	0.049	3.53229E-40	False
ZNF148_MA1653.2	ZNF148	MA1653.2	C_PATZ1	42100	0.27687	5617	0.20214	4208	0.01864	3.98799E-48	False
ZNF16_MA1654.2	ZNF16	MA1654.2	C_ZNF16	15618	0.34619	2516	0.26974	1996	3e-05	2.15971E-01	False
ZNF189_MA1725.2	ZNF189	MA1725.2	C_ZNF189	16234	0.13214	1201	0.09462	853	0.08132	3.33995E-73	False
ZNF211_MA1974.2	ZNF211	MA1974.2	C_ZNF211	4570	0.17328	426	0.13217	339	-0.01948	9.28226E-14	False
ZNF214_MA1975.2	ZNF214	MA1975.2	C_ZNF214	8433	0.13154	615	0.10144	498	-0.01727	2.81114E-13	False
ZNF257_MA1710.2	ZNF257	MA1710.2	C_ZNF257	26688	0.25478	3135	0.18649	2421	0.0145	2.34288E-24	False
ZNF263_MA0528.3	ZNF263	MA0528.3	C_SP5	19213	0.32943	2836	0.24247	2115	0.03164	1.04115E-54	False
ZNF274_MA1592.2	ZNF274	MA1592.2	C_ZNF274	9506	0.06484	363	0.04528	263	0.03295	5.17070E-27	False
ZNF281_MA1630.3	ZNF281	MA1630.3	C_PATZ1	44649	0.31345	6574	0.23091	5032	0.00846	2.26003E-17	False
ZNF282_MA1154.2	ZNF282	MA1154.2	C_ZNF282	9864	0.27652	1162	0.22895	996	-0.08142	1.46063E-70	False
ZNF317_MA1593.2	ZNF317	MA1593.2	C_ZNF317	16939	0.08116	722	0.05736	491	0.06765	1.29615E-56	False
ZNF320_MA1976.2	ZNF320	MA1976.2	C_ZNF320	21391	0.50013	3729	0.37673	2951	0.00024	3.80232E-01	False
ZNF324_MA1977.2	ZNF324	MA1977.2	C_ZNF324	12976	0.08367	631	0.06305	492	0.02668	1.21384E-24	False
ZNF331_MA1726.2	ZNF331	MA1726.2	C_ZNF331	18663	0.2563	2268	0.18805	1692	0.01592	4.44184E-20	False
ZNF341_MA1655.2	ZNF341	MA1655.2	C_ZNF341	10506	0.22253	1157	0.17056	905	0.00797	7.45258E-08	False
ZNF343_MA1711.2	ZNF343	MA1711.2	C_ZNF343	9900	0.25944	1081	0.18878	776	0.05899	1.17157E-57	False
ZNF354A_MA1978.2	ZNF354A	MA1978.2	C_ZNF354A	21617	0.03256	400	0.02281	296	0.02659	1.23971E-26	False
ZNF384_MA1125.2	ZNF384	MA1125.2	C_ZNF384	21823	0.01104	145	0.00704	88	0.07356	3.97236E-44	False
ZNF410_MA0752.2	ZNF410	MA0752.2	C_ZNF410	5720	0.27228	623	0.21813	483	-0.03911	7.07541E-34	False
ZNF416_MA1979.2	ZNF416	MA1979.2	C_ZNF416	13345	0.4832	1969	0.38246	1637	-0.03558	1.64676E-42	False
ZNF417_MA1727.2	ZNF417	MA1727.2	C_ZNF417	3952	0.13656	298	0.07815	175	0.16148	2.13100E-71	True
ZNF449_MA1656.2	ZNF449	MA1656.2	C_ZNF449	12212	0.34105	1836	0.24009	1274	0.08051	7.87342E-77	False
ZNF454_MA1712.2	ZNF454	MA1712.2	C_ZNF454	20219	0.24338	2533	0.16933	1736	0.09213	2.37572E-93	True
ZNF530_MA1981.2	ZNF530	MA1981.2	C_ZNF530	26670	0.28727	3399	0.21626	2566	0.03545	5.60339E-61	False
ZNF549_MA1728.2	ZNF549	MA1728.2	C_ZNF549	17093	0.30549	2104	0.23712	1635	0.0061	1.12738E-07	False
ZNF574_MA1982.2	ZNF574	MA1982.2	C_ZNF574	11211	0.23162	1227	0.16405	883	0.08681	4.51841E-80	False
ZNF582_MA1983.2	ZNF582	MA1983.2	C_ZNF582	10646	0.15993	881	0.11625	683	0.00996	5.85138E-05	False
ZNF610_MA1713.2	ZNF610	MA1713.2	C_ZNF610	14697	0.34815	2353	0.21578	1541	0.14842	2.73259E-109	True
ZNF652_MA1657.2	ZNF652	MA1657.2	C_ZNF652	8700	0.00738	44	0.00362	20	0.18987	8.83036E-48	True
ZNF667_MA1984.2	ZNF667	MA1984.2	C_ZNF667	9903	0.14733	821	0.11545	632	-0.00642	5.16086E-05	False
ZNF675_MA1714.2	ZNF675	MA1714.2	C_ZNF675	12461	0.03754	262	0.02893	217	0.00908	3.71975E-02	False
ZNF680_MA1729.2	ZNF680	MA1729.2	C_ZNF680	15771	0.13237	1111	0.09831	814	0.02646	4.67861E-32	False
ZNF682_MA1599.2	ZNF682	MA1599.2	C_ZNF682	14178	0.7001	3151	0.50018	2518	0.00849	5.53592E-14	False
ZNF684_MA1600.2	ZNF684	MA1600.2	C_ZNF684	13245	0.60026	2423	0.49477	2028	-0.04466	2.18036E-56	False
ZNF692_MA1986.2	ZNF692	MA1986.2	C_ZNF692	9749	0.2297	1013	0.14668	673	0.11176	2.77412E-83	True
ZNF701_MA1987.2	ZNF701	MA1987.2	C_ZNF701	26791	0.39115	4173	0.28873	3158	0.02354	3.16438E-49	False
ZNF708_MA1730.2	ZNF708	MA1730.2	C_ZNF708	13091	0.36832	2024	0.29021	1610	-0.01887	3.37262E-25	False
ZNF740_MA0753.3	ZNF740	MA0753.3	C_ZNF740	18619	0.14734	1405	0.10903	1098	-0.03163	9.35616E-41	False
ZNF76_MA1716.2	ZNF76	MA1716.2	C_ZNF76	11301	0.72555	1952	0.46943	1534	0.06027	1.40495E-64	False
ZNF768_MA1731.2	ZNF768	MA1731.2	C_ZNF768	24648	0.13169	1820	0.09413	1316	0.0471	6.27177E-62	False
ZNF784_MA1717.2	ZNF784	MA1717.2	C_ZNF784	3854	0.38269	449	0.30191	398	-0.06114	2.08574E-45	False
ZNF816_MA1719.2	ZNF816	MA1719.2	C_ZNF816	13492	0.33438	1974	0.25311	1529	0.01151	5.22462E-19	False
ZNF85_MA1720.2	ZNF85	MA1720.2	C_ZNF85	8210	0.20952	818	0.16919	661	-0.05444	8.06160E-56	False
ZNF93_MA1721.2	ZNF93	MA1721.2	C_ZNF93	21447	0.26998	2847	0.17786	1899	0.0941	1.37651E-92	True
ZSCAN29_MA1602.2	ZSCAN29	MA1602.2	C_ZSCAN29	5412	0.68132	838	0.53947	727	-0.07509	2.69997E-56	False
ZSCAN31_MA1722.2	ZSCAN31	MA1722.2	C_ZSCAN31	6761	0.05829	256	0.038	155	0.12516	6.29490E-66	True
Spz1_MA0111.1	Spz1	MA0111.1	C_Spz1	8104	0.82069	1828	0.66514	1554	-0.08623	1.03291E-75	False
Sox7_MA2095.1	Sox7	MA2095.1	C_Sox7	10129	0.18068	864	0.14834	715	-0.06234	1.55037E-56	False
Ebf4_MA2122.1	Ebf4	MA2122.1	C_EBF1	13093	0.93005	3224	0.77565	2867	-0.10099	9.09448E-95	True
Hand1_MA2123.1	Hand1	MA2123.1	C_Hand1	13217	0.11361	776	0.08258	562	0.04529	6.91166E-48	False
Hmga1_MA2124.1	Hmga1	MA2124.1	C_Hmga1	13503	0.03839	305	0.03069	253	-0.03864	9.50520E-35	False
Zfp809_MA2125.1	Zfp809	MA2125.1	C_Zfp809	19211	0.41865	2324	0.33762	2000	-0.06027	1.30393E-72	False
Zfp961_MA2126.1	Zfp961	MA2126.1	C_Zfp961	4433	0.15113	368	0.09821	251	0.07523	8.59433E-49	False
Nr1h3_MA2337.1	Nr1h3	MA2337.1	C_Nr1h3	26115	0.06022	974	0.04473	714	0.02496	1.57773E-29	False
