output_prefix	name	motif_id	cluster	total_tfbs	SEA_mean_score	SEA_bound	NOSEA_mean_score	NOSEA_bound	SEA_NOSEA_change	SEA_NOSEA_pvalue	SEA_NOSEA_highlighted
GSC_MA0648.2	GSC	MA0648.2	C_RHOXF1	9948	0.0617	349	0.04707	270	0.00583	6.33281E-04	False
GSC2_MA0891.2	GSC2	MA0891.2	C_RHOXF1	9948	0.0617	349	0.04707	270	0.00583	6.33281E-04	False
GSX1_MA0892.2	GSX1	MA0892.2	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
GSX2_MA0893.3	GSX2	MA0893.3	C_VAX2	3303	0.06274	117	0.0482	89	-0.05742	1.11065E-22	False
TCF3_MA0522.4	TCF3	MA0522.4	C_FIGLA	8203	0.07951	366	0.05558	259	0.00783	6.05094E-04	False
HAND2_MA1638.2	HAND2	MA1638.2	C_NEUROD1	28547	0.0959	1497	0.07204	1159	-0.0133	8.61069E-16	False
HES1_MA1099.3	HES1	MA1099.3	C_HES1	4503	0.13531	359	0.07235	214	0.13882	1.10006E-71	True
HES2_MA0616.3	HES2	MA0616.3	C_HES1	4210	0.1564	388	0.09438	245	0.08367	1.59280E-55	False
HESX1_MA0894.2	HESX1	MA0894.2	C_RAX	7969	0.07964	301	0.06333	237	-0.02802	6.81273E-17	False
HEY2_MA0649.2	HEY2	MA0649.2	C_HES1	4153	0.12394	327	0.07406	204	0.09276	3.55613E-50	False
HIC2_MA0738.2	HIC2	MA0738.2	C_HIC2	17260	0.05949	572	0.04306	448	0.05762	3.08359E-57	False
HIF1A_MA1106.2	HIF1A	MA1106.2	C_HIF1A	7590	0.17552	731	0.12163	529	0.0673	4.64967E-53	False
HINFP_MA0131.3	HINFP	MA0131.3	C_HINFP	3149	0.1725	297	0.11631	210	0.11502	2.92576E-63	True
HLF_MA0043.4	HLF	MA0043.4	C_DBP	7446	0.05782	262	0.05207	218	-0.08291	1.16234E-53	False
HMBOX1_MA0895.2	HMBOX1	MA0895.2	C_HMBOX1	4309	0.11082	229	0.08414	178	-0.02597	3.71711E-15	False
HNF1A_MA0046.3	HNF1A	MA0046.3	C_HNF1A	6380	0.02128	65	0.01413	59	0.0225	2.07036E-07	False
HNF4A_MA1494.2	HNF4A	MA1494.2	C_HNF4A	8659	0.32052	1062	0.26675	904	-0.09015	9.85274E-72	False
HNF4A_MA0114.5	HNF4A	MA0114.5	C_HNF4A	11474	0.00696	44	0.0043	30	0.09615	9.28002E-35	False
HNF4G_MA0484.3	HNF4G	MA0484.3	C_HNF4A	11474	0.00696	44	0.0043	30	0.09615	9.28002E-35	False
HOXA10_MA0899.2	HOXA10	MA0899.2	C_HOXA10	8737	0.10119	437	0.09333	381	-0.11578	4.84232E-72	True
HOXA4_MA1496.2	HOXA4	MA1496.2	C_HOXD4	5029	0.12148	357	0.10502	318	-0.06162	8.75542E-43	False
HOXA6_MA1497.2	HOXA6	MA1497.2	C_HOXB7	3613	0.05985	116	0.04351	86	0.02392	3.57468E-15	False
HOXA7_MA1498.3	HOXA7	MA1498.3	C_RAX	7969	0.07964	301	0.06333	237	-0.02802	6.81273E-17	False
HOXA9_MA0594.3	HOXA9	MA0594.3	C_HOXA9	514	0.14486	38	0.12952	35	-0.02802	1.64540E-03	False
HOXB2_MA0902.3	HOXB2	MA0902.3	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
TBX3_MA1566.3	TBX3	MA1566.3	C_TBX2	6842	0.04694	196	0.03871	152	-0.06152	1.34026E-40	False
HOXB3_MA0903.2	HOXB3	MA0903.2	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
HOXB4_MA1499.2	HOXB4	MA1499.2	C_HOXD4	12161	0.16912	1053	0.13839	896	-0.05418	2.92848E-60	False
HOXB5_MA0904.3	HOXB5	MA0904.3	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
HOXB6_MA1500.2	HOXB6	MA1500.2	C_HOXB7	3613	0.05985	116	0.04351	86	0.02392	3.57468E-15	False
HOXB7_MA1501.2	HOXB7	MA1501.2	C_HOXB7	3613	0.05985	116	0.04351	86	0.02392	3.57468E-15	False
HOXB8_MA1502.2	HOXB8	MA1502.2	C_HOXB7	3613	0.05985	116	0.04351	86	0.02392	3.57468E-15	False
HOXB9_MA1503.2	HOXB9	MA1503.2	C_HOXC10	3271	0.2342	366	0.20385	309	-0.10075	5.86435E-63	False
HOXC10_MA0905.2	HOXC10	MA0905.2	C_HOXC10	4037	0.19377	388	0.16832	320	-0.09083	1.43701E-57	False
HOXC11_MA0651.3	HOXC11	MA0651.3	C_HOXC10	2924	0.06995	101	0.05737	94	-0.0514	1.54065E-21	False
HOXC12_MA0906.2	HOXC12	MA0906.2	C_HOXC10	3786	0.14727	245	0.11968	209	-0.06529	1.14903E-39	False
HOXC13_MA0907.2	HOXC13	MA0907.2	C_HOXC13	5151	0.14183	362	0.11754	302	-0.08495	1.14723E-55	False
HOXC4_MA1504.2	HOXC4	MA1504.2	C_HOXD4	12161	0.16912	1053	0.13839	896	-0.05418	2.92848E-60	False
HOXC8_MA1505.2	HOXC8	MA1505.2	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
HOXC9_MA0485.3	HOXC9	MA0485.3	C_HOXC10	3284	0.22899	363	0.19777	305	-0.09699	2.54033E-55	False
HOXD10_MA1506.2	HOXD10	MA1506.2	C_HOXC10	3727	0.1566	304	0.12576	237	-0.0374	2.36224E-16	False
HOXD11_MA0908.2	HOXD11	MA0908.2	C_HOXC10	3897	0.16653	312	0.14773	272	-0.12347	3.79908E-69	True
HOXD12_MA0873.2	HOXD12	MA0873.2	C_HOXC10	3000	0.14152	209	0.11566	168	-0.04609	1.70096E-26	False
HOXD12ELK1_MA1958.2	HOXD12::ELK1	MA1958.2	C_HOXD12::ELK1	7668	0.13721	578	0.09388	408	0.05583	2.22768E-44	False
HOXD4_MA1507.2	HOXD4	MA1507.2	C_HOXD4	12161	0.16912	1053	0.13839	896	-0.05418	2.92848E-60	False
HOXD8_MA0910.3	HOXD8	MA0910.3	C_HOXB7	3613	0.05985	116	0.04351	86	0.02392	3.57468E-15	False
HOXD9_MA0913.3	HOXD9	MA0913.3	C_HOXA10	7838	0.12921	482	0.11627	421	-0.11822	4.47050E-73	True
IKZF1_MA1508.2	IKZF1	MA1508.2	C_IKZF1	36331	0.1947	3569	0.14699	2721	0.02383	2.69563E-43	False
IRF2_MA0051.2	IRF2	MA0051.2	C_IRF2	13188	0.14302	999	0.10471	778	0.01817	2.04500E-25	False
IRF3_MA1418.2	IRF3	MA1418.2	C_IRF3	19327	0.11303	1294	0.0766	889	0.06827	5.52824E-71	False
IRF4_MA1419.2	IRF4	MA1419.2	C_STAT1::STAT2	8218	0.11376	546	0.08225	400	0.0245	1.10980E-21	False
IRF7_MA0772.2	IRF7	MA0772.2	C_IRF7	15305	0.02682	248	0.01755	176	0.07682	2.94427E-55	False
IRF8_MA0652.2	IRF8	MA0652.2	C_STAT1::STAT2	9163	0.06113	340	0.04174	255	0.07388	2.01068E-50	False
ISL2_MA0914.2	ISL2	MA0914.2	C_Nkx3-2	13965	0.11962	842	0.09312	636	-0.01121	9.22164E-14	False
ISX_MA0654.2	ISX	MA0654.2	C_VAX2	4821	0.05656	159	0.04428	128	-0.07551	1.53547E-41	False
JDP2_MA0656.2	JDP2	MA0656.2	C_FOSL1::JUN	5510	0.03393	115	0.02287	78	0.01119	8.25930E-03	False
JUNJUNB_MA1132.2	JUN::JUNB	MA1132.2	C_FOSL1	17191	0.04097	430	0.02773	307	0.03838	4.04453E-31	False
JUNJUNB_MA1133.2	JUN::JUNB	MA1133.2	C_FOSL1::JUN	6151	0.04904	188	0.03592	143	-0.0223	4.71981E-12	False
KLF1_MA0493.3	KLF1	MA0493.3	C_KLF5	42219	0.3674	6203	0.27922	4941	-0.00882	2.25703E-17	False
KLF11_MA1512.2	KLF11	MA1512.2	C_KLF16	25786	0.14904	2119	0.10017	1502	0.07022	9.02658E-81	False
KLF13_MA0657.2	KLF13	MA0657.2	C_KLF13	8967	0.10234	557	0.06235	347	0.12921	2.55888E-79	True
KLF15_MA1513.2	KLF15	MA1513.2	C_KLF5	24416	0.42596	3958	0.30219	3036	0.03732	3.88071E-63	False
KLF17_MA1514.2	KLF17	MA1514.2	C_KLF17	16696	0.24123	1837	0.1863	1438	-0.02002	3.54818E-34	False
KLF2_MA1515.2	KLF2	MA1515.2	C_KLF5	31777	0.40469	4832	0.30446	3861	0.00097	2.16778E-01	False
KLF3_MA1516.2	KLF3	MA1516.2	C_KLF3	15829	0.52103	3351	0.33967	2337	0.11627	3.05936E-98	True
KLF4_MA0039.5	KLF4	MA0039.5	C_KLF5	32754	0.48367	5620	0.36698	4540	-0.00992	4.67358E-24	False
KLF6_MA1517.2	KLF6	MA1517.2	C_KLF9	14825	0.12416	962	0.08536	690	0.09662	2.68597E-77	False
KLF7_MA1959.2	KLF7	MA1959.2	C_KLF5	35108	0.4227	5563	0.31246	4387	0.0128	1.47900E-26	False
KLF9_MA1107.3	KLF9	MA1107.3	C_KLF9	32402	0.1317	2216	0.08859	1549	0.07698	2.70006E-88	False
LBX1_MA0618.2	LBX1	MA0618.2	C_PRRX2	3987	0.13522	207	0.11105	180	-0.10405	3.68213E-50	False
LBX2_MA0699.2	LBX2	MA0699.2	C_RAX	7969	0.07964	301	0.06333	237	-0.02802	6.81273E-17	False
LHX2_MA0700.3	LHX2	MA0700.3	C_RAX	7969	0.07964	301	0.06333	237	-0.02802	6.81273E-17	False
LHX5_MA1519.2	LHX5	MA1519.2	C_VAX2	3303	0.06274	117	0.0482	89	-0.05742	1.11065E-22	False
LHX6_MA0658.2	LHX6	MA0658.2	C_VAX2	2981	0.05764	101	0.04794	93	-0.11237	2.49793E-53	True
LHX9_MA0701.3	LHX9	MA0701.3	C_PRRX2	3987	0.13522	207	0.11105	180	-0.10405	3.68213E-50	False
LMX1A_MA0702.3	LMX1A	MA0702.3	C_VAX2	3743	0.06514	146	0.06134	146	-0.16445	1.16775E-69	True
LMX1B_MA0703.3	LMX1B	MA0703.3	C_VAX2	3721	0.05135	115	0.04133	98	-0.08848	3.65840E-42	False
MAF_MA1520.2	MAF	MA1520.2	C_MAFA	7935	0.05558	251	0.03872	193	0.02095	1.91048E-09	False
MAFNFE2_MA0501.2	MAF::NFE2	MA0501.2	C_MAFG::NFE2L1	16036	0.10191	987	0.08431	833	-0.05454	3.12865E-61	False
NFE2_MA0841.2	NFE2	MA0841.2	C_FOSL1	11795	0.05283	372	0.04123	303	-0.03449	9.73876E-29	False
MAFA_MA1521.2	MAFA	MA1521.2	C_MAFA	8075	0.0748	346	0.04656	229	0.08991	2.28768E-58	False
MAFF_MA0495.4	MAFF	MA0495.4	C_Mafb	11745	0.01958	146	0.01166	91	0.09537	1.42060E-51	False
MAFGNFE2L1_MA0089.3	MAFG::NFE2L1	MA0089.3	C_MAFG::NFE2L1	17000	0.1078	1040	0.08994	912	-0.06183	1.46208E-66	False
MAXMYC_MA0059.2	MAX::MYC	MA0059.2	C_MAX::MYC	6020	0.12863	423	0.08762	298	0.01084	1.60235E-06	False
MYC_MA0147.4	MYC	MA0147.4	C_Mlxip	5123	0.08824	277	0.05506	178	0.09465	4.42389E-56	False
MAZ_MA1522.2	MAZ	MA1522.2	C_PATZ1	21914	0.25717	2724	0.19316	2113	-0.01539	2.88915E-25	False
MEF2A_MA0052.5	MEF2A	MA0052.5	C_MEF2D	15453	0.03754	334	0.02922	262	-0.00375	5.48514E-02	False
MEF2C_MA0497.2	MEF2C	MA0497.2	C_MEF2D	16854	0.04685	455	0.03729	375	-0.02576	8.56706E-24	False
MEIS1_MA0498.3	MEIS1	MA0498.3	C_MEIS1	89831	0.12431	6025	0.10166	4936	-0.05855	7.78913E-101	True
MEIS1_MA1639.2	MEIS1	MA1639.2	C_PBX2	6777	0.05558	223	0.04377	185	-0.02331	3.19548E-12	False
MEIS2_MA1640.2	MEIS2	MA1640.2	C_PBX2	9064	0.0425	232	0.03201	175	0.00812	2.77922E-03	False
MEIS3_MA0775.2	MEIS3	MA0775.2	C_MEIS1	4977	0.14868	325	0.12712	306	-0.10869	5.66725E-68	True
MEOX1_MA0661.2	MEOX1	MA0661.2	C_VAX2	3302	0.06463	116	0.05103	97	-0.10251	1.03096E-47	False
