gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,interaction_log2FC,neglog10_padj,direction
Mrpl15,751.2746291693645,-0.12740850356503156,0.10525494634810788,-1.210475212667494,0.22609659655888753,0.5486697691111895,-0.12740850356503156,0.2606889681251964,Not significant
Lypla1,812.1532300113772,0.30481684415813515,0.27781511845223167,1.0971931472136431,0.2725569681726625,0.5974872436516229,0.30481684415813515,0.22367136246492697,Not significant
Tcea1,1054.8552947824865,0.021520753906016557,0.13376528876866903,0.1608844424747149,0.8721844157846351,0.9558959181361874,0.021520753906016557,0.019589392912111172,Not significant
Atp6v1h,3081.386230968647,0.38350200139124213,0.10675557633989226,3.592336948940584,3.2772571219901673e-4,0.008034225507913119,0.38350200139124213,2.095055982478904,Not significant
Rb1cc1,694.1347550225505,0.18315884372637226,0.1546408378573535,1.1844144552251124,0.23624904087508822,0.5588154366185352,0.18315884372637226,0.25273160551839147,Not significant
St18,226.09655284003946,-0.19182606498352736,0.23402281538801095,-0.8196895873826611,0.4123930874561137,0.7199595038781043,-0.19182606498352736,0.142691930981079,Not significant
Pcmtd1,976.716268611655,0.18169615642008707,0.1594705548800403,1.1393711933639767,0.2545483656676577,0.5778142570839462,0.18169615642008707,0.23821174650619217,Not significant
Rrs1,531.996110587213,0.11275802234091568,0.11181657072207182,1.0084196073333702,0.3132530639406253,0.6363246633965619,0.11275802234091568,0.19632124355703182,Not significant
Adhfe1,16.38751157680543,1.4068137874419648,0.4988600336832656,2.820057115128958,0.004801510246753354,0.05524926364946276,1.4068137874419648,1.257673505789569,Not significant
2610203C22Rik,46.829226069279926,0.9044166147694124,0.3731179395342002,2.423942992123307,0.015353015371950742,0.11757456900807534,0.9044166147694124,0.9296866045679147,Not significant
Mybl1,67.09310665663901,0.3319591558433598,0.3558039517768992,0.9329833302456098,0.35082857528327993,0.6690398123730603,0.3319591558433598,0.17454803801771213,Not significant
Vcpip1,1602.658783556148,-0.05778490276658027,0.20149390067633105,-0.28678239178764436,0.774278946207523,0.9199490615218706,-0.05778490276658027,0.03623621929838333,Not significant
Sgk3,1395.802286474604,-0.025452787987098425,0.16348308635220657,-0.15569065005454544,0.8762768674719518,0.9571095789581586,-0.025452787987098425,0.01903833723621092,Not significant
Snhg6,271.7451910141009,-0.03909047650084223,0.20834174870026512,-0.18762670825558106,0.8511692879026334,0.9490935407699908,-0.03909047650084223,0.022690982263695664,Not significant
Cops5,1473.7538257851422,0.0789309141432193,0.11046782858872913,0.7145149420568271,0.47490881998312906,0.7603533590899402,0.0789309141432193,0.11898453109001962,Not significant
Cspp1,381.5595353663876,0.13616454648651802,0.1326222341203331,1.0267097925900632,0.30455713678434787,0.6271720931349568,0.13616454648651802,0.20261327441024873,Not significant
Arfgef1,1937.4649035603163,0.20150236709818767,0.18282811461099924,1.102141032996601,0.27040036284668967,0.5947868130065145,0.20150236709818767,0.22563866876808972,Not significant
Sulf1,8.149856562029756,3.6050023568842313,1.2793870753600936,2.817757367034191,0.004836033946351741,0.055347699556462335,3.6050023568842313,1.2569004252043454,Not significant
Slco5a1,18.697571902213863,-0.18022644510447816,0.41153949600585693,-0.43793231719833087,0.6614353478219603,0.8703886248906756,-0.18022644510447816,0.06028679340358361,Not significant
Ncoa2,1181.0518599709303,-0.059544398061204006,0.2173752792727202,-0.2739244235150552,0.784142701937522,0.9228110586676082,-0.059544398061204006,0.03488720967593091,Not significant
Tram1,3879.1224152436444,0.1518674067023492,0.12188135593037483,1.2460265603633751,0.21275464433676441,0.5334847883513352,0.1518674067023492,0.2728779594246295,Not significant
Lactb2,458.7696818121245,0.2628605053527681,0.1821148486090206,1.4433776672274485,0.148914111704716,0.44710929941110394,0.2628605053527681,0.349586297161879,Not significant
Eya1,480.8662765055802,0.13903934833295334,0.1913654538859561,0.7265645157449034,0.4674927722199714,0.7539968748268953,0.13903934833295334,0.12263045419421419,Not significant
Terf1,268.024869742809,-0.13785167286449948,0.13520500117810277,-1.0195752499044788,0.30792994802149026,0.6304504326675934,-0.13785167286449948,0.20034905288973615,Not significant
Rpl7,12500.700139657518,-0.11155856330779154,0.10509160806608465,-1.061536362043678,0.2884462170113173,0.6118434380337552,-0.11155856330779154,0.21335969337178992,Not significant
Rdh10,168.84923828265656,0.12372386625080854,0.1562025162548238,0.7920734519344707,0.4283178488024756,0.7290823466216855,0.12372386625080854,0.13722341727364815,Not significant
Stau2,222.8796402218818,0.41219469246220114,0.21064884921062912,1.95678587377444,0.0503726485906482,0.2464820684451637,0.41219469246220114,0.6082146701335394,Not significant
Ube2w,411.34274591634517,0.32665111302378946,0.19858945478059378,1.644856285972894,0.09999945152144538,0.36220843049482476,0.32665111302378946,0.4410414455880214,Not significant
Tceb1,869.5875778268897,-0.010912291491410908,0.12328402898955657,-0.08851342368390062,0.929468615658298,0.9734223275862919,-0.010912291491410908,0.011698696477234193,Not significant
Tmem70,466.8855116033121,0.07446327191904943,0.10097378488023864,0.7374515277145214,0.4608478100481499,0.7498624088710815,0.07446327191904943,0.12501841734149569,Not significant
Ly96,265.48456090254354,0.08330905304253627,0.2262134238992929,0.368276345437503,0.7126671885996615,0.8902129409368748,0.08330905304253627,0.0505060967119717,Not significant
Mcm3,3102.9936915814146,-0.15458630522884986,0.05137677850740995,-3.0088750155199833,0.0026221696315583782,0.03605927177303305,-0.15458630522884986,1.4429830482222366,Not significant
Paqr8,27.73988158838308,0.6727649811495829,0.3619397097478229,1.858776373607427,0.06305884269806371,0.2796889209106169,0.6727649811495829,0.553324736641276,Not significant
Efhc1,12.127987727839447,-0.8689037673111654,0.6111876345168531,-1.421664507329305,0.15512366838566374,0.45685926410706484,-0.8689037673111654,0.3402175641203074,Not significant
Tram2,100.50926074387182,-0.07977145728428858,0.24198804444547037,-0.3296504067673653,0.7416641304706115,0.9039147509906903,-0.07977145728428858,0.04387252629468138,Not significant
Tmem14a,41.01115086911705,0.4434817029455124,0.343853554627866,1.2897400564186943,0.19714092681203516,0.5154431442656301,0.4434817029455124,0.28781923240467183,Not significant
Gsta3,9.908049053789528,-0.2795533633322799,1.0177679366219985,-0.2746729910357814,0.783567483337098,0.9228110586676082,-0.2795533633322799,0.03488720967593091,Not significant
Ogfrl1,1169.6233114806457,-0.14323922581590187,0.11016202828316565,-1.3002595181682115,0.19351203764844288,0.5102317994054772,-0.14323922581590187,0.2922324781527974,Not significant
Smap1,1262.8735465427571,0.047169291606998016,0.09752861630459861,0.4836456559547633,0.6286373670363109,0.8528357287574225,0.047169291606998016,0.0691346135741184,Not significant
Sdhaf4,205.48422846913795,0.02156101317940547,0.18857829057735326,0.11433454568600684,0.9089725985492079,0.9674699653905839,0.02156101317940547,0.014362508549468016,Not significant
Fam135a,58.872428249344296,0.04994522291043915,0.3661718428388123,0.13639831649323425,0.8915064044850018,0.9621508130908218,0.04994522291043915,0.016756848794139276,Not significant
Lmbrd1,2193.542122793702,0.23284177492948213,0.09062870312651333,2.569183568746936,0.010193844220250952,0.08859648784384012,0.23284177492948213,1.0525834941431151,Not significant
Phf3,1786.8066611931317,-0.03118113720930232,0.12148501577576994,-0.2566665280502961,0.7974362128276679,0.9263662228817261,-0.03118113720930232,0.0332172885513452,Not significant
Ptp4a1,150.3402487248125,0.44954711669448205,0.2910573174635826,1.544531230522077,0.12245969149319086,0.4014081984588335,0.44954711669448205,0.396413761621651,Not significant
Prim2,596.2374258527155,-0.2046285578401362,0.1173766306071941,-1.7433500755779436,0.08127248326707201,0.32339122669040016,-0.2046285578401362,0.49027176628376234,Not significant
Rab23,123.58958131308017,0.09452897075990124,0.18818485218522385,0.5023197651788659,0.6154426080645354,0.845721507455295,0.09452897075990124,0.07277262477070301,Not significant
Bag2,86.50219829522337,0.24367397688538767,0.22697871570101524,1.0735543028024004,0.283022488121846,0.607709304042513,0.24367397688538767,0.2163041145439275,Not significant
Zfp451,403.0566934950755,-0.10093438813547458,0.13716820080717235,-0.735843931330452,0.46182568233229776,0.7506656338820058,-0.10093438813547458,0.12455346605321495,Not significant
