"gene","sample","normalized_count","sex","condition","group"
"Scin","F_I_2",20.0597471305975,"F","I","Fem_IF"
"Scin","F_I_3",27.4093286270703,"F","I","Fem_IF"
"Scin","F_I_4",5.29333377360861,"F","I","Fem_IF"
"Scin","F_I_5",19.1392930967375,"F","I","Fem_IF"
"Slc1a3","M_U_1",0,"M","U","Male_UF"
"Slc1a3","M_U_2",1.01864796754347,"M","U","Male_UF"
"Slc1a3","M_U_3",0,"M","U","Male_UF"
"Slc1a3","M_U_4",0,"M","U","Male_UF"
"Slc1a3","M_I_1",9.50271040415524,"M","I","Male_IF"
"Slc1a3","M_I_2",19.7019692375967,"M","I","Male_IF"
"Slc1a3","M_I_3",14.9573119174632,"M","I","Male_IF"
"Slc1a3","M_I_4",28.9405856062992,"M","I","Male_IF"
"Slc1a3","M_I_5",15.1577987398026,"M","I","Male_IF"
"Slc1a3","F_U_1",1.02817203436903,"F","U","Fem_UF"
"Slc1a3","F_U_2",0,"F","U","Fem_UF"
"Slc1a3","F_U_3",3.0511500405419,"F","U","Fem_UF"
"Slc1a3","F_U_4",0.852641248548802,"F","U","Fem_UF"
"Slc1a3","F_I_1",0.8968728074641,"F","I","Fem_IF"
"Slc1a3","F_I_2",0,"F","I","Fem_IF"
"Slc1a3","F_I_3",0,"F","I","Fem_IF"
"Slc1a3","F_I_4",0.882222295601435,"F","I","Fem_IF"
"Slc1a3","F_I_5",0,"F","I","Fem_IF"
