"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mrpl15",751.274629169365,-0.127408503565032,0.105254946348108,-1.21047521266749,0.226096596558888,0.548669769111189
"Lypla1",812.153230011377,0.304816844158135,0.277815118452232,1.09719314721364,0.272556968172663,0.597487243651623
"Tcea1",1054.85529478249,0.0215207539060166,0.133765288768669,0.160884442474715,0.872184415784635,0.955895918136187
"Atp6v1h",3081.38623096865,0.383502001391242,0.106755576339892,3.59233694894058,0.000327725712199017,0.00803422550791312
"Rb1cc1",694.134755022551,0.183158843726372,0.154640837857353,1.18441445522511,0.236249040875088,0.558815436618535
"St18",226.096552840039,-0.191826064983527,0.234022815388011,-0.819689587382661,0.412393087456114,0.719959503878104
"Pcmtd1",976.716268611655,0.181696156420087,0.15947055488004,1.13937119336398,0.254548365667658,0.577814257083946
"Rrs1",531.996110587213,0.112758022340916,0.111816570722072,1.00841960733337,0.313253063940625,0.636324663396562
"Adhfe1",16.3875115768054,1.40681378744196,0.498860033683266,2.82005711512896,0.00480151024675335,0.0552492636494628
"2610203C22Rik",46.8292260692799,0.904416614769412,0.3731179395342,2.42394299212331,0.0153530153719507,0.117574569008075
"Mybl1",67.093106656639,0.33195915584336,0.355803951776899,0.93298333024561,0.35082857528328,0.66903981237306
"Vcpip1",1602.65878355615,-0.0577849027665803,0.201493900676331,-0.286782391787644,0.774278946207523,0.919949061521871
"Sgk3",1395.8022864746,-0.0254527879870984,0.163483086352207,-0.155690650054545,0.876276867471952,0.957109578958159
"Snhg6",271.745191014101,-0.0390904765008422,0.208341748700265,-0.187626708255581,0.851169287902633,0.949093540769991
"Cops5",1473.75382578514,0.0789309141432193,0.110467828588729,0.714514942056827,0.474908819983129,0.76035335908994
"Cspp1",381.559535366388,0.136164546486518,0.132622234120333,1.02670979259006,0.304557136784348,0.627172093134957
"Arfgef1",1937.46490356032,0.201502367098188,0.182828114610999,1.1021410329966,0.27040036284669,0.594786813006514
"Sulf1",8.14985656202976,3.60500235688423,1.27938707536009,2.81775736703419,0.00483603394635174,0.0553476995564623
"Slco5a1",18.6975719022139,-0.180226445104478,0.411539496005857,-0.437932317198331,0.66143534782196,0.870388624890676
"Ncoa2",1181.05185997093,-0.059544398061204,0.21737527927272,-0.273924423515055,0.784142701937522,0.922811058667608
"Tram1",3879.12241524364,0.151867406702349,0.121881355930375,1.24602656036338,0.212754644336764,0.533484788351335
"Lactb2",458.769681812124,0.262860505352768,0.182114848609021,1.44337766722745,0.148914111704716,0.447109299411104
"Eya1",480.86627650558,0.139039348332953,0.191365453885956,0.726564515744903,0.467492772219971,0.753996874826895
"Terf1",268.024869742809,-0.137851672864499,0.135205001178103,-1.01957524990448,0.30792994802149,0.630450432667593
"Rpl7",12500.7001396575,-0.111558563307792,0.105091608066085,-1.06153636204368,0.288446217011317,0.611843438033755
"Rdh10",168.849238282657,0.123723866250809,0.156202516254824,0.792073451934471,0.428317848802476,0.729082346621685
"Stau2",222.879640221882,0.412194692462201,0.210648849210629,1.95678587377444,0.0503726485906482,0.246482068445164
"Ube2w",411.342745916345,0.326651113023789,0.198589454780594,1.64485628597289,0.0999994515214454,0.362208430494825
"Tceb1",869.58757782689,-0.0109122914914109,0.123284028989557,-0.0885134236839006,0.929468615658298,0.973422327586292
"Tmem70",466.885511603312,0.0744632719190494,0.100973784880239,0.737451527714521,0.46084781004815,0.749862408871081
"Ly96",265.484560902544,0.0833090530425363,0.226213423899293,0.368276345437503,0.712667188599661,0.890212940936875
"Mcm3",3102.99369158141,-0.15458630522885,0.05137677850741,-3.00887501551998,0.00262216963155838,0.0360592717730331
"Paqr8",27.7398815883831,0.672764981149583,0.361939709747823,1.85877637360743,0.0630588426980637,0.279688920910617
"Efhc1",12.1279877278394,-0.868903767311165,0.611187634516853,-1.42166450732931,0.155123668385664,0.456859264107065
"Tram2",100.509260743872,-0.0797714572842886,0.24198804444547,-0.329650406767365,0.741664130470612,0.90391475099069
"Tmem14a",41.0111508691171,0.443481702945512,0.343853554627866,1.28974005641869,0.197140926812035,0.51544314426563
"Gsta3",9.90804905378953,-0.27955336333228,1.017767936622,-0.274672991035781,0.783567483337098,0.922811058667608
"Ogfrl1",1169.62331148065,-0.143239225815902,0.110162028283166,-1.30025951816821,0.193512037648443,0.510231799405477
"Smap1",1262.87354654276,0.047169291606998,0.0975286163045986,0.483645655954763,0.628637367036311,0.852835728757423
"Sdhaf4",205.484228469138,0.0215610131794055,0.188578290577353,0.114334545686007,0.908972598549208,0.967469965390584
"Fam135a",58.8724282493443,0.0499452229104392,0.366171842838812,0.136398316493234,0.891506404485002,0.962150813090822
"Lmbrd1",2193.5421227937,0.232841774929482,0.0906287031265133,2.56918356874694,0.010193844220251,0.0885964878438401
"Phf3",1786.80666119313,-0.0311811372093023,0.12148501577577,-0.256666528050296,0.797436212827668,0.926366222881726
"Ptp4a1",150.340248724813,0.449547116694482,0.291057317463583,1.54453123052208,0.122459691493191,0.401408198458834
"Prim2",596.237425852716,-0.204628557840136,0.117376630607194,-1.74335007557794,0.081272483267072,0.3233912266904
"Rab23",123.58958131308,0.0945289707599012,0.188184852185224,0.502319765178866,0.615442608064535,0.845721507455295
"Bag2",86.5021982952234,0.243673976885388,0.226978715701015,1.0735543028024,0.283022488121846,0.607709304042513
"Zfp451",403.056693495075,-0.100934388135475,0.137168200807172,-0.735843931330452,0.461825682332298,0.750665633882006
"Bend6",10.5884197897879,0.774565380292672,0.580224813999359,1.33494011563168,0.181895946882924,0.494859389469924
"Dst",556.518584035752,-0.435105868513614,0.192340887646033,-2.26216003179908,0.0236875177066818,0.154999310278309
"Ccdc115",1149.21824515832,0.0875426399296176,0.108511673368204,0.806757809665012,0.419806030755007,0.724082202536665
"Imp4",1441.92280231942,-0.0589468896873299,0.0740397002649218,-0.796152462481773,0.425943424182267,0.728063261888327
"Ptpn18",1460.00915947489,-0.559309146250874,0.171507348193162,-3.26113809200144,0.00110965984678031,0.0195095174216037
"Arhgef4",116.635870161713,-0.0480803488331687,0.216317801282838,-0.222267185354307,0.824105895493434,0.938567437910207
"Fam168b",4667.53966748284,-0.0387430645516622,0.0726300432345449,-0.533430283478544,0.593735758992149,0.831694238625011
"Plekhb2",4777.99068456248,0.267406678695368,0.0994068406027674,2.69002291063583,0.00714471137581889,0.0705438925469833
