"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0275783105579619,0.0367710807439492,0.352487857583619,0.57100937439618,1.50974131156827,63,"Scd1;Jag1;Cd9;Hsd17b7;Fabp5;Idi1;Cyp51;Gldc;Lgals3;Trp53inp1;Scd2;Alcam;Cpeb2;Hmgcs1;Ldlr;Sc5d;Atf5;Sqle;Atf3;Stard4;Mvd;S100a11;Gusb;Chka;Plscr1;Lss;Lpl;Fasn;Tnfrsf12a;Plaur;Dhcr7"
"HALLMARK_E2F_TARGETS",1.16468156108656e-08,2.32936312217311e-08,0.747739663149885,-0.458833046190949,-1.96846155424374,194,"Cenpm;Hmgb2;Psmc3ip;Lig1;Dctpp1;Tk1;Kif18b;Lmnb1;Dlgap5;Cdkn3;Shmt1;Mki67;Melk;Espl1;Mybl2;Timeless;Pold1;Ung;Mcm5;Smc1a;Brca2;Mcm7;Wdr90;Pole;Bub1b;Cdc20;Nudt21;Dnmt1;Ncapd2;Brca1;Hmmr;Smc3;Spag5;Nop56;Dscc1;Mxd3;Plk1;Pnn;Birc5;Nolc1;Kif22;Mcm6;Cit;Cenpe;Tipin;Rad51c;Prkdc;Bard1;Rfc2;Cdca8;Rpa2;Pola2;Ak2;E2f8;Spc24;Prim2;Luc7l3;Dut;Hnrnpd;Trip13;Gins1;Aurkb;Cdkn2a;Top2a;Mcm2;Ssrp1;Rfc3;Rad51ap1;Tacc3;Asf1b;Rad50;Ube2t;Kif4;Cdkn2c;Pttg1;Snrpb;Racgap1;Hmgb3;Pan2;Cdc25b;Msh2;Kif2c;Tcf19;Nasp;Phf5a;Dek;Trp53;Mcm3;Suv39h1;Ilf3;Lyar;Ccnb2;Gins3;Paics;Pold2;Cdk1;Ranbp1;Donson;Kpna2;Mcm4;Tbrg4;Rpa1;Rfc1;Chek2;Orc6;Stmn1;Nbn;Cdca3;Hus1"
"HALLMARK_FATTY_ACID_METABOLISM",0.12800875273523,0.12800875273523,0.12563992130984,0.445628497266177,1.27659917104783,122,"Mgll;Gpd1;Car2;Cd36;Ehhadh;Maoa;Hsd17b7;Idi1;Ephx1;Eno2;Idh1;Hmgcs1;Cd1d1;Cpox;Grhpr;Gabarapl1;Acss1;Glul;Trp53inp2;Hsph1;Acsl4;Elovl5;Fasn;Serinc1;Hccs;Dld;Ldha;Rdh11;Aldoa;Acadl"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.12904156562376e-12,4.51616626249502e-12,0.910119734774459,-0.677442515160967,-2.60420842671027,89,"Cxcl10;Ifitm1;Ly6e;Isg20;Ifit3;Isg15;Irf7;Mx2;Ifitm2;Cd74;Ifit2;Il4ra;Tap1;Bst2;Sp110;Cmtr1;Uba7;Dhx58;Helz2;Ifitm3;Psmb9;Parp14;Oas1g;Stat2;Oasl1;Csf1;Rsad2;Cmpk2;Epsti1;Psmb8;Oas1a;Trim12c;Parp9;Slc25a28;Ogfr;Adar;Lgals3bp;Ddx60;Ifi44;Cnp;Trim21;Usp18;Ifi35;Eif2ak2;Parp12;Batf2;Ube2l6;Cd47;Nmi;Psme1;Samd9l;Rtp4;Trim14;Gbp2;Trafd1"
