"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","small GTPase mediated signal transduction","86/2081","428/28564",4.87462465279223e-18,3.62867059153854e-14,2.70362076795392e-14,"Map4k4/Col3a1/Dock10/Bcr/Kitl/Dock2/Rasgef1c/Rap1gap2/Itga3/Ngfr/Baiap2/Pik3cg/Sipa1l1/Gpr65/Ccdc88c/Rapgef5/Rala/Elmo1/F2rl1/Ccdc125/Arhgef3/Nisch/Dennd3/Gpr20/Arhgap8/Celsr1/Robo1/Rab12/Rhoq/Rock1/Psd2/Spry4/Kank1/Plce1/Arhgap19/Arl3/Adrb1/Abl1/Garnl3/Mapkap1/Dab2ip/Dennd1a/Chn1/Src/Arfgef2/Dok5/Arfgap1/Rapgef2/Ntrk1/Iqgap3/Notch2/Rhoc/Bcar3/Ephb2/Pdpn/Plekhg5/Rasgef1b/Arhgap24/Ksr2/Adcyap1r1/Iqsec1/Rasgef1a/Eps8/Eps8l1/Apoe/Sipa1l3/Arhgap33/Arrb1/Nucb2/Lat/Arhgef18/Arhgef7/Mcf2l/Arhgef10/Nfix/Cdh13/Rhou/Rab4a/Sipa1l2/Nrp1/Dock6/Rgl3/Rasa2/Mras/P2ry10b/Chm",86
"GO:0034329","cell junction assembly","91/2081","477/28564",1.72706578832703e-17,6.4281388641532e-14,4.78942612562901e-14,"Map4k4/Tns1/Lamc1/Dnm3/Ptprk/Bcr/Pmp22/Arhgef15/Asic2/Vmp1/Jup/Mapt/Prkca/Sdk2/Tbcd/Itgb1bp1/Sipa1l1/Ntrk2/Pik3r1/Dlg5/Nrg3/Mmp14/Farp1/Ctnnd2/Ptk2/Adgrb1/Shank3/Pkp2/Gsk3b/Mdga1/Ptprs/Nrxn1/Rock1/Ctnna1/Nrg2/Nedd4l/Sptbn2/Nrxn2/Flrt1/Grin1/Ntng2/Abl1/Src/Cdh22/Pard6b/Cdh26/Cdh4/Rapgef2/Ntrk1/S100a10/Rhoc/Pdlim5/Adgrl2/Adgrb2/Col16a1/Ephb2/Wnt4/Epha2/Fzd1/Magi2/Lgi2/Ptpn13/Coro1c/Tbx5/Ptpn11/Cux2/Micall2/Actb/Grid2/Wnt7a/Setd5/Lrtm2/Lrfn3/Gabrb3/Tjp1/Wnt11/Shank2/Adgre5/Adgrl1/Cacna1a/Cdh1/Cdh13/Nrp1/Vstm5/Kirrel3/Thy1/Nptn/Coro2b/Smad3/Bsn/Pdcd6ip",91
"GO:0050803","regulation of synapse structure or activity","64/2081","313/28564",3.82119890989583e-14,7.4369249424958e-11,5.5410443623986e-11,"Ngef/Dnm3/Marcks/Camk2b/Arhgef15/Pafah1b1/Asic2/Prkca/Baiap2/Sipa1l1/Nedd9/Ror2/Ntrk2/Pik3r1/Dlg5/Slc18a3/Nfatc4/Farp1/Ywhaz/Ptk2/Adgrb1/Shank3/Lrrk2/Etv5/Kalrn/Gsk3b/Mdga1/Ptprs/Nrxn1/Rock1/Nrg2/Flrt1/Grin1/Ntng2/Abl1/Dab2ip/Tanc1/Ntrk1/Pdlim5/Adgrl2/Adgrb2/Ephb2/Fzd1/Magi2/Ptpn13/Sparcl1/Cux2/Grid2/Ctnna2/Dctn1/Wnt7a/Setd5/Lrtm2/Apoe/Lrfn3/Arhgap33/Slc17a6/Shank2/Adgre5/Adgrl1/Disc1/Vstm5/Cyp19a1/Snap91",64
"GO:0043087","regulation of GTPase activity","69/2081","353/28564",3.99619824959473e-14,7.4369249424958e-11,5.5410443623986e-11,"Map4k4/Dock10/Ngef/Sh3bp4/Agap1/Plxna2/Bcr/Rasgef1c/Arhgef15/Rap1gap2/Pafah1b1/Sgsm2/Abr/Ccl11/Itgb1bp1/Sipa1l1/Gpr65/Rapgef5/Nedd9/Ntrk2/Rasa1/F2rl1/Ccdc125/Tbc1d4/Tbc1d22a/Sbf1/Lrrk2/Kalrn/Gsk3b/Tbc1d5/Adrb1/Garnl3/Dab2ip/Dennd1a/Chn1/Gnas/Rapgef2/Ntrk1/S100a10/Bcar3/Asap3/Wnt4/Epha2/Arhgef16/Tbc1d1/Rasgef1b/Arhgap24/Sgsm1/Coro1c/Adap1/Plxna4/Iqsec1/Rasgef1a/Trappc6a/Sipa1l3/Wnt11/Arrb1/Sbf2/Arhgef7/Arhgef10/Tbc1d9/Gnao1/Mtss2/Sipa1l2/Dock6/Rgl3/Thy1/Bbs4/Rasa2",69
"GO:0007409","axonogenesis","86/2081","498/28564",5.53409305331685e-14,8.23915773777812e-11,6.13876553640557e-11,"Lhx4/Enah/Plxna2/Stxbp5/Nr2e1/Unc5b/Kifbp/Adarb1/Adcy1/B3gnt2/Bcl11a/Slit3/Fstl4/Pmp22/Pafah1b1/Ngfr/Mapt/Prkca/Sipa1l1/Ntrk2/Map1b/Emb/Atp8a2/Kif13b/Trio/Matn2/Ptk2/Wnt7b/Kalrn/Sema5b/Gsk3b/Alcam/Robo1/Notch3/Ptprs/Ptprm/Rnf165/Mbp/Slit1/Gata3/Grin1/Olfm1/Ntng2/Abl1/Zeb2/Chn1/Bmp7/Cdh4/Lama5/Ntrk1/Lmo4/Nr4a3/Megf9/Edn2/Runx3/Ephb2/Epha8/Ece1/Fgfr3/Crmp1/Apbb2/Ptpn11/Actb/Plxna4/Ctnna2/Wnt7a/Foxp1/Cntn4/Ret/Lrtm2/Apoe/Megf8/Brsk2/Cacna1a/Nfix/Mt3/Cdh1/Disc1/Nrp1/Aplp2/Thy1/Dscaml1/Nptn/Neo1/Snap91/Trak1",86
"GO:1901888","regulation of cell junction assembly","54/2081","242/28564",9.19447329732884e-14,1.14072765375526e-10,8.49924207081152e-11,"Map4k4/Arhgef15/Asic2/Prkca/Itgb1bp1/Sipa1l1/Ntrk2/Pik3r1/Dlg5/Mmp14/Farp1/Ptk2/Adgrb1/Pkp2/Gsk3b/Mdga1/Ptprs/Nrxn1/Rock1/Nrg2/Nedd4l/Flrt1/Grin1/Ntng2/Abl1/Src/Rapgef2/Ntrk1/S100a10/Pdlim5/Adgrl2/Adgrb2/Col16a1/Ephb2/Wnt4/Epha2/Fzd1/Ptpn13/Coro1c/Tbx5/Ptpn11/Cux2/Grid2/Wnt7a/Setd5/Lrtm2/Lrfn3/Tjp1/Adgre5/Adgrl1/Nrp1/Vstm5/Thy1/Smad3",54
"GO:0050807","regulation of synapse organization","62/2081","305/28564",1.25869065380474e-13,1.33852760384607e-10,9.97299406751457e-11,"Ngef/Dnm3/Marcks/Camk2b/Arhgef15/Pafah1b1/Asic2/Prkca/Baiap2/Sipa1l1/Nedd9/Ror2/Ntrk2/Pik3r1/Dlg5/Slc18a3/Nfatc4/Farp1/Ywhaz/Ptk2/Adgrb1/Shank3/Lrrk2/Etv5/Kalrn/Gsk3b/Mdga1/Ptprs/Nrxn1/Rock1/Nrg2/Flrt1/Grin1/Ntng2/Abl1/Dab2ip/Tanc1/Ntrk1/Pdlim5/Adgrl2/Adgrb2/Ephb2/Fzd1/Magi2/Ptpn13/Sparcl1/Cux2/Grid2/Ctnna2/Dctn1/Wnt7a/Setd5/Lrtm2/Apoe/Lrfn3/Arhgap33/Shank2/Adgre5/Adgrl1/Disc1/Vstm5/Snap91",62
"GO:0007416","synapse assembly","50/2081","216/28564",1.69133982166895e-13,1.57379170406296e-10,1.17258809478601e-10,"Dnm3/Arhgef15/Asic2/Mapt/Prkca/Sdk2/Sipa1l1/Ntrk2/Pik3r1/Dlg5/Nrg3/Farp1/Ptk2/Adgrb1/Shank3/Gsk3b/Mdga1/Ptprs/Nrxn1/Nrg2/Sptbn2/Nrxn2/Flrt1/Grin1/Ntng2/Ntrk1/Pdlim5/Adgrl2/Adgrb2/Ephb2/Fzd1/Magi2/Lgi2/Ptpn13/Cux2/Grid2/Wnt7a/Setd5/Lrtm2/Lrfn3/Gabrb3/Shank2/Adgre5/Adgrl1/Cacna1a/Cdh1/Vstm5/Kirrel3/Nptn/Bsn",50
"GO:0007265","Ras protein signal transduction","66/2081","340/28564",2.00127769836233e-13,1.65527902073435e-10,1.23330201083873e-10,"Map4k4/Col3a1/Bcr/Kitl/Dock2/Rasgef1c/Itga3/Ngfr/Baiap2/Pik3cg/Gpr65/Rapgef5/Rala/Elmo1/F2rl1/Ccdc125/Arhgef3/Nisch/Dennd3/Gpr20/Celsr1/Robo1/Rab12/Rock1/Psd2/Spry4/Kank1/Plce1/Adrb1/Abl1/Mapkap1/Dab2ip/Dennd1a/Src/Arfgef2/Dok5/Arfgap1/Rapgef2/Ntrk1/Iqgap3/Notch2/Ephb2/Pdpn/Plekhg5/Rasgef1b/Arhgap24/Ksr2/Iqsec1/Rasgef1a/Eps8/Eps8l1/Apoe/Arrb1/Lat/Arhgef18/Mcf2l/Arhgef10/Nfix/Cdh13/Rhou/Rab4a/Nrp1/Rgl3/Rasa2/Mras/P2ry10b",66
"GO:0016358","dendrite development","63/2081","327/28564",9.96964682555518e-13,7.42140509694327e-10,5.52948096040529e-10,"Dock10/Ngef/Dnm3/Marcks/Nr2e1/Camk2b/Bcl11a/Fstl4/Pafah1b1/Sez6/Ngfr/Baiap2/Sipa1l1/Phactr1/Ntrk2/Map1b/Dlg5/Nfatc4/Farp1/Ctnnd2/Matn2/Shank3/Lrrk2/Dgkg/Kalrn/Gsk3b/Robo1/D16Ertd472e/Arid1b/Tbc1d24/Cul7/Ptprs/Alk/Nedd4l/Spire1/Flrt1/Abi1/Grin1/Abl1/Dab2ip/Slc12a5/Bmp7/Tnik/Rapgef2/Pdlim5/Foxo6/Ephb2/Cux2/Sdk1/Ctnna2/Iqsec1/Wnt7a/Apoe/Arhgap33/Prmt3/Crtc1/Cacna1a/Fbxo31/Disc1/Nrp1/Fat3/Bbs4/Trak1",63
"GO:0043547","positive regulation of GTPase activity","54/2081","259/28564",1.65422829450393e-12,1.11946140220794e-09,8.340793190183e-10,"Map4k4/Dock10/Ngef/Agap1/Bcr/Rasgef1c/Arhgef15/Rap1gap2/Sgsm2/Abr/Ccl11/Sipa1l1/Gpr65/Rapgef5/Nedd9/Rasa1/F2rl1/Ccdc125/Tbc1d4/Tbc1d22a/Kalrn/Gsk3b/Tbc1d5/Adrb1/Garnl3/Dennd1a/Chn1/Gnas/Rapgef2/Ntrk1/S100a10/Bcar3/Asap3/Wnt4/Epha2/Arhgef16/Tbc1d1/Rasgef1b/Arhgap24/Sgsm1/Coro1c/Iqsec1/Rasgef1a/Sipa1l3/Wnt11/Arhgef7/Arhgef10/Tbc1d9/Gnao1/Mtss2/Sipa1l2/Dock6/Rgl3/Thy1",54
"GO:0051056","regulation of small GTPase mediated signal transduction","50/2081","236/28564",5.86451555415152e-12,3.63795448209199e-09,2.71053793463372e-09,"Map4k4/Col3a1/Bcr/Kitl/Dock2/Rap1gap2/Itga3/Ngfr/Pik3cg/Sipa1l1/Gpr65/F2rl1/Ccdc125/Arhgef3/Dennd3/Gpr20/Robo1/Psd2/Spry4/Kank1/Plce1/Arhgap19/Abl1/Garnl3/Mapkap1/Dab2ip/Dennd1a/Chn1/Src/Arfgef2/Arfgap1/Ntrk1/Notch2/Ephb2/Arhgap24/Adcyap1r1/Iqsec1/Rasgef1a/Eps8/Eps8l1/Apoe/Sipa1l3/Arrb1/Arhgef18/Mcf2l/Arhgef10/Sipa1l2/Nrp1/Rasa2/P2ry10b",50
"GO:0030111","regulation of Wnt signaling pathway","59/2081","321/28564",3.85746492369551e-11,2.20884376092226e-08,1.6457475856641e-08,"Amer3/Fzd7/Kremen1/Nlk/Itga3/Axin2/Csnk1d/Sostdc1/Ccdc88c/Gsc/Sox4/Barx1/Wnk2/Spin1/Ror2/Nfatc4/Shisa2/Ccar2/Ctnnd2/Lrrk2/Gsk3b/Prkn/Daam2/Ppm1b/Ccny/Egr1/Alpk2/Kank1/Abl1/Dab2ip/Zeb2/Rspo4/Src/Foxo1/Dkk2/Tle1/Plpp3/Trabd2b/Rnf220/Rspo1/Ptpru/Ctnnbip1/Fzd1/Fgfr3/Klf15/Wnt5b/Apoe/Lrrk1/Wnt11/Folr1/Dkk3/Nkd1/Cdh1/Foxl1/Disc1/Tle3/Smad3/Rbms3/Ddx3x",59
"GO:0050890","cognition","64/2081","364/28564",4.20242702700359e-11,2.23449048492963e-08,1.66485624099864e-08,"Adora1/Adcy1/Specc1/Pafah1b1/Ccl11/Itga3/Gip/Mapt/Prkca/Hif1a/Nedd9/Shc3/Neurog1/Ntrk2/Pde8b/Nfatc4/Ctnnd2/Peg13/Mgat3/Shank3/Kalrn/Prkn/Grm4/Btbd9/Pja2/Lhcgr/Nrxn1/Egr1/Nrxn2/Adrb1/Grin1/Abl1/Lmx1b/Tanc1/Eif2ak4/Plcb1/Slc12a5/Gnas/Chrna4/Cyp7b1/Ntrk1/Gpr88/Foxo6/Ephb2/Camk2n1/Ucn/Jakmip1/Cux2/Tac1/Setd5/Slc6a1/Cacna1c/Ccnd2/Pirb/Apoe/Gabrb3/Shank2/Crtc1/Nfix/Jph3/Ldlr/St3gal4/Kmt2a/Nptn",64
"GO:1901890","positive regulation of cell junction assembly","33/2081","127/28564",8.31228921416587e-11,4.12511206068338e-08,3.07350539434666e-08,"Map4k4/Asic2/Prkca/Itgb1bp1/Ntrk2/Pik3r1/Dlg5/Adgrb1/Gsk3b/Nrxn1/Rock1/Flrt1/Abl1/Ntrk1/S100a10/Adgrl2/Adgrb2/Col16a1/Ephb2/Wnt4/Epha2/Tbx5/Ptpn11/Cux2/Grid2/Wnt7a/Lrtm2/Adgre5/Adgrl1/Nrp1/Vstm5/Thy1/Smad3",33
"GO:0198738","cell-cell signaling by wnt","74/2081","460/28564",1.00496453110959e-10,4.57326104209483e-08,3.40740864147709e-08,"Amer3/Fzd7/Oprm1/Kremen1/Nlk/Itga3/Dlx3/Jup/Axin2/Csnk1d/Sostdc1/Daam1/Ccdc88c/Gsc/Sox4/Barx1/Wnk2/Spin1/Ror2/Nfatc4/Shisa2/Ccar2/Ednrb/Ctnnd2/Wnt7b/Celsr1/Lrrk2/Gsk3b/Prkn/Daam2/Ppm1b/Ccny/Egr1/Alpk2/Lrp5/Kank1/Gata3/Abl1/Dab2ip/Zeb2/Rspo4/Src/Tnik/Foxo1/Dkk2/Tle1/Plpp3/Trabd2b/Rnf220/Rspo1/Ptpru/Wnt4/Ctnnbip1/Fzd1/Fgfr3/Cpz/Klf15/Wnt7a/Wnt5b/Apoe/Ccne1/Lrrk1/Wnt11/Folr1/Dkk3/Ccnd1/Nkd1/Cdh1/Foxl1/Disc1/Tle3/Smad3/Rbms3/Ddx3x",74
"GO:0042391","regulation of membrane potential","77/2081","488/28564",1.08081929801513e-10,4.57326104209483e-08,3.40740864147709e-08,"Bok/Adora1/Nos1ap/Kcnk2/Oprm1/Popdc3/Gabrp/Ubb/Pmp22/Sez6/Asic2/Cacna1g/Ngfr/Jup/Mapt/Kcnh6/Baiap2/Calm1/Slc24a4/Tcl1/Ryr2/Ntrk2/Kcnk5/Cacna1d/Cacna1i/Shank3/Lrrk2/Pkp2/Gsk3b/Grik1/Prkn/Tbc1d24/Kcnk12/Nrxn1/Piezo2/Nedd4l/Got1/Kcnip2/Adrb1/Grin1/Cacnb4/Src/Chrna4/Kcnq2/Kcnmb2/Kcna2/Kcnc4/Gpr88/Slc9a1/Kcnab2/Gabrd/Kcnh2/Dpp6/Nos1/Tbx5/Cux2/Tac1/Gimap5/Gimap3/Grid2/Wnt7a/Grip2/Foxp1/Cacna1c/Kcna1/Tspan9/Grik5/Myh14/Gabrb3/Kcnq1/Ano1/Crtc1/Cacna1a/Igsf9b/Insyn1/Hcn4/Scn5a",77
"GO:0001667","ameboidal-type cell migration","75/2081","470/28564",1.10583958567581e-10,4.57326104209483e-08,3.40740864147709e-08,"Map4k4/Tns1/Dusp10/Sash1/Nr2e1/Col18a1/Kitl/Anxa6/Pmp22/Pafah1b1/Itga3/Krt16/Jup/Prkca/Itgb1bp1/Pik3cg/Hif1a/Adtrp/Capn7/Ednrb/Angpt1/Ptk2/Adgrb1/Sema5b/Robo1/T/Plg/Sox8/Daam2/Nrtn/Ptprm/Rock1/Hbegf/Lrp5/Cd248/Kank1/Nanos1/Gata3/Abl1/Dab2ip/Crb2/Zeb2/Src/Bmp7/Lama5/S100a9/Plpp3/Edn2/Zc3h12a/Epha2/Plekhg5/Tgfbr3/Coro1c/Ptpn11/Radil/Tac1/Gata2/Iqsec1/Wnt7a/Foxp1/Ret/Prkd2/Apoe/Megf8/Ceacam1/Wnt11/Folr1/Fgf4/Cdh13/Nrp1/Bmper/Ets1/Robo4/Itga11/Map2k5",75
"GO:0016055","Wnt signaling pathway","73/2081","458/28564",2.06402522212539e-10,7.78567806362536e-08,5.80089053950084e-08,"Amer3/Fzd7/Kremen1/Nlk/Itga3/Dlx3/Jup/Axin2/Csnk1d/Sostdc1/Daam1/Ccdc88c/Gsc/Sox4/Barx1/Wnk2/Spin1/Ror2/Nfatc4/Shisa2/Ccar2/Ednrb/Ctnnd2/Wnt7b/Celsr1/Lrrk2/Gsk3b/Prkn/Daam2/Ppm1b/Ccny/Egr1/Alpk2/Lrp5/Kank1/Gata3/Abl1/Dab2ip/Zeb2/Rspo4/Src/Tnik/Foxo1/Dkk2/Tle1/Plpp3/Trabd2b/Rnf220/Rspo1/Ptpru/Wnt4/Ctnnbip1/Fzd1/Fgfr3/Cpz/Klf15/Wnt7a/Wnt5b/Apoe/Ccne1/Lrrk1/Wnt11/Folr1/Dkk3/Ccnd1/Nkd1/Cdh1/Foxl1/Disc1/Tle3/Smad3/Rbms3/Ddx3x",73
"GO:0031589","cell-substrate adhesion","63/2081","369/28564",2.09179958721799e-10,7.78567806362536e-08,5.80089053950084e-08,"Map4k4/Col3a1/Fzd7/Lamc1/Cd34/Ptprk/Marcks/Bcr/Itga3/Jup/Itgb1bp1/Agr2/Itgb8/Nedd9/Spock1/Rasa1/Pik3r1/Mmp14/Egflam/Angpt1/Ptk2/Triobp/Parvg/Fbln1/Pkp2/Gsk3b/Plg/Msln/Tnxb/Rock1/Lims2/Spry4/Kank1/Abl1/Lamc3/Itgb6/Mertk/Sirpa/Src/Lama5/Postn/S100a10/Col16a1/Wnt4/Pdpn/Ajap1/Coro1c/Ptpn11/Col26a1/Micall2/Radil/Fbln2/Bcam/Itgam/Gas6/Cdh13/Disc1/Nrp1/Thy1/Coro2b/Itga11/Smad3/Itga9",63
"GO:0008217","regulation of blood pressure","45/2081","222/28564",3.04889037330975e-10,1.05710320344337e-07,7.87617972643896e-08,"Avpr1b/Adora1/Cd34/Avpr1a/Asic2/Tac4/Uts2r/Ahr/Bdkrb2/Erap1/F2rl1/Pik3r1/Nisch/Ednrb/Uts2b/Fshr/Nedd4l/Adrb1/Cacna1b/Eng/Adra1d/Gnas/Postn/Edn2/Ece1/Camk2n1/Agtrap/Ucn/Nos1/Tac1/Crhr2/Grip2/Cacna1c/C3ar1/Klk1b1/Klk1b21/Nav2/Adm/Kcnq1/Gas6/Bbs4/Coro2b/Smad3/Tpm1/Agtr2",45
"GO:0051963","regulation of synapse assembly","34/2081","140/28564",3.12416314827433e-10,1.05710320344337e-07,7.87617972643896e-08,"Arhgef15/Asic2/Prkca/Sipa1l1/Ntrk2/Pik3r1/Dlg5/Farp1/Ptk2/Adgrb1/Gsk3b/Mdga1/Ptprs/Nrxn1/Nrg2/Flrt1/Grin1/Ntng2/Ntrk1/Pdlim5/Adgrl2/Adgrb2/Ephb2/Fzd1/Ptpn13/Cux2/Grid2/Wnt7a/Setd5/Lrtm2/Lrfn3/Adgre5/Adgrl1/Vstm5",34
"GO:0043062","extracellular structure organization","57/2081","324/28564",4.70044763067114e-10,1.52131009403113e-07,1.13348551789502e-07,"Col19a1/Col3a1/Marco/Optc/Lamc1/Dpt/Nr2e1/P4ha1/Col18a1/Sh3pxd2b/Adamts2/Col23a1/Pmp22/Tex14/Axin2/Pxdn/Adtrp/Tgfbi/Mmp14/Egflam/Matn2/Ptk2/Fbln1/Plg/Mmp25/Tnxb/Fshr/Adamtsl2/Col5a1/Abl1/Eng/Lmx1b/Slc2a10/Col9a3/Postn/Otol1/Tmem38b/Col27a1/Col16a1/Hspg2/Pdpn/Vwa1/Apbb2/Fbln2/Ercc2/Ltbp4/Arhgap33os/Hpn/Klk4/Adamts17/Col4a1/Has3/Mmp27/Aplp2/Ets1/Loxl1/Smad3",57
"GO:0001764","neuron migration","42/2081","204/28564",7.15014313458401e-10,2.08322977634802e-07,1.55215612596195e-07,"Col3a1/Cep85l/Camk2b/Pafah1b1/Itga3/Mapt/Phactr1/Spock1/Ntrk2/Nrg3/Elp3/Matn2/Ptk2/Mrtfa/Celsr1/Mrtfb/Gsk3b/Tbc1d24/Mdga1/Gata3/Ntng2/Lmx1b/Dab2ip/Lhx6/Scrt2/Rapgef2/Acap3/Apbb2/Ctnna2/Gata2/Gas6/Cdh1/Fbxo31/Disc1/Nrp1/Fat3/Kirrel3/Neo1/Bbs4/Ccr4/Ulk4/Pomgnt2",42
"GO:0046578","regulation of Ras protein signal transduction","42/2081","204/28564",7.15014313458401e-10,2.08322977634802e-07,1.55215612596195e-07,"Map4k4/Col3a1/Bcr/Kitl/Dock2/Itga3/Ngfr/Pik3cg/Gpr65/F2rl1/Ccdc125/Arhgef3/Dennd3/Gpr20/Robo1/Psd2/Spry4/Kank1/Plce1/Abl1/Mapkap1/Dab2ip/Dennd1a/Src/Arfgef2/Arfgap1/Ntrk1/Notch2/Ephb2/Arhgap24/Iqsec1/Rasgef1a/Eps8/Eps8l1/Apoe/Arrb1/Arhgef18/Mcf2l/Arhgef10/Nrp1/Rasa2/P2ry10b",42
"GO:0030900","forebrain development","67/2081","416/28564",7.27619212587969e-10,2.08322977634802e-07,1.55215612596195e-07,"Col3a1/Nr2e1/Ikzf1/Kif3a/Ubb/Kdm6b/Pafah1b1/Hif1a/Gsc/Ccdc85c/Phactr1/Pitx1/Ntrk2/Rarb/Nrg3/Trappc9/Mrtfa/Wnt7b/Shank3/Lrrk2/Mrtfb/Gsk3b/Robo1/D16Ertd472e/Olig2/Mdga1/Notch3/Ptprs/Alk/Slit1/Crtac1/Grin1/Dab2ip/Lhx6/Zeb2/Plcb1/Src/Rapgef2/Dclk2/Nr4a3/Akna/Dmrta2/Pou3f1/Ephb2/Wnt4/Chd5/Fgfr3/Jakmip1/Msx1/Coro1c/Plxna4/Neurod6/Emx1/Gata2/Wnt7a/Kcna1/Itgam/Tacc1/Fut10/Nfix/Disc1/Nrp1/Aplp2/Kirrel3/Dmxl2/Bbs4/Ulk4",67
"GO:0045229","external encapsulating structure organization","56/2081","324/28564",1.30942988529482e-09,3.51692260861124e-07,2.62036047749832e-07,"Col19a1/Col3a1/Marco/Optc/Lamc1/Dpt/Nr2e1/P4ha1/Col18a1/Sh3pxd2b/Adamts2/Col23a1/Pmp22/Axin2/Pxdn/Adtrp/Tgfbi/Mmp14/Egflam/Matn2/Ptk2/Fbln1/Plg/Mmp25/Tnxb/Fshr/Adamtsl2/Col5a1/Abl1/Eng/Lmx1b/Slc2a10/Col9a3/Postn/Otol1/Hrnr/Tmem38b/Col27a1/Col16a1/Hspg2/Pdpn/Vwa1/Apbb2/Fbln2/Ercc2/Ltbp4/Hpn/Klk4/Adamts17/Col4a1/Has3/Mmp27/Aplp2/Ets1/Loxl1/Smad3",56
"GO:0003018","vascular process in circulatory system","46/2081","240/28564",1.32286180871997e-09,3.51692260861124e-07,2.62036047749832e-07,"Cxcr2/Avpr1b/Adora1/Atg5/Bcr/Avpr1a/Abr/Asic2/Cacna1g/Uts2r/Itgb1bp1/Ahr/Hif1a/Bdkrb2/Bmp6/F2rl1/Ednrb/Angpt1/Ptk2/Uts2b/Slc22a2/Slc22a1/Ptprm/Rock1/Adrb1/Abl1/Adra1d/Sh3gl2/Edn2/Ece1/Ctnnbip1/Ucn/Adra2c/Tgfbr3/Nos1/Abcg2/Grip2/Cacna1c/Pde3a/Apoe/Ceacam1/Klk1b1/Tjp1/Adm/Plekha7/Agtr2",46
"GO:0007611","learning or memory","56/2081","326/28564",1.65289482159804e-09,4.24281001792268e-07,3.16119884392016e-07,"Adcy1/Specc1/Pafah1b1/Ccl11/Itga3/Gip/Mapt/Prkca/Hif1a/Nedd9/Shc3/Neurog1/Ntrk2/Pde8b/Nfatc4/Ctnnd2/Peg13/Shank3/Kalrn/Prkn/Grm4/Btbd9/Pja2/Nrxn1/Egr1/Nrxn2/Adrb1/Grin1/Abl1/Lmx1b/Tanc1/Eif2ak4/Plcb1/Slc12a5/Cyp7b1/Ntrk1/Gpr88/Foxo6/Ephb2/Camk2n1/Ucn/Cux2/Tac1/Slc6a1/Cacna1c/Ccnd2/Pirb/Apoe/Gabrb3/Shank2/Crtc1/Nfix/Jph3/Ldlr/Kmt2a/Nptn",56
"GO:0060047","heart contraction","46/2081","242/28564",1.74722982142035e-09,4.33545959688436e-07,3.23022944879432e-07,"Hdac4/Adora1/Nos1ap/Atg5/Avpr1a/Cacna1g/Jup/Kcnh6/Prkca/Map2k6/Calm1/Ryr2/Smad5/Pik3r1/Thrb/Cacna1d/Sgcg/Ednrb/Pkp2/Epas1/Hbegf/Nedd4l/Adrb1/Cacna1b/Adra1d/Tmem38b/Edn2/Zc3h12a/Slc9a1/Kcnh2/Ucn/Pebp1/Nos1/Tbx5/Tac1/Crhr2/Cacna1c/Klk1b1/Adm/Kcnq1/Gnao1/Hcn4/Tpm1/Cacna2d2/Scn5a/Agtr2",46
"GO:0090596","sensory organ morphogenesis","55/2081","319/28564",2.00913386667092e-09,4.82451371080591e-07,3.5946099638333e-07,"Rp1/Cnga3/Pou2f1/Cdh23/Bcr/Ikzf1/Myo15a/Abr/Sdk2/Hif1a/Gsc/Dio3/Ror2/Neurog1/Ntrk2/Rarb/Thrb/Atp8a2/Triobp/Celsr1/Sox8/Cryaa/Ptprm/Zeb1/Tshz1/Gata3/Col5a1/Prrx2/Crb2/Bmp7/Notch2/Bcar3/Tmem215/Nr4a3/Whrn/Kcnq4/Ephb2/Epha2/Casz1/Fgfr3/Msx1/Otop1/Gata2/Atp2b2/Hpn/Ush1c/Trpm1/Myo7a/Mapk3/Kcnq1/Tenm3/Fat3/Thy1/Bbs4/Megf11",55
"GO:0090287","regulation of cellular response to growth factor stimulus","55/2081","320/28564",2.25687914520664e-09,5.25006511153695e-07,3.91167638687296e-07,"Pbld2/Fstl4/Epn2/Itga3/Ngfr/Sostdc1/Hif1a/Shisa2/Angpt1/Robo1/Lemd2/Scube3/Ppp2r5d/Crim1/Nrxn1/Zeb1/Spry4/Ldlrad4/Rnf165/Got1/Gata3/Adamtsl2/Abl1/Eng/Dab2ip/Crb2/Zeb2/Slc2a10/Ptpn1/Dok5/Pmepa1/Veph1/Notch2/Trim33/Wnt4/Prdm16/Fzd1/Msx1/Tgfbr3/Kcp/Prkd2/Furin/Folr1/Prkcb/Cdkn1c/Fgf4/Zfp423/Mt3/Glg1/Nrp1/Bmper/Nptn/Neo1/Smad3/Agtr2",55
"GO:0090630","activation of GTPase activity","27/2081","102/28564",2.71052320505354e-09,5.95434287755453e-07,4.43641401366482e-07,"Ngef/Agap1/Bcr/Arhgef15/Rap1gap2/Sgsm2/Abr/Sipa1l1/Gpr65/Nedd9/Rasa1/Ccdc125/Tbc1d4/Tbc1d22a/Tbc1d5/Garnl3/Epha2/Arhgef16/Tbc1d1/Arhgap24/Sgsm1/Coro1c/Sipa1l3/Arhgef10/Tbc1d9/Mtss2/Sipa1l2",27
