"gene","baseMean.x","log2FC_male","lfcSE.x","stat.x","pvalue.x","padj_male","baseMean.y","log2FC_female","lfcSE.y","stat.y","pvalue.y","padj_female","baseMean","log2FC_int","lfcSE","stat","pvalue","padj_int"
"Mrpl15",719.386933345878,0.0504136831514071,0.0732690719467272,0.688062258903213,0.49141357587847,0.833479698416713,783.162324992851,-0.0771220864633138,0.0865488375901523,-0.891081713061493,0.37288533466352,0.666347241729647,751.274629169365,-0.127408503565032,0.105254946348108,-1.21047521266749,0.226096596558888,0.548669769111189
"Lypla1",953.046762576682,-0.00822901576936113,0.0923030155402683,-0.0891521877285918,0.928960962667161,0.985232190104039,671.259697446073,0.2906599563099,0.303964504791419,0.956229927271774,0.338956083172492,0.638793781746178,812.153230011377,0.304816844158135,0.277815118452232,1.09719314721364,0.272556968172663,0.597487243651623
"Tcea1",1147.04462040728,0.0937551975728843,0.0783855430687836,1.19607766818192,0.231666251429027,0.635920989786594,962.665969157697,0.113557643480591,0.109654909097562,1.0355910593985,0.300392964768196,0.604144624079927,1054.85529478249,0.0215207539060166,0.133765288768669,0.160884442474715,0.872184415784635,0.955895918136187
"Atp6v1h",2974.87554260933,-0.12966572179061,0.0730382576093841,-1.77531236415955,0.0758463249997499,0.386106710368034,3187.89691932797,0.253641467058864,0.0802281331121025,3.16150279484195,0.00156957312200409,0.0319130583531002,3081.38623096865,0.383502001391242,0.106755576339892,3.59233694894058,0.000327725712199017,0.00803422550791312
"Rb1cc1",821.41728924489,0.0103145294527853,0.106168253329705,0.0971526716254213,0.922605152745496,0.982994383338634,566.852220800211,0.193088945368902,0.108540725781838,1.77895388093316,0.0752473233561163,0.309806037185995,694.134755022551,0.183158843726372,0.154640837857353,1.18441445522511,0.236249040875088,0.558815436618535
"St18",246.908331044885,0.047676337769832,0.127340522523515,0.374400362312224,0.708106473428761,0.924809741730405,205.284774635194,-0.142153146804757,0.191533135779684,-0.742185660074362,0.457974855616974,0.727196257967412,226.096552840039,-0.191826064983527,0.234022815388011,-0.819689587382661,0.412393087456114,0.719959503878104
"Pcmtd1",1046.52904787728,0.000630424022618887,0.115058778177653,0.00547914755052846,0.995628294636953,0.999397456086644,906.903489346029,0.182486793825473,0.100044586202358,1.82405466155221,0.0681438088782964,0.295524343095553,976.716268611655,0.181696156420087,0.15947055488004,1.13937119336398,0.254548365667658,0.577814257083946
"Rrs1",557.24626983613,0.0053652292443589,0.0839756068462009,0.0638903301310483,0.949057551986305,0.987554762677466,506.745951338296,0.117441647808589,0.0868723294201212,1.35188786340276,0.176411190624924,0.471555900844655,531.996110587213,0.112758022340916,0.111816570722072,1.00841960733337,0.313253063940625,0.636324663396562
"Adhfe1",15.0844269528669,-0.904195847151821,0.44624761605229,-2.02622000572406,0.0427422444221507,0.289020115584854,17.6905962007439,0.477950598291006,0.320551257601289,1.49102705716256,0.135954391322122,0.413966415786313,16.3875115768054,1.40681378744196,0.498860033683266,2.82005711512896,0.00480151024675335,0.0552492636494628
"2610203C22Rik",44.8245434944046,-0.516431286517615,0.258770241558172,-1.99571358517869,0.045965107499717,0.301282859001642,48.8339086441552,0.388918094488586,0.272816566039792,1.42556627016506,0.153993578277548,0.441607761435284,46.8292260692799,0.904416614769412,0.3731179395342,2.42394299212331,0.0153530153719507,0.117574569008075
