"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INFLAMMATORY_RESPONSE",0.0184141413523242,0.0273422098867844,0.352487857583619,-0.292263085389156,-1.37892693941176,158,"Gpr183;Ifitm1;Il4ra;Gpr132;Tlr2;Cxcl10;Nfkbia;Ptgir;Cd14;Ebi3;Il1b;Pik3r5;Icam1;Tnfsf10;Rhog;Ly6e;Csf3r;Cx3cl1;Icosl;Il10ra;Bst2;Adgre1;Ifnar1;Irf7;Atp2b1;Nmi;Eif2ak2;Rela;Cmklr1;Lyn;Mefv;Tapbp;Emp3;Nod2;Cd82;Sema4d;Lpar1;Ccl5;Pde4b;Lcp2;Il18rap;Nfkb1;Tnfsf15;Rtp4;Fpr1;Csf1"
"HALLMARK_P53_PATHWAY",0.0178904725708622,0.0273422098867844,0.352487857583619,0.309477121154963,1.40095079916802,169,"Sdc1;Dram1;Hbegf;Hmox1;Ctsd;Atf3;Plk2;Ifi30;Mdm2;Ephx1;Pitpnc1;Cebpa;Il1a;Stom;Procr;Casp1;Inhbb;Ctsf;Pcna;Cyfip2;Ptpre;Ldhb;Fuca1;Tsc22d1;Plk3;Csrnp2;Gadd45a;Rgs16;Pdgfa;Slc19a2;Sphk1;Cgrrf1;Fgf13;Slc7a11"
"HALLMARK_MYC_TARGETS_V1",0.0262934955144903,0.0378935670650007,0.352487857583619,-0.265504842730489,-1.28846866981401,197,"Mcm7;Odc1;Mcm5;Mcm6;Sf3a1;Mcm2;Cdc20;Nop56;U2af1;Pcbp1;Ppm1g;Rps6;Rrm1;Dut;Nolc1;Impdh2;Hnrnpu;Sf3b3;Tyms;Hnrnpd;Rps5;Ranbp1;Snrpg;Snrpa;Serbp1;Fbl;Rps2;Rpl14;Exosc7;Snrpd3;Cdk2;Eif4h;Rpl6;Hnrnpr;Psmb2;Rpl22;Eif3d;Rps3;Mrpl23;Rplp0;Kpna2;Rpl18;Lsm2;Hnrnpc;Snrpd2;Kars;Srsf3;Ccna2;Mrps18b;Ppia;Cdk4;Rfc4;Dek;Prpf31;Pa2g4;Pold2;Rps10;Snrpd1;Mcm4;Snrpb2;Cdc45;Trim28;Srsf7"
"HALLMARK_MYC_TARGETS_V2",0.0274683404484152,0.0384556766277813,0.352487857583619,-0.362168960761864,-1.41827611010988,58,"Mcm5;Tcof1;Nop56;Pes1;Plk1;Ung;Dctpp1;Nolc1;Dusp2;Las1l;Exosc5;Pprc1;Mybbp1a;Tbrg4;Cdk4;Pa2g4;Bysl;Mcm4;Pus1;Grwd1;Ddx18;Imp4;Npm1"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",0.038597769821916,0.0525358533687191,0.321775918075361,-0.330951031796605,-1.35551523055739,73,"Il4ra;Il2rg;Tlr2;Cxcl10;Cd14;Ebi3;Il1b;Pik3r5;Stat3;Csf3r;Myd88;Ifngr1;Stat2;Ifnar1;Irf9"
"HALLMARK_UV_RESPONSE_UP",0.0529801324503311,0.070162878109898,0.252961123069611,0.302939772911049,1.30209127919827,126,"Atp6v1c1;Alas1;Cdkn1c;Rhob;Slc6a8;Hmox1;Atf3;Ctsl;Tfrc;Ephx1;Maoa;Eno2;Creg1;Car2;Gch1;Hspa13;Cebpg;Hyal2;Gls;Cyb5b;Ppp1r2;Chka;Ggh"
"HALLMARK_PEROXISOME",0.103918228279387,0.133999820676051,0.179782316298324,0.319322404524462,1.28249349200267,82,"Abcd3;Prdx1;Cadm1;Idh1;Ehhadh;Idi1;Cacna1b;Hsd3b7;Hsd17b4;Rdh11;Elovl5;Abcb9;Abcd2;Cdk7;Sema3c;Slc23a2;Vps4b;Acox1;Slc25a17;Cat;Abcc5;Slc25a4;Acsl4;Cln8"
"HALLMARK_ANDROGEN_RESPONSE",0.158163265306122,0.198717948717949,0.142901149386948,0.29642397589964,1.19747591043512,87,"Adamts1;Sgk1;Hmgcs1;Scd1;Ptk2b;Actn1;Gsr;Zbtb10;Idi1;Insig1;Dnajb9;Spcs3;Tsc22d1;Gnai3;Tnfaip8;Dbi;Elovl5;Xrcc5"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.208955223880597,0.255970149253731,0.120433371642259,0.272636272447685,1.14111011839954,107,"Wfs1;Atf3;Bag3;Ccl2;Psat1;Cebpg;Srprb;Dnajb9;Spcs3;Hyou1;Shc1;Eif4e;Dnajc3;Eif4a1;Ywhaz;Dnaja4;Nabp1;Exoc2;Vegfa;Paip1;Mthfd2;Chac1;Ttc37;Ssr1;Slc30a5;Wipi1;Hspa9"
"HALLMARK_KRAS_SIGNALING_DN",0.284424379232506,0.339921819082751,0.120433371642259,-0.276223766939701,-1.10382244981429,61,"Camk1d;Lfng;Gtf3c5;Tnni3;Mthfr;Ptprj;Mx2;Mefv;Zbtb16;Egf;Rsad2;Ccdc106;Gprc5c;Itgb1bp2;P2rx6;Bard1;Gpr19;Tex15;Kmt2d;Il12b;Cdkal1;Stag3;Mast3;Kcnn1;Sphk2"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.354066985645933,0.413078149920255,0.109684061970549,-0.245586865167951,-1.05183425364963,91,"Il2rg;Ralb;Rps6ka1;Myd88;Prkag1;Stat2;Dapp1;Nfkbib;Traf2;Rptor;Tiam1;Arpc3;Cfl1;Mknk1;Adcy2;Pfn1;Ap2m1;Cdk2;Cdk1;Prkar2a;Map2k3;Tnfrsf1a"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.383647798742138,0.437180049729414,0.0965629554309422,-0.308543939565998,-1.04767166386367,30,"Hdac5;Ccnd2;Ncor2;Axin1;Jag2;Adam17;Trp53;Ppard;Ncstn;Kat2a;Wnt6;Notch4;Dvl2"
"HALLMARK_NOTCH_SIGNALING",0.404580152671756,0.450555170020819,0.0880945010398517,0.334279365964725,1.04005861507285,25,"Fzd7;Jag1;Fzd1"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.437357630979499,0.476233864844343,0.0937465422491719,-0.268058958166572,-1.00435320367574,46,"Lsp1;Atox1;Hmox2;Sod1;Abcc1;Fes;Glrx;Mbp;Egln2;Msra;Scaf4;Sbno2"
"HALLMARK_APICAL_SURFACE",0.475378787878788,0.506381752305665,0.0789209638180035,0.319451811698627,0.987686322138589,24,"Dcbld2;Gata3;Thy1;Il2rb"
"HALLMARK_HEDGEHOG_SIGNALING",0.521739130434783,0.543940795559667,0.0787113806986485,-0.298999211392073,-0.965906678857424,26,"L1cam;Ophn1;Slit1;Ldb1;Pml"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.819047619047619,0.836111111111111,0.0442407423477375,0.187203120954173,0.862920744675126,194,"Atp6v1c1;Alas1;Idh1;Vdac2;Atp6v1h;Afg3l2;Atp6v1e1;Tcirg1;Mpc1;Ldhb;Ndufs1;Dlat;Ldha;Atp6v1d;Vdac1;Dld;Isca1;Mtx2;Atp6v1g1;Sucla2;Ndufb6;Hccs;Bdh2;Slc25a5;Echs1;Aldh6a1;Prdx3;Pdp1;Timm17a;Slc25a4;Cs;Abcb7;Etfdh"
"HALLMARK_SPERMATOGENESIS",0.900884955752212,0.900884955752212,0.0448645113168564,0.196677555961111,0.755411099445872,65,"Pacrg;Slc12a2;Rad17;Lpin1;Agfg1;Rpl39l;Ace;Sirt1;Hspa4l;Strbp;Stam2;Braf;Gmcl1;Pgs1"
