output_prefix	name	motif_id	cluster	total_tfbs	IF_mean_score	IF_bound	UF_mean_score	UF_bound	IF_UF_change	IF_UF_pvalue	IF_UF_highlighted
SREBF1_MA0829.3	SREBF1	MA0829.3	C_SREBF1	5278	0.04183	73	0.04297	86	-0.08366	9.13215E-31	True
SRY_MA0084.2	SRY	MA0084.2	C_SOX8	6664	0.03362	94	0.02961	80	0.04587	1.15727E-17	False
STAT1_MA0137.4	STAT1	MA0137.4	C_Stat4	13905	0.06128	285	0.0649	282	-0.07692	1.04769E-48	False
STAT1STAT2_MA0517.2	STAT1::STAT2	MA0517.2	C_STAT1::STAT2	32970	0.03389	431	0.03289	439	-0.00284	5.84599E-02	False
STAT3_MA0144.3	STAT3	MA0144.3	C_Stat4	16296	0.02128	152	0.02056	129	-0.00294	4.51932E-01	False
TAL1TCF3_MA0091.2	TAL1::TCF3	MA0091.2	C_TAL1::TCF3	8774	0.08444	274	0.07124	239	-0.00376	5.88211E-02	False
TBR1_MA0802.2	TBR1	MA0802.2	C_TBX2	6751	0.06043	147	0.05346	132	3e-05	6.93612E-01	False
TBX18_MA1565.2	TBX18	MA1565.2	C_TBX2	9048	0.09173	269	0.08426	260	-0.01483	1.51215E-11	False
TBX19_MA0804.2	TBX19	MA0804.2	C_TBX19	4370	0.09948	153	0.10068	155	0.01041	1.17700E-02	False
TBX2_MA0688.2	TBX2	MA0688.2	C_TBX2	6709	0.04082	106	0.04131	100	-0.02122	1.12887E-06	False
TCF12_MA1648.2	TCF12	MA1648.2	C_FIGLA	8203	0.05002	137	0.0602	180	-0.12842	8.95467E-67	True
TCF21_MA1568.2	TCF21	MA1568.2	C_ATOH7	3902	0.28739	338	0.26074	301	-0.0366	3.82074E-22	False
TCF4_MA0830.3	TCF4	MA0830.3	C_FIGLA	8853	0.04278	151	0.05504	169	-0.13277	4.63745E-67	True
TCF7_MA0769.3	TCF7	MA0769.3	C_Hnf1A	3968	0.15806	250	0.15217	209	0.00419	1.34965E-02	False
TCF7L2_MA0523.2	TCF7L2	MA0523.2	C_Hnf1A	11295	0.08868	387	0.09498	398	-0.06294	3.94848E-50	False
TCFL5_MA0632.3	TCFL5	MA0632.3	C_TCFL5	4231	0.04197	69	0.04801	73	-0.05094	1.19466E-23	False
TEAD1_MA0090.4	TEAD1	MA0090.4	C_TEAD4	9318	0.11048	384	0.10137	353	0.00341	7.03990E-01	False
TEAD2_MA1121.2	TEAD2	MA1121.2	C_TEAD4	4325	0.03744	72	0.0359	61	-0.02082	4.17498E-04	False
TEAD4_MA0809.3	TEAD4	MA0809.3	C_TEAD4	8979	0.05099	184	0.04782	165	-0.03521	1.76173E-20	False
TFAP2A_MA0810.2	TFAP2A	MA0810.2	C_TFAP2A	12983	0.52923	1867	0.51095	1786	-0.02044	1.72155E-27	False
TFAP2A_MA0003.5	TFAP2A	MA0003.5	C_TFAP2E	13088	0.73377	2316	0.69903	2225	-0.02586	3.46776E-35	False
TFAP2B_MA0811.2	TFAP2B	MA0811.2	C_TFAP2A	10428	0.78629	1980	0.7477	1881	-0.02027	4.08204E-25	False
TFAP2B_MA0812.2	TFAP2B	MA0812.2	C_TFAP2E	8084	1.26517	2114	1.19658	2037	-0.02833	1.64279E-39	False
TFAP2C_MA0524.3	TFAP2C	MA0524.3	C_TFAP2A	10422	0.76805	1948	0.7334	1890	-0.03015	1.56858E-39	False
TFAP2C_MA0814.3	TFAP2C	MA0814.3	C_TFAP2E	15346	0.71873	2768	0.6883	2649	-0.01951	4.07315E-30	False
TFAP2E_MA1569.2	TFAP2E	MA1569.2	C_TFAP2E	11242	0.97921	2549	0.96071	2521	-0.04088	1.67020E-64	True
TFAP4ETV1_MA1966.2	TFAP4::ETV1	MA1966.2	C_ETV5::FIGLA	13160	0.24819	1093	0.22912	997	0.00136	2.65382E-01	False
TFAP4FLI1_MA1967.2	TFAP4::FLI1	MA1967.2	C_TFAP4::FLI1	13170	0.28701	1110	0.27033	1035	-0.003	1.57306E-01	False
TFCP2_MA1968.2	TFCP2	MA1968.2	C_TFCP2	3137	0.08339	113	0.08489	87	-0.02685	2.15871E-08	False
TFDP1_MA1122.2	TFDP1	MA1122.2	C_E2F6	11631	0.26837	1051	0.29066	1120	-0.06379	1.20705E-58	False
TFEB_MA0692.2	TFEB	MA0692.2	C_BHLHE41	8413	0.1498	457	0.12049	386	0.0501	3.52648E-43	False
TFEC_MA0871.3	TFEC	MA0871.3	C_BHLHE41	6020	0.11644	254	0.10019	232	0.00256	5.15264E-01	False
THAP1_MA0597.3	THAP1	MA0597.3	C_THAP1	15184	0.10066	541	0.09661	547	-0.01442	5.10257E-07	False
THRA_MA1969.2	THRA	MA1969.2	C_THRA	13059	0.14687	673	0.12842	599	0.00208	5.99135E-02	False
THRB_MA1574.2	THRB	MA1574.2	C_Nr2f6	10364	0.27738	919	0.27667	878	-0.02501	1.39828E-23	False
THRB_MA1575.2	THRB	MA1575.2	C_THRB	4826	0.06456	121	0.05491	106	0.01809	6.12909E-03	False
THRB_MA1576.2	THRB	MA1576.2	C_THRB	11372	0.07605	334	0.07303	323	0.00502	5.09051E-01	False
TLX2_MA1577.2	TLX2	MA1577.2	C_VAX2	4821	0.05167	103	0.04244	81	0.0847	4.34315E-31	True
TP73_MA0861.2	TP73	MA0861.2	C_TP73	4414	0.49255	535	0.44002	514	-0.00951	1.67493E-06	False
TRPS1_MA1970.2	TRPS1	MA1970.2	C_GATA6	7112	0.15583	394	0.14829	363	0.01192	2.28457E-05	False
TWIST1_MA1123.3	TWIST1	MA1123.3	C_Ptf1A	10294	0.08722	311	0.07911	293	-0.0163	2.46922E-08	False
UNCX_MA0721.2	UNCX	MA0721.2	C_VAX2	4821	0.05167	103	0.04244	81	0.0847	4.34315E-31	True
USF1_MA0093.4	USF1	MA0093.4	C_BHLHE41	9740	0.12943	450	0.11646	419	-0.00191	1.19061E-01	False
USF2_MA0526.5	USF2	MA0526.5	C_BHLHE41	3907	0.05678	81	0.04621	69	0.01269	7.06079E-09	False
VAX1_MA0722.2	VAX1	MA0722.2	C_VAX2	6901	0.12305	283	0.11333	291	0.00996	4.25681E-02	False
VAX2_MA0723.3	VAX2	MA0723.3	C_VAX2	4821	0.05167	103	0.04244	81	0.0847	4.34315E-31	True
VEZF1_MA1578.2	VEZF1	MA1578.2	C_VEZF1	20892	0.07277	578	0.07593	594	-0.0633	9.86135E-57	False
VSX1_MA0725.2	VSX1	MA0725.2	C_VAX2	3744	0.05756	81	0.04767	78	0.04948	1.32777E-14	False
VSX2_MA0726.2	VSX2	MA0726.2	C_VAX2	3744	0.05756	81	0.04767	78	0.04948	1.32777E-14	False
XBP1_MA0844.2	XBP1	MA0844.2	C_CREB3	3319	0.08067	114	0.09147	111	-0.07337	3.65188E-30	False
YY2_MA0748.3	YY2	MA0748.3	C_YY2	3821	0.0976	148	0.09816	156	-0.00768	2.80822E-02	False
ZBED1_MA0749.2	ZBED1	MA0749.2	C_ZBED1	987	0.23609	38	0.27105	45	-0.12331	2.83469E-31	True
ZBED2_MA1971.2	ZBED2	MA1971.2	C_IRF6	2811	0.0533	66	0.05366	61	-0.05862	1.02361E-18	False
ZBTB12_MA1649.2	ZBTB12	MA1649.2	C_ZBTB12	9330	0.10571	389	0.0912	315	0.01601	1.31325E-09	False
ZBTB14_MA1650.2	ZBTB14	MA1650.2	C_ZBTB14	5838	0.10564	212	0.11242	219	-0.06794	3.34325E-41	False
ZBTB18_MA0698.2	ZBTB18	MA0698.2	C_ZBTB18	12918	0.07236	336	0.0616	269	0.0365	1.09349E-23	False
ZBTB26_MA1579.2	ZBTB26	MA1579.2	C_ZBTB26	14638	0.34555	1494	0.33683	1347	-0.00613	2.62762E-07	False
ZBTB33_MA0527.2	ZBTB33	MA0527.2	C_ZBTB33	2268	0.08152	75	0.07829	70	-0.04966	1.43837E-21	False
ZBTB6_MA1581.2	ZBTB6	MA1581.2	C_ZBTB6	13769	0.36121	1500	0.34782	1355	0.00417	1.28805E-03	False
ZBTB7A_MA0750.3	ZBTB7A	MA0750.3	C_GABPA	15303	0.18097	1041	0.16646	949	0.01407	2.47043E-12	False
ZBTB7B_MA0694.2	ZBTB7B	MA0694.2	C_ZBTB7B	5241	0.0665	120	0.06208	112	0.01388	6.28442E-05	False
ZBTB7C_MA0695.2	ZBTB7C	MA0695.2	C_ZBTB7B	4737	0.07904	143	0.06952	126	0.00406	2.50248E-01	False
ZEB1_MA0103.4	ZEB1	MA0103.4	C_FIGLA	23498	0.03892	352	0.04558	380	-0.09324	6.04633E-67	True
ZFP42_MA1651.2	ZFP42	MA1651.2	C_ZFP42	11492	0.14811	601	0.13026	521	0.0294	7.80641E-29	False
ZFP57_MA1583.2	ZFP57	MA1583.2	C_ZFP57	2123	0.26753	196	0.28909	189	-0.04558	6.92589E-21	False
ZIC4_MA0751.2	ZIC4	MA0751.2	C_ZIC1	8573	0.17834	517	0.17801	464	-0.02489	1.95048E-16	False
ZIC5_MA1584.2	ZIC5	MA1584.2	C_ZIC1	8844	0.23293	687	0.22972	658	-0.04676	1.43250E-46	False
ZIM3_MA1709.2	ZIM3	MA1709.2	C_ZIM3	21955	0.05375	439	0.04802	405	0.0273	8.75753E-23	False
ZKSCAN1_MA1585.2	ZKSCAN1	MA1585.2	C_ZKSCAN1	5597	0.31228	457	0.29853	444	-0.02832	8.47585E-28	False
ZKSCAN3_MA1973.2	ZKSCAN3	MA1973.2	C_ZKSCAN3	13171	0.21396	830	0.1963	700	0.01905	7.63019E-17	False
ZKSCAN5_MA1652.2	ZKSCAN5	MA1652.2	C_ZKSCAN5	25418	0.1564	1511	0.14691	1375	0.00392	6.58523E-05	False
ZNF140_MA1589.2	ZNF140	MA1589.2	C_ZNF140	9800	0.10866	390	0.09711	331	0.0481	1.83256E-42	False
ZNF148_MA1653.2	ZNF148	MA1653.2	C_PATZ1	42100	0.1508	2255	0.15517	2320	-0.04693	1.68546E-67	True
ZNF16_MA1654.2	ZNF16	MA1654.2	C_ZNF16	15618	0.25983	1414	0.24649	1315	0.01103	7.90613E-14	False
ZNF189_MA1725.2	ZNF189	MA1725.2	C_ZNF189	16234	0.10491	645	0.09049	541	0.0247	4.59812E-23	False
ZNF211_MA1974.2	ZNF211	MA1974.2	C_ZNF211	4570	0.18166	307	0.15863	267	0.02238	3.38966E-13	False
ZNF214_MA1975.2	ZNF214	MA1975.2	C_ZNF214	8433	0.10561	347	0.09934	320	0.01575	5.09894E-08	False
ZNF257_MA1710.2	ZNF257	MA1710.2	C_ZNF257	26688	0.16807	1513	0.16159	1433	0.00426	2.95749E-05	False
ZNF263_MA0528.3	ZNF263	MA0528.3	C_SP5	19213	0.20064	1335	0.19307	1229	-0.00479	3.92853E-04	False
ZNF274_MA1592.2	ZNF274	MA1592.2	C_ZNF274	9506	0.0457	161	0.0406	162	-0.01341	3.68004E-05	False
ZNF281_MA1630.3	ZNF281	MA1630.3	C_PATZ1	44649	0.17276	2827	0.17608	2794	-0.03037	3.86461E-55	False
ZNF282_MA1154.2	ZNF282	MA1154.2	C_ZNF282	9864	0.24119	780	0.2189	682	0.0049	7.53123E-02	False
ZNF317_MA1593.2	ZNF317	MA1593.2	C_ZNF317	16939	0.05702	347	0.05451	307	-0.01069	9.17528E-07	False
ZNF320_MA1976.2	ZNF320	MA1976.2	C_ZNF320	21391	0.29948	1895	0.31776	1920	-0.05285	3.20027E-64	True
ZNF324_MA1977.2	ZNF324	MA1977.2	C_ZNF324	12976	0.05783	302	0.05275	257	0.04201	1.22396E-31	False
ZNF331_MA1726.2	ZNF331	MA1726.2	C_ZNF331	18663	0.19104	1220	0.17031	1077	0.02887	4.72004E-39	False
ZNF341_MA1655.2	ZNF341	MA1655.2	C_ZNF341	10506	0.17784	684	0.16151	604	0.01111	1.16031E-05	False
ZNF343_MA1711.2	ZNF343	MA1711.2	C_ZNF343	9900	0.16543	503	0.16252	537	-0.05361	4.72125E-44	False
ZNF354A_MA1978.2	ZNF354A	MA1978.2	C_ZNF354A	21617	0.02499	218	0.02392	212	-0.05057	5.79252E-30	False
ZNF384_MA1125.2	ZNF384	MA1125.2	C_ZNF384	21823	0.0056	54	0.0056	52	-0.06564	1.08517E-19	False
ZNF410_MA0752.2	ZNF410	MA0752.2	C_ZNF410	5720	0.23412	400	0.21774	370	0.01162	2.37820E-05	False
ZNF416_MA1979.2	ZNF416	MA1979.2	C_ZNF416	13345	0.40538	1398	0.38192	1289	-0.00993	1.18875E-11	False
ZNF417_MA1727.2	ZNF417	MA1727.2	C_ZNF417	3952	0.06493	100	0.06085	91	-0.04819	9.22631E-11	False
ZNF449_MA1656.2	ZNF449	MA1656.2	C_ZNF449	12212	0.22102	955	0.21064	869	0.01988	9.60388E-23	False
ZNF454_MA1712.2	ZNF454	MA1712.2	C_ZNF454	20219	0.12364	911	0.1207	901	-0.02083	2.45920E-25	False
ZNF530_MA1981.2	ZNF530	MA1981.2	C_ZNF530	26670	0.18291	1600	0.16971	1529	-0.00998	3.66610E-11	False
ZNF549_MA1728.2	ZNF549	MA1728.2	C_ZNF549	17093	0.22055	1161	0.20969	1121	-0.02454	1.52804E-22	False
ZNF574_MA1982.2	ZNF574	MA1982.2	C_ZNF574	11211	0.12305	505	0.12992	510	-0.03218	6.35572E-27	False
ZNF582_MA1983.2	ZNF582	MA1983.2	C_ZNF582	10646	0.1169	453	0.11614	431	-0.00902	5.03529E-08	False
ZNF610_MA1713.2	ZNF610	MA1713.2	C_ZNF610	14697	0.1504	778	0.16484	849	-0.08714	2.97627E-73	True
ZNF652_MA1657.2	ZNF652	MA1657.2	C_ZNF652	8700	0.00439	17	0.00343	11	0.01675	1.18065E-01	False
ZNF667_MA1984.2	ZNF667	MA1984.2	C_ZNF667	9903	0.13455	487	0.11444	449	-0.00221	2.71521E-02	False
ZNF675_MA1714.2	ZNF675	MA1714.2	C_ZNF675	12461	0.03055	165	0.0283	128	0.039	8.97985E-21	False
ZNF680_MA1729.2	ZNF680	MA1729.2	C_ZNF680	15771	0.10194	591	0.09122	533	0.00598	3.64298E-05	False
ZNF682_MA1599.2	ZNF682	MA1599.2	C_ZNF682	14178	0.42195	1833	0.43021	1715	-0.04605	3.55382E-53	False
ZNF684_MA1600.2	ZNF684	MA1600.2	C_ZNF684	13245	0.5415	1775	0.50098	1555	0.01491	9.97819E-14	False
ZNF692_MA1986.2	ZNF692	MA1986.2	C_ZNF692	9749	0.14172	495	0.12627	429	0.01427	5.95195E-06	False
ZNF701_MA1987.2	ZNF701	MA1987.2	C_ZNF701	26791	0.25788	2153	0.26051	2124	-0.0256	1.01247E-40	False
ZNF708_MA1730.2	ZNF708	MA1730.2	C_ZNF708	13091	0.31773	1291	0.2787	1099	0.02208	8.86733E-29	False
ZNF740_MA0753.3	ZNF740	MA0753.3	C_ZNF740	18619	0.08757	633	0.09495	615	-0.05693	9.32790E-58	False
ZNF76_MA1716.2	ZNF76	MA1716.2	C_ZNF76	11301	0.37069	1103	0.36405	1048	-0.02044	3.67852E-21	False
ZNF768_MA1731.2	ZNF768	MA1731.2	C_ZNF768	24648	0.09996	943	0.08693	822	0.02337	1.48447E-30	False
ZNF784_MA1717.2	ZNF784	MA1717.2	C_ZNF784	3854	0.29114	310	0.27602	299	-0.00298	6.45328E-01	False
ZNF816_MA1719.2	ZNF816	MA1719.2	C_ZNF816	13492	0.24884	1053	0.23392	1006	-0.02354	1.40696E-27	False
ZNF85_MA1720.2	ZNF85	MA1720.2	C_ZNF85	8210	0.20067	569	0.19085	514	-0.00084	9.09138E-01	False
ZNF93_MA1721.2	ZNF93	MA1721.2	C_ZNF93	21447	0.13458	1060	0.14284	1075	-0.04333	2.67417E-54	False
ZSCAN29_MA1602.2	ZSCAN29	MA1602.2	C_ZSCAN29	5412	0.56455	612	0.57952	593	-0.03528	8.26011E-23	False
ZSCAN31_MA1722.2	ZSCAN31	MA1722.2	C_ZSCAN31	6761	0.03723	108	0.03382	85	0.04662	9.00924E-22	False
Spz1_MA0111.1	Spz1	MA0111.1	C_Spz1	8104	0.70734	1351	0.65573	1259	0.00056	3.81156E-01	False
Sox7_MA2095.1	Sox7	MA2095.1	C_Sox7	10129	0.14252	516	0.12819	458	0.0103	1.58805E-06	False
Ebf4_MA2122.1	Ebf4	MA2122.1	C_EBF1	13093	0.7632	2434	0.73344	2303	-0.02845	1.53135E-41	False
Hand1_MA2123.1	Hand1	MA2123.1	C_Hand1	13217	0.07887	367	0.07229	350	0.02812	9.98794E-18	False
Hmga1_MA2124.1	Hmga1	MA2124.1	C_Hmga1	13503	0.03283	168	0.02958	164	0.00155	3.67304E-01	False
Zfp809_MA2125.1	Zfp809	MA2125.1	C_Zfp809	19211	0.32603	1576	0.30406	1487	-0.00858	5.48452E-10	False
Zfp961_MA2126.1	Zfp961	MA2126.1	C_Zfp961	4433	0.09818	169	0.0891	152	-0.01285	8.11211E-05	False
Nr1h3_MA2337.1	Nr1h3	MA2337.1	C_Nr1h3	26115	0.0472	489	0.04117	446	0.02349	2.39236E-18	False
Ppara_MA2338.1	Ppara	MA2338.1	C_Nr1h3	7263	0.02722	78	0.02775	87	-0.03337	1.08171E-10	False
Nanog_MA2339.1	Nanog	MA2339.1	C_Nanog	2764	0.05629	62	0.0559	63	-0.00732	3.89261E-01	False
Zbtb2_MA2340.1	Zbtb2	MA2340.1	C_ETS1	9425	0.16652	654	0.15779	555	0.01426	1.74589E-09	False
AhrArnt_MA0006.2	Ahr::Arnt	MA0006.2	C_Ahr::Arnt	49094	0.09388	1712	0.09403	1638	-0.02895	1.76779E-42	False
Alx1_MA0854.2	Alx1	MA0854.2	C_Alx1	2689	0.02913	39	0.02671	33	0.02299	6.96445E-03	False
Alx4_MA0853.2	Alx4	MA0853.2	C_Alx1	3205	0.09583	103	0.10332	102	-0.06113	4.61444E-25	False
Ar_MA0007.4	Ar	MA0007.4	C_Pgr	5200	0.1231	223	0.09837	183	0.06762	8.15504E-36	False
Arid3b_MA0601.2	Arid3b	MA0601.2	C_Arid3b	3386	0.13551	182	0.10125	134	0.07843	2.79025E-39	False
Arid5a_MA0602.2	Arid5a	MA0602.2	C_Arid5a	3580	0.02962	49	0.02857	44	-0.0391	8.47159E-07	False
Arntl_MA0603.2	Arntl	MA0603.2	C_Mlxip	5003	0.07518	152	0.0623	131	0.02151	9.54261E-10	False
Arx_MA0874.2	Arx	MA0874.2	C_Alx1	3623	0.06149	84	0.05505	77	0.03279	7.23828E-07	False
Atf3_MA1988.2	Atf3	MA1988.2	C_FOSL1	15148	0.05162	340	0.04988	312	0.00513	3.91578E-03	False
Atoh1_MA0461.3	Atoh1	MA0461.3	C_Atoh1	3842	0.23113	308	0.21087	253	0.02912	5.04510E-17	False
Atoh1_MA1467.3	Atoh1	MA1467.3	C_NEUROD1	8170	0.08421	266	0.06833	220	0.06649	1.60661E-47	False
Bach1Mafk_MA0591.2	Bach1::Mafk	MA0591.2	C_MAFG::NFE2L1	15968	0.08857	561	0.08505	517	-0.01736	2.85081E-14	False
Jun_MA0489.3	Jun	MA0489.3	C_FOSL1	17704	0.04973	361	0.04645	320	0.01948	3.55777E-12	False
Bcl11B_MA1989.2	Bcl11B	MA1989.2	C_Bcl11B	19095	0.09151	613	0.07522	513	0.03599	1.76269E-33	False
Bhlha15_MA1472.3	Bhlha15	MA1472.3	C_Twist2	8041	0.0277	81	0.02637	75	-0.00258	3.84084E-01	False
Creb5_MA0840.2	Creb5	MA0840.2	C_FOSL1::JUN	5302	0.03445	69	0.04525	97	-0.08763	2.53865E-25	True
Crx_MA0467.3	Crx	MA0467.3	C_RHOXF1	9948	0.04809	210	0.04117	164	0.04626	4.02309E-26	False
Hoxa13_MA0650.4	Hoxa13	MA0650.4	C_Hoxd13	8392	0.07487	199	0.07204	180	-0.00147	1.66532E-01	False
Dlx2_MA0885.3	Dlx2	MA0885.3	C_RAX	3882	0.07424	108	0.07221	102	-0.02802	8.80262E-10	False
Dlx3_MA0880.2	Dlx3	MA0880.2	C_RAX	7969	0.06064	179	0.05968	172	-0.02555	3.83263E-13	False
Dlx4_MA0881.2	Dlx4	MA0881.2	C_RAX	7969	0.06064	179	0.05968	172	-0.02555	3.83263E-13	False
Dlx5_MA1476.3	Dlx5	MA1476.3	C_RAX	3882	0.07424	108	0.07221	102	-0.02802	8.80262E-10	False
Dmbx1_MA0883.2	Dmbx1	MA0883.2	C_RHOXF1	3683	0.04882	65	0.0424	56	0.03038	1.02161E-08	False
Dmrt1_MA1603.2	Dmrt1	MA1603.2	C_Dmrt1	9382	0.02195	83	0.02146	83	-0.0088	1.49472E-01	False
Dux_MA0611.3	Dux	MA0611.3	C_Dux	4696	0.218	364	0.21124	414	-0.06226	7.10208E-48	False
Ebf2_MA1604.2	Ebf2	MA1604.2	C_EBF3	12494	0.20489	807	0.20493	771	-0.06179	3.22194E-55	False
Elf5_MA0136.4	Elf5	MA0136.4	C_IKZF2	37030	0.13307	1902	0.10888	1562	0.07528	2.89656E-80	True
Foxo1_MA0480.3	Foxo1	MA0480.3	C_FOXD1	9768	0.12818	482	0.1192	403	0.00035	3.33054E-01	False
Erg_MA0474.4	Erg	MA0474.4	C_GABPA	36845	0.14903	2106	0.12558	1756	0.06134	8.47710E-76	True
Esrrg_MA0643.2	Esrrg	MA0643.2	C_Nr1h3	9897	0.00797	30	0.00645	24	-0.01805	6.41292E-01	False
Foxf1_MA1606.2	Foxf1	MA1606.2	C_FOXD1	9768	0.12818	482	0.1192	403	0.00035	3.33054E-01	False
Foxj3_MA0851.2	Foxj3	MA0851.2	C_FOXD1	11507	0.07631	327	0.0757	283	-0.01747	2.07563E-10	False
Foxl2_MA1607.2	Foxl2	MA1607.2	C_FOXD1	13238	0.17368	725	0.16222	652	-0.01473	1.28225E-11	False
Foxo3_MA0157.4	Foxo3	MA0157.4	C_FOXD1	9768	0.12818	482	0.1192	403	0.00035	3.33054E-01	False
Gata3_MA0037.5	Gata3	MA0037.5	C_GATA6	7112	0.15583	394	0.14829	363	0.01192	2.28457E-05	False
Gfi1B_MA0483.2	Gfi1B	MA0483.2	C_Gfi1B	14313	0.13389	680	0.12464	588	0.00696	2.56537E-03	False
Gli1_MA1990.2	Gli1	MA1990.2	C_Gli2	10093	0.25836	756	0.23773	711	-0.00172	6.12651E-01	False
Gli2_MA0734.4	Gli2	MA0734.4	C_Gli2	8572	0.09487	320	0.08672	296	0.00015	3.03729E-01	False
Gmeb1_MA0615.2	Gmeb1	MA0615.2	C_Gmeb1	1195	0.17316	55	0.15113	44	0.05854	8.23763E-16	False
Hand1Tcf3_MA0092.2	Hand1::Tcf3	MA0092.2	C_Hand1::Tcf3	10358	0.3926	1080	0.36144	1010	0.00287	9.86443E-01	False
Hic1_MA0739.2	Hic1	MA0739.2	C_Hic1	6773	0.28625	535	0.26779	521	-0.02509	1.61882E-16	False
Hmx1_MA0896.2	Hmx1	MA0896.2	C_Hmx2	5213	0.01363	25	0.01838	32	-0.08936	5.76850E-16	True
Hmx2_MA0897.2	Hmx2	MA0897.2	C_Hmx2	6792	0.12172	301	0.10535	242	0.02308	6.05876E-10	False
Hmx3_MA0898.2	Hmx3	MA0898.2	C_Hmx2	4964	0.01386	32	0.0171	32	-0.12501	1.35885E-29	True
Hnf1A_MA1991.2	Hnf1A	MA1991.2	C_Hnf1A	11422	0.16893	675	0.16426	695	-0.02861	5.19676E-31	False
Hoxa11_MA0911.2	Hoxa11	MA0911.2	C_HOXC10	3453	0.18536	203	0.17065	183	-0.00867	8.43694E-03	False
Hoxd13_MA0909.4	Hoxd13	MA0909.4	C_Hoxd13	5931	0.09015	170	0.07715	140	0.04056	1.02018E-19	False
Ikzf3_MA1992.2	Ikzf3	MA1992.2	C_GABPA	37366	0.16301	2366	0.13807	1997	0.05847	6.98986E-80	True
Irf1_MA0050.4	Irf1	MA0050.4	C_Stat2	28374	0.03029	355	0.02822	333	-0.01236	4.16262E-06	False
Isl1_MA1608.2	Isl1	MA1608.2	C_Isl1	2536	0.15795	157	0.14907	124	0.04749	1.22391E-18	False
Lef1_MA0768.3	Lef1	MA0768.3	C_Hnf1A	9511	0.17714	592	0.17431	545	-0.01775	7.78378E-10	False
Lhx1_MA1518.3	Lhx1	MA1518.3	C_Lhx1	2486	0.11395	107	0.10285	92	0.01215	1.33103E-01	False
Lhx3_MA0135.2	Lhx3	MA0135.2	C_Lhx3	9260	0.04112	152	0.03674	139	0.01096	3.55093E-02	False
Lhx4_MA0704.2	Lhx4	MA0704.2	C_VAX2	4821	0.05167	103	0.04244	81	0.0847	4.34315E-31	True
Lhx8_MA0705.2	Lhx8	MA0705.2	C_VAX2	4821	0.05167	103	0.04244	81	0.0847	4.34315E-31	True
Mafb_MA0117.3	Mafb	MA0117.3	C_Mafb	10388	0.01328	64	0.01097	48	0.04607	3.17520E-11	False
Mafg_MA0659.4	Mafg	MA0659.4	C_MAFG::NFE2L1	16560	0.07127	476	0.06633	411	0.00487	7.51502E-02	False
Mecom_MA0029.2	Mecom	MA0029.2	C_Mecom	9182	0.11047	355	0.09609	323	0.03279	8.54826E-21	False
Mlxip_MA0622.2	Mlxip	MA0622.2	C_Mlxip	8289	0.05287	169	0.0422	135	-0.00251	7.52143E-01	False
Msgn1_MA1524.3	Msgn1	MA1524.3	C_Msgn1	8554	0.11834	389	0.10048	343	0.00784	1.58159E-03	False
Msx3_MA0709.2	Msx3	MA0709.2	C_RAX	7969	0.06064	179	0.05968	172	-0.02555	3.83263E-13	False
Neurod2_MA1993.2	Neurod2	MA1993.2	C_Twist2	26214	0.03643	371	0.03488	351	-0.00343	4.15575E-01	False
Neurod2_MA0668.3	Neurod2	MA0668.3	C_NEUROD1	13537	0.06616	354	0.05725	298	0.04143	2.76963E-29	False
Nfat5_MA0606.3	Nfat5	MA0606.3	C_Nfat5	15955	0.05242	313	0.05186	313	-0.02822	2.31511E-22	False
Nfatc1_MA0624.3	Nfatc1	MA0624.3	C_NFATC3	29946	0.10283	1163	0.09824	1051	-0.00535	4.67856E-03	False
Nfatc2_MA0152.3	Nfatc2	MA0152.3	C_Nfatc2	16468	0.05869	361	0.05862	361	-0.03344	1.86654E-28	False
Nfe2l2_MA0150.3	Nfe2l2	MA0150.3	C_MAFG::NFE2L1	15263	0.11775	707	0.10915	626	0.00381	3.28797E-05	False
Nkx2-1_MA1994.2	Nkx2-1	MA1994.2	C_NKX2-8	4589	0.16262	283	0.131	219	0.06035	3.62637E-36	False
Nkx3-1_MA0124.3	Nkx3-1	MA0124.3	C_Nkx3-2	3570	0.04885	66	0.05501	75	-0.07793	1.25067E-24	False
Nkx3-2_MA0122.4	Nkx3-2	MA0122.4	C_Nkx3-2	6894	0.0388	107	0.03174	83	0.06929	1.06552E-28	False
Nobox_MA0125.2	Nobox	MA0125.2	C_RAX	7969	0.06064	179	0.05968	172	-0.02555	3.83263E-13	False
Npas2_MA0626.2	Npas2	MA0626.2	C_Mlxip	3889	0.06185	91	0.04669	67	0.02821	7.92288E-11	False
Npas4_MA1995.2	Npas4	MA1995.2	C_Npas4	1493	0.19844	91	0.17646	82	0.00749	1.78204E-02	False
Nr1H2_MA1996.2	Nr1H2	MA1996.2	C_Nr1h3	26115	0.0472	489	0.04117	446	0.02349	2.39236E-18	False
Nr1h3Rxra_MA0494.2	Nr1h3::Rxra	MA0494.2	C_Nr1h3::Rxra	9339	0.12151	409	0.10368	347	0.02768	1.51981E-22	False
Nr1H4_MA1110.3	Nr1H4	MA1110.3	C_Nr1h3	26115	0.0472	489	0.04117	446	0.02349	2.39236E-18	False
Nr2e3_MA0164.2	Nr2e3	MA0164.2	C_Nr2e3	9905	0.01209	52	0.01102	47	-0.03258	3.29889E-08	False
