output_prefix	name	motif_id	cluster	total_tfbs	IF_mean_score	IF_bound	UF_mean_score	UF_bound	IF_UF_change	IF_UF_pvalue	IF_UF_highlighted
MYC_MA0147.4	MYC	MA0147.4	C_Mlxip	5123	0.06376	124	0.04972	99	0.01162	1.32512E-07	False
MAZ_MA1522.2	MAZ	MA1522.2	C_PATZ1	21914	0.15227	1207	0.15291	1181	-0.04024	1.86348E-52	False
MEF2A_MA0052.5	MEF2A	MA0052.5	C_MEF2D	15453	0.02679	176	0.02514	148	0.02088	4.85326E-05	False
MEF2C_MA0497.2	MEF2C	MA0497.2	C_MEF2D	16854	0.03745	253	0.03171	217	0.03025	1.98001E-16	False
MEIS1_MA0498.3	MEIS1	MA0498.3	C_MEIS1	89831	0.11582	3925	0.10617	3528	-0.001	9.88678E-01	False
MEIS1_MA1639.2	MEIS1	MA1639.2	C_PBX2	6777	0.05504	150	0.04793	143	0.00977	2.06659E-03	False
MEIS2_MA1640.2	MEIS2	MA1640.2	C_PBX2	9064	0.03516	131	0.03109	122	0.01569	5.51879E-06	False
MEIS3_MA0775.2	MEIS3	MA0775.2	C_MEIS1	4977	0.13212	215	0.12774	204	-0.02006	4.27679E-09	False
MEOX1_MA0661.2	MEOX1	MA0661.2	C_VAX2	3302	0.0592	76	0.04746	64	0.0716	2.55094E-20	False
MEOX2_MA0706.2	MEOX2	MA0706.2	C_VAX2	3303	0.05947	70	0.04399	51	0.13422	5.72933E-42	True
MGAEVX1_MA1960.2	MGA::EVX1	MA1960.2	C_MGA::EVX1	6207	0.10516	254	0.10288	269	-0.0327	4.24743E-25	False
MITF_MA0620.4	MITF	MA0620.4	C_BHLHE41	5416	0.07915	154	0.07019	144	-0.01955	1.16427E-07	False
MIXL1_MA0662.2	MIXL1	MA0662.2	C_VAX2	4821	0.05167	103	0.04244	81	0.0847	4.34315E-31	True
MLXIPL_MA0664.2	MLXIPL	MA0664.2	C_Mlxip	4785	0.07454	144	0.05683	112	0.04705	2.15929E-23	False
MNT_MA0825.2	MNT	MA0825.2	C_Mlxip	8289	0.05287	169	0.0422	135	-0.00251	7.52143E-01	False
MNX1_MA0707.3	MNX1	MA0707.3	C_VAX2	4821	0.05167	103	0.04244	81	0.0847	4.34315E-31	True
MSANTD3_MA1523.2	MSANTD3	MA1523.2	C_MSANTD3	13368	0.14189	703	0.12758	632	0.01017	1.01838E-07	False
MSX1_MA0666.3	MSX1	MA0666.3	C_RAX	7969	0.06064	179	0.05968	172	-0.02555	3.83263E-13	False
MSX2_MA0708.3	MSX2	MA0708.3	C_RAX	7969	0.06064	179	0.05968	172	-0.02555	3.83263E-13	False
MXI1_MA1108.3	MXI1	MA1108.3	C_MXI1	27505	0.13289	1329	0.11622	1202	0.00396	1.59823E-04	False
MYB_MA0100.4	MYB	MA0100.4	C_MYB	19053	0.04174	331	0.03792	286	-0.00627	1.04815E-03	False
MYCN_MA0104.5	MYCN	MA0104.5	C_Mlxip	3030	0.06676	76	0.05671	68	-0.01395	1.18536E-02	False
MYF5_MA1641.2	MYF5	MA1641.2	C_Twist2	8041	0.0277	81	0.02637	75	-0.00258	3.84084E-01	False
MYOD1_MA0499.3	MYOD1	MA0499.3	C_MYOD1	10746	0.05754	238	0.05653	225	-0.0151	3.60928E-06	False
MYOG_MA0500.3	MYOG	MA0500.3	C_Twist2	11446	0.04289	179	0.03928	178	-0.00519	9.56588E-02	False
MZF1_MA0056.3	MZF1	MA0056.3	C_MZF1	7852	0.05152	167	0.04945	159	-0.04763	3.06772E-26	False
NEUROD1_MA1109.2	NEUROD1	MA1109.2	C_NEUROD1	14136	0.07545	407	0.06241	339	0.04717	9.56195E-38	False
NEUROG2_MA1642.2	NEUROG2	MA1642.2	C_NEUROD1	8170	0.08421	266	0.06833	220	0.06649	1.60661E-47	False
NFATC3_MA0625.3	NFATC3	MA0625.3	C_NFATC3	29946	0.10283	1163	0.09824	1051	-0.00535	4.67856E-03	False
NFATC4_MA1525.3	NFATC4	MA1525.3	C_NFATC3	9685	0.06295	241	0.06853	253	-0.04531	4.73101E-35	False
NFIA_MA0670.2	NFIA	MA0670.2	C_NFIA	18708	0.17649	1063	0.1685	996	-0.00722	1.56658E-10	False
NFIB_MA1643.2	NFIB	MA1643.2	C_NFIB	10833	0.19173	668	0.17609	626	-0.01822	1.12375E-15	False
NFIC_MA0161.3	NFIC	MA0161.3	C_NFIA	7162	0.31496	701	0.31143	662	-0.01751	1.42860E-14	False
NFIC_MA1527.2	NFIC	MA1527.2	C_NFIB	7299	0.09691	255	0.08782	238	-0.01858	2.35971E-08	False
NFIL3_MA0025.3	NFIL3	MA0025.3	C_DBP	7772	0.05298	142	0.05087	157	-0.02173	3.63603E-06	False
NFIX_MA0671.2	NFIX	MA0671.2	C_NFIA	18708	0.17649	1063	0.1685	996	-0.00722	1.56658E-10	False
NFIX_MA1528.2	NFIX	MA1528.2	C_NFIB	7590	0.12934	366	0.1212	315	0.02483	1.49132E-15	False
NFKB2_MA0778.2	NFKB2	MA0778.2	C_NFKB2	4403	0.24512	389	0.24877	392	-0.06657	5.49237E-46	False
NFYA_MA0060.4	NFYA	MA0060.4	C_NFYC	6824	0.29919	608	0.30568	585	-0.01448	1.59760E-11	False
NFYB_MA0502.3	NFYB	MA0502.3	C_NFYB	8830	0.42349	1042	0.41443	921	0.02631	9.51190E-27	False
NFYC_MA1644.2	NFYC	MA1644.2	C_NFYC	4899	0.31709	484	0.31846	478	-0.01991	1.07325E-07	False
NHLH2_MA1529.2	NHLH2	MA1529.2	C_NHLH2	9482	0.03532	135	0.03828	142	-0.07373	5.62532E-39	False
NKX2-2_MA1645.2	NKX2-2	MA1645.2	C_MSANTD3	10460	0.11354	445	0.10551	396	-0.00815	6.30963E-04	False
NKX2-3_MA0672.2	NKX2-3	MA0672.2	C_NKX2-8	6653	0.09481	228	0.08227	218	0.00551	5.17115E-01	False
NKX2-4_MA2003.2	NKX2-4	MA2003.2	C_NKX2-8	7064	0.09424	241	0.07996	210	0.0217	1.90294E-10	False
NKX2-5_MA0063.3	NKX2-5	MA0063.3	C_MSANTD3	4370	0.15335	245	0.12539	205	0.04335	1.45884E-25	False
NKX2-8_MA0673.2	NKX2-8	MA0673.2	C_NKX2-8	7064	0.09424	241	0.07996	210	0.0217	1.90294E-10	False
NKX6-1_MA0674.2	NKX6-1	MA0674.2	C_VAX2	5611	0.1317	238	0.12278	250	-0.0019	4.92810E-01	False
NKX6-2_MA0675.2	NKX6-2	MA0675.2	C_VAX2	4821	0.05167	103	0.04244	81	0.0847	4.34315E-31	True
NKX6-3_MA1530.2	NKX6-3	MA1530.2	C_NKX6-3	5586	0.12208	235	0.11219	229	-0.0053	2.54941E-01	False
NOTO_MA0710.2	NOTO	MA0710.2	C_VAX2	3744	0.05756	81	0.04767	78	0.04948	1.32777E-14	False
