"group","sample","mean_signal","se_signal"
"Female IF vs UF","UF_fem_inf",16.3437144260278,0.650031724966173
"Female IF vs UF","IF_fem_inf",27.4913586260755,2.08763377515378
"Female IF vs UF","UF_male_inf",20.2631679397301,0.993160771472947
"Female IF vs UF","IF_male_inf",23.6618719911682,1.72857219201942
"Male vs Female (UF)","UF_fem_inf",38.3727075831328,1.35452478544746
"Male vs Female (UF)","IF_fem_inf",52.3747935121195,1.71082075642597
"Male vs Female (UF)","UF_male_inf",37.0315017822238,0.971757672749827
"Male vs Female (UF)","IF_male_inf",53.9804763643572,1.60709351260909
"Male vs Female (IF)","UF_fem_inf",65.2463351857139,1.49849649114207
"Male vs Female (IF)","IF_fem_inf",99.421786737273,1.662140772923
"Male vs Female (IF)","UF_male_inf",67.9735758573566,1.48457230516136
"Male vs Female (IF)","IF_male_inf",127.175082524953,1.98674878359234
"Male IF vs UF","UF_fem_inf",50.7074416020983,2.16538509677078
"Male IF vs UF","IF_fem_inf",69.0773244670739,2.71866379294161
"Male IF vs UF","UF_male_inf",50.4863358843876,1.84339477395848
"Male IF vs UF","IF_male_inf",129.111026934593,5.66999644041406
